Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
3,,People,See pages 20-23 in the FY23 Annual Report for more detail,,,,,,,,,,,,,,,,,
4,,,AUSTRALIA,,,,,,,NEW ZEALAND,,,,,,,,,,
5,,,Change from prior year,,FY23,FY22,FY21,FY20,FY19,Change from prior year,,FY23,FY22,FY21,FY20,FY19,,,,
6,,WORKFORCE,,,,,,,,,,,,,,,,,,
7,,Headcount,q,-0.031675,8468,8745,8736,8481,8015,p,0.053163,3962,3762,3601,3315,3111,,,,
8,,Part-time employment,q,-0.050892,0.158501,0.167,0.17,0.18,0.2,p,0.025304,0.08099900000000002,0.079,0.08,0.09,0.09,,,,
9,,Full Time Equivalent (FTE),q,-0.02652,7802.44,8015,8003,7729,7243,p,0.047254,3768.02,3598,3435,3153,2953,,,,
10,,Staff turnover,p,0.084,0.18969999999999998,0.175,0.136,0.111,0.149,q,-0.149686,0.1352,0.159,0.12,0.108,0.154,,,,
11,,Absenteeism,p,0.071739,0.0493,0.046,0.037,0.039,0.042,p,0.215909,0.0535,0.044,3.6,0.034,0.038,,,,
12,,First Nations Employment,q,-0.082519,0.011927255550307039,0.013,1.5,1.1,N/R,,,N/R,N/R,N/R,N/R,N/R,,,,
13,,Age Group <30 years,q,-0.019402,0.13238072744449694,0.135,N/R,N/R,N/R,q,-0.034177,0.16708732963149925,0.173,N/R,N/R,N/R,,,,
14,,Age Group 30-50 years,q,-0.007472,0.6302550779404819,0.635,N/R,N/R,N/R,p,0.025817,0.574457344775366,0.56,N/R,N/R,N/R,,,,
15,,Age Group >50 years,p,0.032018,0.23736419461502126,0.23,N/R,N/R,N/R,q,-0.028363,0.2584553255931348,0.266,N/R,N/R,N/R,,,,
17,,Male to female salary ratio Ã¢ÂÂ average1,,,,,,,,,,,,,,,,,,
18,,General Employees,p,0.009091,1.11,1.1,1.1,1.1,1.12,q,-0.008772,1.13,1.14,1.22,1.23,1.24,,,,
19,,Managers / Senior specialist,q,0.0,1.07,1.07,1.08,1.07,1.08,p,0.019608,1.04,1.02,1.12,1.15,1.12,,,,
20,,Senior Manager,q,-0.009804,1.01,1.02,1.03,1.02,1.02,p,0.010309,0.98,0.97,1.03,1.04,1.11,,,,
21,,Heads Of / General Manager,q,-0.037037,1.04,1.08,1.09,1.01,1.01,q,-0.067797,1.1,1.18,1.06,N/R,N/R,,,,
23,,Gender Equity,,,,,,,,,,,,,,,,,,
24,,Women in the workforce,p,0.009831,0.5958,0.59,0.59,0.58,0.58,p,0.001452,0.6209,0.62,0.6,0.58,0.58,,,,
25,,Women in senior management positions (WISM),p,0.024186,0.4404,0.43,0.43,0.41,0.36,p,0.031489,0.48479999999999995,0.47,0.43,0.41,0.35,,,,
26,,"Gender Pay Gap (Mean)2, 3",,,N/R,N/R,N/R,N/R,N/R,,,0.202,N/R,N/R,N/R,N/R,,,,
28,,Workplace Health & Safety,,,,,,,,,,,,,,,,,,
29,,Lost-time injury frequency rate (LTIFR),q,-0.010417,0.95,0.96,1.55,1.62,1.2,p,2.941176,0.67,0.17,0,0.2,0.56,,,,
56,,Footnotes to data,,,,,,,,,,,,,,,,,,
57,,1. Australian figures in AUD $ and New Zealand figures in NZD $.,,,,,,,,,,,,,,,,,,
58,,"2. As part of IAG's New Zealand CEOÃ¢ÂÂs participation in the Champions of Change network, a commitment was made to publish New Zealand's Gender Pay Gap in FY23.",,,,,,,,,,,,,,,,,,
59,,3. Includes fixed pay only. Disclosed percentages are for the New Zealand workforce.,,,,,,,,,,,,,,,,,,
