Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
3,,Climate Performance,See pages 18-20 in the FY23 Group climate-related disclosure for more detail,,,,,,,,,,,,,,
4,,,AUSTRALIAN EQUITIES,,,,,,,,GLOBAL EQUITIES,,,,,,
5,,,Units,Change vs baseline1,,FY23,FY22,FY21,FY20,Target Baseline,Change vs baseline,,FY23,FY22,FY21,FY20,Target Baseline
6,,CLIMATE METRICS,,,,,,,,,,,,,,,
8,,Investment1,,,,,,,,,,,,,,,
9,,Normalised Carbon Footprint of Listed Equity Portfolio,tCO2e per $US million,q,-0.548108,83.6,69.2,63.9,81,185,q,-0.465455,58.8,56.7,48.1,43.4,110
10,,Weighted Average Carbon Intensity of Listed Equity Portfolio,tCO2e per $US million sales,q,-0.488739,113.5,114.2,135.1,123.7,222,q,-0.402685,89,96.5,96.7,80.5,149
12,,GROUP,,,,,,,,,,,,,,,
14,,Underwriting2,,,,,,,,,,,,,,,
15,,Commercial underwriting portfolio exposure at Jun 30 2023 to fossil fuel mining and fossil fuel energy generating activities,% of GWP,q,-0.666667,0.002,0.006,0.007,N/R,,,,,,,,
16,,,GWP: AU$m,q,-0.642857,0.25,0.7,0.8,N/R,,,,,,,,
18,,Green Bonds,,,,,,,,,,,,,,,
19,,Green bonds,AUD $ million,p,0.096774,238,217,219,174,,,,,,,,
23,,Footnotes to data,,,,,,,,,,,,,,,
24,,"1. The relevant baselines refer to the following equity indices: the ASX200 (excluding IAG) for Australian equities; and the MSCI World for Global Listed equities, as of June 2020.",,,,,,,,,,,,,,,
25,,2. For full details of the targets see the 'Definitions' tab.,,,,,,,,,,,,,,,
