Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
0,ENVIRONMENT,,,,,,,,,,,,SOCIAL,,,,,,,COMMUNITY,,,AUD NZD FX Rate Jun 30 2023 [Google Finance],1.1057,,,Average FTE for KPIs,,,,,,,Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,GBPEUR,1.1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AUSTRALIA,,,,,,NEW ZEALAND,,,,,,AUSTRALIA,,,NEW ZEALAND,,,,AUSTRALIA,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIA,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,
4,Country,Australia,,,,,Country,New Zealand,,,,,Country,Australia,,Country,New Zealand,,,Country,Australia,,Country,New Zealand,,,,,,,,,,Country,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Financial Year,FY23,,,,,Financial Year,FY23,,,,,Item Number,AU - Headcount,,Item Number,NZ - Headcount,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,
6,Item Number,(Multiple Items),,,,,Item Number,(All),,,,,Financial Year,FY23,,Financial Year,FY23,,,Quarter,(All),,Quarter,(All),,,Country,Australia,,Country,New Zealand,,,Data Type,Electricity [kWh],,,,,,,,,,,,,,,,,,,,,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,Month,(All),,Month,(All),,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,,Option 1,,,,,Quarter,(All),,Quarter,(All),,,,,,,,,,,,,,,,,,,,,,
8,Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Month,Jun,,Month,Jun,,,,,,,,,,Quarter,(All),,Quarter,(All),,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,Month,(All),,Month,(All),,,,,,,,,,,,,,,,,,,,,,
9,Business flights [pkm],,,3276.3071,3276.3071,,Business flights [pkm],,,935.9165999999999,935.9165999999999,,,,,,,,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,,,,,,,,Units,Financial Year,Quarter,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,,,,
10,Customer Complaints Resolved [%],,,,,,Diesel Transport post-2004 [kL],,,,,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,Community Investment [$],9260879.209800001,,Community Investment [$],806466.6402,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,kWh,FY19,Q1,4846803.801000007,,,4846.803801000007,,,,,,,,,,,,,,,,,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,,,,,,,,,,,,,,Quarter,Q4,,,,,
11,Diesel Transport post-2004 [L],3083.196000000001,,757.5528999999999,3840.7489,,Electricity [kWh],,484.50419999999997,44.476800000000004,528.9810000000002,,Employees [persons],8468,,Employees [persons],3962,,,AU - Community Investment (Cash Contribution),6691858.9998,,NZ - Community Investment (Cash Contribution),414377.38,,,Employee Metric [FTE],7741.600000000001,,Employee Metric [FTE],3654.787500000001,,,,,Q2,4568244.6099000005,,,4568.244609900001,,,,,,,,,,,,,,,,,,Community Investment [$],9260879.209800001,,Community Investment [$],806466.6402,,,,,,,,,,,,,,,,Month,Jun,,,,,
12,Electricity [kWh],,9244.039999999999,798.7193000000002,10042.759299999998,,LPG Stationary [L],502.74999999999994,,167.58349999999996,670.3334999999998,,Grand Total,8468,,Grand Total,3962,,,AU - Community Investment (Management Costs),2223177.8201,,NZ - Community Investment (Management Costs),266902.0901,,,Grand Total,7741.600000000001,,Grand Total,3654.787500000001,,,,,Q3,4519072.440199998,,FY19,4519.072440199998,,,,,,,,,,,,,,,,,,AU - Community Investment (Cash Contribution),6691858.9998,,NZ - Community Investment (Cash Contribution),414377.38,,,,,,,,,,,,,,,,,,,,,,
13,Ethanol E10 Transport post-2004 [L],167.50580000000002,,42.58800000000001,210.0938,,Office Paper [kg],,,1.1945000000000001,1.1945000000000001,,,,,,,,,AU - Community Investment (volunteer hours $),345842.38989999995,,NZ - Community Investment (volunteer hours $),125187.17009999999,,,,,,,,,,,,Q4,4253049.399500001,,,4253.0493995000015,,,,,,,,,,,,,,,,,,AU - Community Investment (Management Costs),2223177.8201,,NZ - Community Investment (Management Costs),266902.0901,,,,,,,,,,,,,,,,Sum of Actual Data,Column Labels,,,,,
14,Natural Gas [GJ],85.4781,,6.8656,92.34369999999998,,Personal Vehicles [km],,,26.280499999999996,26.280499999999996,,,,,,,,,Grand Total,9260879.209800001,,Grand Total,806466.6402,,,Group Average FTE:,,,,,,,,FY20,Q1,4130702.458200001,,,4130.702458200001,,,,,,,,,,,,,,,,,,AU - Community Investment (volunteer hours $),345842.38989999995,,NZ - Community Investment (volunteer hours $),125187.17009999999,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total
15,Office Paper [kg],,,3.3143,3.3143,,Petrol Transport post-2004 [L],824.2802,,209.666,1033.9461999999999,,Country,Australia,,Country,New Zealand,,,,,,,,,,11396.387500000003,,,,,,,,,Q2,4004298.6738000005,,,4004.2986738000004,,,,,,,,,,,,,,,,,,Grand Total,9260879.209800001,,Grand Total,806466.6402,,,,,,,,,,,,,,,,Women in workforce [%],156.24,172.4,186.29,169.69000000000003,168.06,852.6800000000001
16,Petrol Transport post-2004 [L],746.3009999999999,,189.83089999999996,936.1319000000001,,Print Paper [kg],,,151.8299,151.8299,,Item Number,AU - Part-time employment,,Item Number,NZ - Part-time employment,,,,,,AUD,729372.0179072082,,,,,,,,,,,,Q3,3983253.7375999987,,FY20,3983.2537375999987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women in the workforce,57.75,58.22,58.71,59.46,59.58,293.72
