Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1,,GRI Reference,Description,Relevant section / commentary,Website Location,,,,
3,,GRI 2: General Disclosures 2021,,,,,,,
4,,Organisation and reporting practices,,,,,,,
5,,2-1,Organisational details,"Ampol Limited;\nPublicly ASX/NZX Listed;\nHeadquartered in Bourke Rd, Alexandria NSW Australia;\n2023 Annual Report",Ampol Annual Reports,,,,
6,,2-2,Entities included in the organisations sustainability reporting,2023 Annual Report - Our approach to sustainability performance reporting - reporting period and boundaries (Pages 19),Ampol Annual Reports,,,,
7,,2-3,"Reporting period, frequency and contact point",2023 Annual Report - Our approach to sustainability performance reporting - reporting period and boundaries (Pages 19),Ampol Annual Reports,,,,
8,,2-4,Restatements of information,"Where relevant, any identified or explained reasons for restatements and their effects are captured in our reporting suites and their footnotes.",,,,,
9,,2-5,External assurance,2023 Annual Report - KPMG independent limited assurance report selected sustainability information (Pages 51-52),Ampol Annual Reports,,,,
10,,Activities and workers,,,,,,,
11,,2-6,"Activities, value chain and other business relationships",2023 Annual Report - Our principle activities (Pages 8-17),Ampol Annual Reports,,,,
12,,2-7,Employees,2023 Annual Report - Sustainability data (Page 47);\n2023 Sustainability Datasheet and Appendix (2023_People),Ampol Annual Reports,,,,
13,,2-8,Workers who are not employees,2023 Annual Report - Sustainability data (Page 47);\n2023 Sustainability Datasheet and Appendix (2023_People),Ampol Annual Reports,,,,
14,,Governance,,,,,,,
15,,2-9,Governance structure and composition,2023 Corporate Governance Statement - Corporate Governance Framework to Board committees continued (Pages 3-9),Ampol Corporate Governance,,,,
16,,2-10,Nomination and selection fo the highest governance body,"2023 Corporate Governance Statement - Board composition and Non-executive Director tenure to Direct appointment, election and re-election (Pages 7-9)",Ampol Corporate Governance,,,,
17,,2-11,Chair of the highest governance body,2023 Corporate Governance Statement - Board composition and non-executive director tenure (Page 7),Ampol Corporate Governance,,,,
18,,2-12,Role of the highest governance body in overseeing the management of impacts,2023 Corporate Governance Statement - Risk management to Risk management continued (Pages 15-16),Ampol Corporate Governance,,,,
19,,2-13,Delegation of responsibility for managing impacts,2023 Corporate Governance Statement - Risk management to Risk management continued (Pages 15-16),Ampol Corporate Governance,,,,
20,,2-14,Role of the highest governance body in sustainability reporting,2023 Corporate Governance Statement - Corporate Governance Framework to Board role and responsibilities continued (Pages 3-5),Ampol Corporate Governance,,,,
21,,2-15,Conflicts of interest,Ampol Code of Conduct - Conflicts of interest (Pages 22); 2023 Corporate Governance Statement - Corporate Governance Framework to Boards skills matrix (Pages 3-10),Ampol Corporate Governance,,,,
22,,2-16,Communication of critical concerns,2023 Corporate Governance Statement - Board roles and responsibilities to Board roles and responsibilitues continued (Pages 4-5),Ampol Corporate Governance,,,,
23,,2-17,Collective knowledge of the highest governance body,2023 Corporate Governance Statement - Board composition and Non-executive Director tenure to Boards Skills Matrix (Pages 7-10),Ampol Corporate Governance,,,,
24,,2-18,Evaluation of the performance of the highest governance body,2023 Corporate Governance Statement - Performance evaluation (Page 9),Ampol Corporate Governance,,,,
25,,2-19,Remuneration policies,2023 Annual Report - Remuneration Report 4. Remuneration governance (Page 87),Ampol Corporate Governance,,,,
26,,2-20,Process to determine remuneration,2023 Annual Report - Remuneration Report (Pages 75-104),Ampol Corporate Governance,,,,
27,,2-21,Annual total compensation ratio,Ampol does not currently report publicly,,,,,
28,,"Strategy, policies and practices",,,,,,,
29,,2-22,Statement on sustainable development strategy,2023 Annual Report - 2023-2025 Sustainability Strategy - Strategy scorecard (Pages 21-22),Ampol Annual Reports,,,,
30,,2-23,Policy commitments,Governance Policies and Documents - available on the Ampol Corporate Governance website,Ampol Corporate Governance,,,,
31,,2-24,Embedding policy commitments,Governance Policies and Documents - available on the Ampol Corporate Governance website,Ampol Corporate Governance,,,,
