Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
3,,,UN SGD progress,SDG,,Key Targets,How we contributed in 2023,Location,,,,,,
5,,,Wellbeing and inclusive workplaces,,3.4,Reduce premature mortality from non-communicable diseases through prevention and treatment and promote mental health and wellbeing,Creating positive impact\n3.4 - Delivered mental health training for Ampol Leadership Team,2023 Annual Report (Page 26),,,,,,
6,,,,,5.5,Ensure womenÃ¢ÂÂs full and effective participation and equal opportunities for leadership at all levels of decision making,Creating positive impact\n5.5 - Increase in Group female representation at senior leadership 42%; 53% of all promotions in 2023 at Z energy represented females,2023 Annual Report (Page 26),,,,,,
7,,,,,8.5,"Achieve full and productive employment and decent work for women and men, including young persons and persons with a disability, and equal pay for equal work",Creating positive impact\n8.5 - Improved gender-based pay differences overall group (in favour of men) by 13.7%; no change gender pay differences like-for-like roles (in favour of men) at 0%,2023 Annual Report (Page 26),,,,,,
8,,,,,8.7,"Take immediate and effective measures to eradicate forced labour, modern slavery","Mitigating negative impact\n8.7 - Achieved goal of 80% of our supplier base (when measured by spend) completing our Supplier Code of Conduct questionnaire, as well as our performing verification audits of 110 suppliers.",2023 Annual Report (Page 34),,,,,,
9,,,,,10.2,"By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status",Creating positive impact\n10.2 - Overall Group female representation 40%; Z Energy gets GenderTick re-accreditation; 83% of respondents agreed that Ampol is committed to LGBTQ diversity and inclusion in Australian Workplace Equality Index (AWEI) survey,2023 Annual Report (Pages 26-28),,,,,,
11,,,Indigenous partnerships,,9.2,Promote inclusive and sustainable industrialisation and raise industryÃ¢ÂÂs share of employment and GDP,"Creating positive impact\n9.2 - 60% of 2024 graduate cohort in New Zealand identify as Maori or pasifika and 9.8% representation as of 31 December; 100% increase in procurement spend with Aboriginal and Torres Strait Islander owned businesses; Continued investment ($4.6m) with community partners including Clontarf Foundation and Stars Foundation, supporting Aboriginal and Torres Strait Islander peoples.",2023 Annual Report (Pages 29-31),,,,,,
12,,,,,10.2,"By 2030, empower and promote the social, economic and political inclusion of all, irrespective of age, sex, disability, race, ethnicity, origin, religion or economic or other status",Creating positive impact.\n10.2 - Delivered 80% of RAP commitments; 150 senior leaders in Australia undertook indigenous cultural awareness training in 2023; Z Energy Leadership team undertook Te Ao Maori development sessions in 2023; 7% of Z employees undertook Te Ao Maori training,2023 Annual Report (Pages 29-31),,,,,,
14,,,Supporting communities and nature,,4.2,Ensuring all girls and boys complete primary and secondary education,"Creating positive impact\n4.2 - Continued partnership with The Smith Family, helping young Australians in need to succeed at school",2023 Annual Report (Pages 32-33),,,,,,
15,,,,,4.3,"Increase number of youth and adults who have relevant skills involving technical and vocational skills for employment, decent jobs and entrepreneurship","Creating positive impact\n12.4 - Continued investment ($4.6m) with community partners including Clontarf Foundation and Stars Foundation, supporting Aboriginal and Torres Strait Islander peoples; continued partnership with The Smith Family, helping young Australians in need to succeed at school, so they can create better futures for themselves; Continued community giving program of NZD$1 million to Good in the Hood in New Zealand",2023 Annual Report (Page 32),,,,,,
