Unnamed: 0,GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
136,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
137,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
138,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
139,,"403-4 Worker participation, consultation, and communication on occupational health and safety",,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8\nSDG 16,
140,,,,,Bunnings Health and Wellbeing,,,,,,,,,
141,,,,,Kmart Health and Safety,,,,,,,,,
142,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
143,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
144,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
145,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
146,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
147,,403-5 Worker training on occupational health and safety,,,"Health, safety and wellbeing",,,,,,,,SDG 8,
148,,,,,Bunnings Health and Wellbeing,,,,,,,,,
149,,,,,Kmart Health and Safety,,,,,,,,,
150,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
151,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
152,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
153,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
154,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
155,,403-6 Promotion of worker health,,,"Health, safety and wellbeing",,,,,,,,SDG 3,
156,,,,,Bunnings Health and Wellbeing,,,,,,,,,
157,,,,,Kmart Health and Safety,,,,,,,,,
158,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
159,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
160,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
161,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
162,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
163,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,"Health, safety and wellbeing",,,,,,,,SDG 8,
164,,,,,Bunnings Health and Wellbeing,,,,,,,,,
165,,,,,Kmart Health and Safety,,,,,,,,,
166,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
167,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
168,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
169,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
170,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
