GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,"For the Content Index - Advanced Service, GRI Services reviewed that the GRI content index is clearly presented, in a manner consistent with the Standards, and that the references for all disclosures are included correctly and aligned with the appropriate sections in the body of the report.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"For the SDG Mapping Add-on, GRI Services reviewed that the GRI disclosures included in the content index are appropriately mapped against the SDGs.",,,,,,,,,,,,
,,,,,,,,,,,,,
Statement of use,,,,,Wesfarmers has reported in accordance with the GRI Standards for the period 1 July 2022 to 30 June 2023.,,,,,,,,
GRI 1 used,,,,,GRI 1: Foundation 2021,,,,,,,,
Applicable GRI Sector Standard(s),,,,,,,,,,,,,
"GRI STANDARD
/ OTHER SOURCE",DISCLOSURE,,,LOCATION,,OMISSION,,,,,GRI SECTOR STANDARD REF. NO.,SDG Linkage,
,,,,,,REQUIREMENT(S) OMITTED,,REASON,,EXPLANATION,,,
General disclosures,,,,,,,,,,,,,
GRI 2: General Disclosures 2021,2-1 Organizational details,,,Who We Are,,,,,,,,,
,2-2 Entities included in the organization's sustainability reporting,,,Our Businesses,,,,,,,,,
,,,,Materiality Process,,,,,,,,,
,"2-3 Reporting period, frequency and contact point",,,Feedback,,,,,,,,,
,,,,Our Reporting,,,,,,,,,
,2-4 Restatements of information,,,Data Centre,,,,,,,,,
,2-5 External assurance,,,Independent Limited Assurance Statement,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,"2-6 Activities, value chain and other business relationships",,,Ethical sourcing and human rights,,,,,,,,,
,,,,Our approach to human rights,,,,,,,,,
,,,,Modern Slavery Statement,,,,,,,,,
,2-7 Employees,,,Data Centre,,"2-7 b - total numbers of permanent, temporaty,  full-time and part-time employees are not available by region breakdown, however, are provided by gender breakdown. Total numbers for non-guaranteed hours employees are not avilable by gender or region breakdown.",,Data unavailable,,"Our data collection does not currently capture this level of breakdown, however, efforts will be made to capture this in future reporting.",,"SDG 8
SDG 10",
,,,,"People development, diversity and inclusion",,,,,,,,,
,2-8 Workers who are not employees,,,-,,"2-8a, b and c. ",,Data unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8,
,2-9 Governance Structure and Composition,,,"Governance, compliance, conduct and ethics",,,,,,,,"SDG 5
SDG 16",
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,2-10 Nomination and selection of the highest governance body,,,"Governance, compliance, conduct and ethics",,,,,,,,"SDG 5
SDG 16",
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,2-11 Chair of the highest governing body,,,"Governance, compliance, conduct and ethics",,,,,,,,SDG 16,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,2-12 Role of the highest governance body in overseeing the management of impacts,,,Stakeholder Engagement,,,,,,,,SDG 16,
,,,,Our Reporting,,,,,,,,,
,2-13 Delegation of responsibility for managing impacts,,,Our Reporting,,,,,,,,,
,,,,Corporate Governance,,,,,,,,,
,2-14 Role of the highest governance body in sustainability reporting,,,Materiality Process,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,,,,Our Reporting,,,,,,,,,
