Unnamed: 0,2023 Sustainability Report - People,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
163,Local Analyst/Assistants,Quantity,-,-,-,-,-,22,,,,,,,,,
164,Local Operators,Quantity,-,-,-,-,-,267,,,,,,,,,
165,TOTAL,Quantity,,,,,,304,,,,,,,,,
166,Sal de Vida,,,,,,,,,,,,,,,,
167,Local Managers,Quantity,-,-,-,-,-,0,,,,,,,,,
168,Local Middle Management,Quantity,-,-,-,-,-,0,,,,,,,,,
169,Local Analyst/Assistants,Quantity,-,-,-,-,-,8,,,,,,,,,
170,Local Operators,Quantity,-,-,-,-,-,26,,,,,,,,,
171,TOTAL,Quantity,,,,,,34,,,,,,,,,
172,James Bay,,,,,,,,,,,,,,,,
173,Local Managers,Quantity,-,-,-,-,-,0,,,,,,,,,
174,Local Middle Management,Quantity,-,-,-,-,-,0,,,,,,,,,
175,Local Analyst/Assistants,Quantity,-,-,-,-,-,1,,,,,,,,,
176,Local Operators,Quantity,-,-,-,-,-,0,,,,,,,,,
177,TOTAL,Quantity,,,,,,1,,,,,,,,,
178,Mt Cattlin,,,,,,,,,,,,,,,,
179,Local Managers,Quantity,-,-,-,-,-,0,,,,,,,,,
180,Local Middle Management,Quantity,-,-,-,-,-,13,,,,,,,,,
181,Local Analyst/Assistants,Quantity,-,-,-,-,-,30,,,,,,,,,
182,Local Operators,Quantity,-,-,-,-,-,12,,,,,,,,,
183,TOTAL,Quantity,,,,,,55,,,,,,,,,
184,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
186,Parental Leave,,,,,,,,,,,,,,,,
188,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
189,Parental leave,,,,,,,,,,,,,,,,
190,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
191,Employees that were entitled to parental leave1,Quantity,24,22,12,17,24,23,,,,,,,,,
192,- Male,Quantity,22,19,10,11,15,15,,,,,,,,,
193,- Female,Quantity,2,3,2,6,9,8,,,,,,,,,
194,Employees that took Parental Leave,Quantity,24,22,12,17,24,23,,,,,,,,,
195,- Male,Quantity,22,19,10,11,15,15,,,,,,,,,
196,- Female,Quantity,2,3,2,6,9,8,,,,,,,,,
197,Employees that return from Parental Leave,Quantity,24,22,12,17,24,23,,,,,,,,,
198,- Male,Quantity,22,19,10,11,15,15,,,,,,,,,
199,- Female,Quantity,2,3,2,6,9,8,,,,,,,,,
200,Return to work rate,Ratio,1,1,1,1,1,1,,,,,,,,,
201,- Male,Ratio,1,1,1,1,1,1,,,,,,,,,
202,- Female,Ratio,1,1,1,1,1,1,,,,,,,,,
203,Sal de Vida,,,,,,,,,,,,,,,,
204,Employees that were entitled to parental leave1,Quantity,-,-,-,-,3,5,,,,,,,,,
205,- Male,Quantity,-,-,-,-,2,3,,,,,,,,,
206,- Female,Quantity,-,-,-,-,1,2,,,,,,,,,
207,Employees that took Parental Leave,Quantity,-,-,-,-,3,5,,,,,,,,,
208,- Male,Quantity,-,-,-,-,2,3,,,,,,,,,
209,- Female,Quantity,-,-,-,-,1,2,,,,,,,,,
210,Employees that return from Parental Leave,Quantity,-,-,-,-,2,4,,,,,,,,,
211,- Male,Quantity,-,-,-,-,2,3,,,,,,,,,
212,- Female 2,Quantity,-,-,-,-,0,1,,,,,,,,,
213,Return to work rate,Ratio,-,-,-,-,0.666667,0.8,,,,,,,,,
214,- Male,Ratio,-,-,-,-,1,1,,,,,,,,,
215,- Female,Ratio,-,-,-,-,0,0.5,,,,,,,,,
216,James Bay,,,,,,,,,,,,,,,,
217,Employees that were entitled to parental leave1,Quantity,-,-,-,-,1,1,,,,,,,,,
218,- Male,Quantity,-,-,-,-,1,0,,,,,,,,,
219,- Female,Quantity,-,-,-,-,0,1,,,,,,,,,
220,Employees that took Parental Leave,Quantity,-,-,-,-,1,1,,,,,,,,,
221,- Male,Quantity,-,-,-,-,1,0,,,,,,,,,
222,- Female,Quantity,-,-,-,-,0,1,,,,,,,,,
223,Employees that return from Parental Leave,Quantity,-,-,-,-,1,1,,,,,,,,,
224,- Male,Quantity,-,-,-,-,1,0,,,,,,,,,
225,- Female,Quantity,-,-,-,-,0,1,,,,,,,,,
226,Return to work rate,Ratio,-,-,-,-,1,1,,,,,,,,,
227,- Male,Ratio,-,-,-,-,1,0,,,,,,,,,
228,- Female,Ratio,-,-,-,-,0,1,,,,,,,,,
229,Mt Cattlin,,,,,,,,,,,,,,,,
230,Employees that were entitled to parental leave1,Quantity,-,-,-,-,4,-,,,,,,,,,
231,- Male,Quantity,-,-,-,-,3,-,,,,,,,,,
232,- Female,Quantity,-,-,-,-,1,-,,,,,,,,,
233,Employees that took Parental Leave,Quantity,-,-,-,-,4,-,,,,,,,,,
234,- Male,Quantity,-,-,-,-,3,-,,,,,,,,,
235,- Female,Quantity,-,-,-,-,1,-,,,,,,,,,
236,Employees that return from Parental Leave,Quantity,-,-,-,-,3,-,,,,,,,,,
237,- Male,Quantity,-,-,-,-,3,-,,,,,,,,,
238,- Female,Quantity,-,-,-,-,0,-,,,,,,,,,
239,Return to work rate,Ratio,-,-,-,-,0.75,-,,,,,,,,,
240,- Male,Ratio,-,-,-,-,1,-,,,,,,,,,
241,- Female,Ratio,-,-,-,-,0,-,,,,,,,,,
242,1. This includes all employees who formally requested parental leave,,,,,,,,,,,,,,,,
243,2. Corresponds to a female employee who at the end of the reporting period (June 30th 2023) is still on parental leave.,,,,,,,,,,,,,,,,
244,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
246,Compensation,,,,,,,,,,,,,,,,
248,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
250,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
251,"Total compensation paid to employees/payroll, including benefits",USD,15314652,15143413.84,13515633,13559551.11,17321084,25357668.654782,,,,,,,,,
252,Sal de Vida,,,,,,,,,,,,,,,,
253,"Total compensation paid to employees/payroll, including benefits",USD,-,-,-,-,4552993.08971,6610426.02,,,,,,,,,
254,James Bay,,,,,,,,,,,,,,,,
255,"Total compensation paid to employees/payroll, including benefits",USD,-,-,-,-,1136864.8,4141559.8,,,,,,,,,
256,Mt Cattlin,,,,,,,,,,,,,,,,
257,"Total compensation paid to employees/payroll, including benefits",USD,-,-,-,-,7828742.538666,15921176,,,,,,,,,
258,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
260,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
261,Executive - Employee Ratio,,,,,,,,,,,,,,,,
262,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
263,Ratio of annual total compensation for highest paid individual in the country to the median annual total compensation for all employees in the country,Quantity,4.78,5.98,10.68,8.34,7.16,10.26107,,,,,,,,,
264,Ratio of percentage increase in annual total compensation for the organisation's highest-paid individual to the median percentage increase in annual total compensation for all employees,Quantity,0.68,0.43,0.39,0.27,0.12,0.127,,,,,,,,,
265,Sal de Vida,,,,,,,,,,,,,,,,
266,Ratio of annual total compensation for highest paid individual in the country to the median annual total compensation for all employees in the country,Quantity,-,-,-,-,8.07878,6.100822,,,,,,,,,
267,Ratio of percentage increase in annual total compensation for the organisation's highest-paid individual to the median percentage increase in annual total compensation for all employees,Quantity,-,-,-,-,0.420947,0.683707,,,,,,,,,
268,James Bay,,,,,,,,,,,,,,,,
269,Ratio of annual total compensation for highest paid individual in the country to the median annual total compensation for all employees in the country,Quantity,-,-,-,-,1.56,2.121041,,,,,,,,,
270,Ratio of percentage increase in annual total compensation for the organisation's highest-paid individual to the median percentage increase in annual total compensation for all employees,Quantity,-,-,-,-,0.8,1,,,,,,,,,
271,Mt Cattlin,,,,,,,,,,,,,,,,
272,Ratio of annual total compensation for highest paid individual in the country to the median annual total compensation for all employees in the country,Ratio,-,-,-,-,2.11,-,,,,,,,,,
273,Ratio of percentage increase in annual total compensation for the organisation's highest-paid individual to the median percentage increase in annual total compensation for all employees,Ratio,-,-,-,-,2.793296,-,,,,,,,,,
274,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
276,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
277,Female to men Salary Ratio1,,,,,,,,,,,,,,,,
278,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
279,Managers,Ratio,0.91,0.86,0.82,0.79,0.81,1.01ÃÂ¼,,,,,,,,,
280,Middle Management,Ratio,0.97,0.89,0.97,0.88,0.81,1.09ÃÂ¼,,,,,,,,,
281,Analyst/assistant,,-,-,-,-,0.82,0.85ÃÂ¼,,,,,,,,,
282,Operators,Ratio,0.92,1.03,1.02,0.9,0.94,0.82ÃÂ¼,,,,,,,,,
283,Sal de Vida,,,,,,,,,,,,,,,,
284,Managers,Ratio,-,-,-,-,0.507833,0.78ÃÂ¼,,,,,,,,,
285,Middle Management,Ratio,-,-,-,-,0.92579,1.01ÃÂ¼,,,,,,,,,
286,Analyst/assistant,Ratio,,,,,0.935711,0.88ÃÂ¼,,,,,,,,,
287,Operators,Ratio,-,-,-,-,1.012618,0.87ÃÂ¼,,,,,,,,,
288,James Bay,,,,,,,,,,,,,,,,
289,Managers,Ratio,-,-,-,-,0.86,0.89ÃÂ¼,,,,,,,,,
290,Middle Management,Ratio,-,-,-,-,,0.88ÃÂ¼,,,,,,,,,
291,Analyst/Assistants,Ratio,-,-,-,-,1.266667,1.06ÃÂ¼,,,,,,,,,
292,Operators 2,Ratio,-,-,-,-,,NAÃÂ¼,,,,,,,,,
293,Mt Cattlin,,,,,,,,,,,,,,,,
294,Managers,Ratio,-,-,-,-,0,0.77ÃÂ¼,,,,,,,,,
295,Middle Management3,Ratio,-,-,-,-,0.735602,NAÃÂ¼,,,,,,,,,
296,Analyst/assistant,Ratio,-,-,-,-,0.654982,0.84ÃÂ¼,,,,,,,,,
297,Operators,Ratio,-,-,-,-,0.597577,0.95ÃÂ¼,,,,,,,,,
298,1. These ratios are calculated based on average female salary divided by average male salary for each employment category,,,,,,,,,,,,,,,,
299,2. For JB no employees Operators.,,,,,,,,,,,,,,,,
300,"3. For MC, no female employees on middle management positions.",,,,,,,,,,,,,,,,
301,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
304,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
305,Starting Level Salary Ratio 1,,,,,,,,,,,,,,,,
306,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
307,Average male starting wage ratio to local minimum wage value,Ratio,-,-,-,3.44,3.24,3.406653,,,,,,,,,
308,Average female starting wage ratio to local minimum wage value,Ratio,-,-,-,3.44,3.19,3.314832,,,,,,,,,
309,Sal de Vida,,,,,,,,,,,,,,,,
310,Average male starting wage ratio to local minimum wage value,Ratio,-,-,-,-,3.27,6.417,,,,,,,,,
311,Average female starting wage ratio to local minimum wage value,Ratio,-,-,-,-,3.19,6.19,,,,,,,,,
312,James Bay,,,,,,,,,,,,,,,,
313,Average male starting wage ratio to local minimum wage value,Ratio,-,-,-,-,2.53,2.62,,,,,,,,,
314,Average female starting wage ratio to local minimum wage value,Ratio,-,-,-,-,3.21,2.36,,,,,,,,,
315,Mt Cattlin,,,,,,,,,,,,,,,,
316,Average male starting wage ratio to local minimum wage value,Ratio,-,-,-,-,1.59,-,,,,,,,,,
317,Average female starting wage ratio to local minimum wage value,Ratio,-,-,-,-,1.59,-,,,,,,,,,
318,1 - Ratio calculated considering the starting wage for each company (including benefits) against the local minimum wage value for June 2023.,,,,,,,,,,,,,,,,
319,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
321,Turnover,,,,,,,,,,,,,,,,
323,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
324,Turnover 1,,,,,,,,,,,,,,,,
325,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
326,Overall turnover,Quantity,41,34,49,31,50,65,,,,,,,,,
327,Overall turnover rate,%,0.132686,0.072805,0.103376,0.063008,0.079618,0.083655,,,,,,,,,
328,Voluntary turnover,Quantity,20,24,22,25,36,30,,,,,,,,,
