Unnamed: 0,2023 Sustainability Report - Environment,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
479,Area of sites used for operational activities,km2,180,180,180,180,180,230,,,,,,,
480,Biodiversity impact Assessment,,,,,,,,,,,,,,
481,Number of sites used for operational activities assessed and mapped for biodiversity (past 5 years),Quantity,1,1,1,1,1,1,,,,,,,
482,Area of sites used for operational activities assessed and mapped for biodiversity (past five years),km2,180,180,180,180,180,230,,,,,,,
483,Exposure,,,,,,,,,,,,,,
484,"Number of operational sites that are in, or adjacent to, protected areas and areas of high biodiversity value 1,2",Quantity,0,0,0,0,0,1ÃÂ¼,,,,,,,
485,"Number of operational sites that are in, or adjacent to, protected areas and areas of high biodiversity value1,2",km2,0,0,0,0,0,138ÃÂ¼,,,,,,,
486,Sal de Vida,,,,,,,,,,,,,,
487,Overall,,,,,,,,,,,,,,
488,Number of sites used for operational activities,Quantity,-,-,-,-,1,1,,,,,,,
489,Area of sites used for operational activities3,km2,-,-,-,-,260.67,260.67,,,,,,,
490,Biodiversity impact Assessment,,,,,,,,,,,,,,
491,Number of sites used for operational activities assessed and mapped for biodiversity (past 5 years),Quantity,-,-,-,-,1,1,,,,,,,
492,Area of sites used for operational activities assessed and mapped for biodiversity (past five years),km2,-,-,-,-,260.67,260.67,,,,,,,
493,Exposure,,,,,,,,,,,,,,
494,"Number of operational sites that are in, or adjacent to, protected areas and areas of high biodiversity value1,4",Quantity,,,,,0,1ÃÂ¼,,,,,,,
495,"Number of operational sites that are in, or adjacent to, protected areas and areas of high biodiversity value1,4",km2,-,-,-,-,0,261ÃÂ¼,,,,,,,
496,James Bay,,,,,,,,,,,,,,
497,Overall,,,,,,,,,,,,,,
498,Number of sites used for operational activities,Quantity,-,-,-,-,0,0,,,,,,,
499,Area of sites used for operational activities,km2,-,-,-,-,0,0,,,,,,,
500,Biodiversity impact Assessment,,,,,,,,,,,,,,
501,Number of sites used for operational activities assessed and mapped for biodiversity (past 5 years) 5,Quantity,-,-,-,-,1,1,,,,,,,
502,Area of sites used for operational activities assessed and mapped for biodiversity (past five years) 5,km2,-,-,-,-,36.9,36.9,,,,,,,
503,Exposure,,,,,,,,,,,,,,
504,"Number of operational sites that are in, or adjacent to, protected areas and areas of high biodiversity value",Quantity,,,,,0,0ÃÂ¼,,,,,,,
505,"Number of operational sites that are in, or adjacent to, protected areas and areas of high biodiversity value",km2,-,-,-,-,0,0ÃÂ¼,,,,,,,
506,Mt Cattlin,,,,,,,,,,,,,,
507,Overall,,,,,,,,,,,,,,
508,Number of sites used for operational activities,Quantity,-,-,-,-,1,1,,,,,,,
509,Area of sites used for operational activities,km2,-,-,-,-,2.7,2.7,,,,,,,
510,Biodiversity impact Assessment,,,,,,,,,,,,,,
511,Number of sites used for operational activities assessed and mapped for biodiversity (past 5 years),Quantity,-,-,-,-,1,1,,,,,,,
512,Area of sites used for operational activities assessed and mapped for biodiversity (past five years),km2,-,-,-,-,5.98,5.98,,,,,,,
513,Exposure,,,,,,,,,,,,,,
514,"Number of operational sites that are in, or adjacent to, protected areas and areas of high biodiversity value 6",Quantity,,,,,1,1ÃÂ¼,,,,,,,
515,"Area of operational sites that are in, or adjacent to, protected areas or areas of high biodiversity value 6",km2,-,-,-,-,0.55,0.55ÃÂ¼,,,,,,,
516,"1. Due to IFC financing and new requirements related to biodiversity, the criteria for determining the High Value Biodiversity indicator for operations in Argentina has been changed from previous years.",,,,,,,,,,,,,,
517,"2. Allkem's Salar de Olaroz Mining Operation is located in The Salar de Olaroz in the province of Jujuy, Argentina (latitude: -23.55, longitude:-66.75). Part of the site is located within the Olaroz-Cauchari Reserve, which was created in 1981 as a multiple-use area, with the purpose of preserving biodiversity, specifically the protection of VicuÃÂ±as (Vicugna vicugna). Agricultural, mining and scientific-technical research programs can be carried out in this area. We work with local communities to monitor the region's biodiversity through our sustainable vicuÃÂ±a management program.",,,,,,,,,,,,,,
518,3. FY2022 information has been restated according to the latest measurement of the department of infrastructure and services.,,,,,,,,,,,,,,
519,"4. Sal de Vida Project is located within the Salar del Hombre Muerto, in the province of Catamarca, Argentina (latitude:-25.42, longitude: -66.89). In accordance with IFC's ND6 (2012) criteria for determining the presence of critical habitats, several species were identified that meet Criteria 2 and/or 3 thresholds to trigger a Critical Habitat (CH): the Andean Flamingo, Horned Coot, Liolaemus vulcanus, and Liolaemus kunza. In addition, the Project overlaps with the Salar de Hombre Muerto Key Biodiversity Area",,,,,,,,,,,,,,
520,"5. James Bay Project is Located in northern QuÃÂ©bec, approximately 130 km east of James Bay and the Cree Nation of Eastmain community (latitude: 52.24, longitude: -77.07). The project is still in design and permitting stage, with no operational activities on site. The area was mapped for biodiversity and monitoring programs and procedure for fauna, flora and land use are being developed.",,,,,,,,,,,,,,
