Unnamed: 0,2023 Sustainability Report - Value Chain,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,SDJ: Sales de Jujuy (Olaroz Lithium Facility) - SDV: Sal de Vida - JB: James Bay - MC: Mt Cattlin,,,,,,,,,,
2,Production,,,,,,,,,,
4,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,
5,Production*,,,,,,,,,,
6,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,
7,Lithium Carbonate Production,tonnes,12470,12605,11922,12611,12863,16703,,,
8,Mt Cattlin,,,,,,,,,,
9,Spodumene production,tonnes,-,-,-,-,193564,130982,,,
10,*For Sal de Vida and James Bay the production indicators are not applicable because they are still in the early stages of the project and have no production.,,,,,,,,,,
11,Ã¢ÂÂÃÂ : No information,,,,,,,,,,
13,Customers,,,,,,,,,,
15,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,
16,Product Quality*,,,,,,,,,,
17,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,
18,Process Capability 1,%,0.52,0.8,0.94,0.95,0.907,0.914,,,
19,Mt Cattlin,,,,,,,,,,
20,Final Product Li2O Grade 2,%,-,-,-,-,0.0557,0.053,,,
21,Average Plant Recovery Li2O,%,-,-,-,-,0.56,0.49,,,
22,*For Sal de Vida and James Bay the product quality indicators are not applicable because they are still in the early stages of the project and have no production.,,,,,,,,,,
23,1. Process Capability: % of Analytes with Cpk >1,,,,,,,,,,
24,2. Annual average. Market was willing to accept 5.2% spodumene; therefore production was adjusted to target lower grades,,,,,,,,,,
25,Ã¢ÂÂÃÂ : No information,,,,,,,,,,
27,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,
28,Satisfaction*,,,,,,,,,,
29,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,
30,Number of claims / 1000 dispatches,quantity,23.4,39.3,29,35.2,31,19,,,
31,Claims Index (%) 1,%,0.0058,0.0087,0.009,0.0026,0.0068,0.0006,,,
32,Claim resolution time2,days,-,-,20,15,7.3,4,,,
33,Mt Cattlin,,,,,,,,,,
34,% shipments with costumer complains,%,-,-,-,-,0,0,,,
35,*For Sal de Vida and James Bay the Costumers satisfaction indicators are not applicable because they are still in the early stages of the project and have no production.,,,,,,,,,,
36,1. Claimed Product (product that does not meet technical specifications) (tonnes) / Total Product Dispatched (tonnes),,,,,,,,,,
37,"2. Measures the response time and resolution of customer complaints, applying methodologies and a teamwork system. The time is measured from the receipt of the complaint to the delivery of the case investigation reports.",,,,,,,,,,
38,Ã¢ÂÂÃÂ : No information,,,,,,,,,,
40,Suppliers,,,,,,,,,,
42,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,
43,Suppliers by Region,,,,,,,,,,
44,Sales de Jujuy1 (Olaroz Lithium Facility),,,,,,,,,,
45,Local Communities,quantity,29,43,38,38,28,53,,,
46,Local Communities,%,0.04096,0.05375,0.055313,0.06051,0.036891,0.060023,,,
47,Provincial,quantity,176,181,150,101,157,148,,,
48,Provincial,%,0.248588,0.22625,0.218341,0.160828,0.206851,0.16761,,,
49,National,quantity,461,523,457,449,529,637,,,
50,National,%,0.65113,0.65375,0.665211,0.714968,0.69697,0.721404,,,
51,International,quantity,42,53,42,40,45,45,,,
52,International,%,0.059322,0.06625,0.061135,0.063694,0.059289,0.050963,,,
53,TOTAL,quantity,708.940678,800.93375,687.938865,628.936306,759,883,,,
54,Sal de Vida 2,,,,,,,,,,
55,Local Communities,quantity,-,-,-,-,16,12,,,
56,Local Communities,%,-,-,-,-,0.033126,0.026144,,,
57,Provincial,quantity,-,-,-,-,187,214,,,
58,Provincial,%,-,-,-,-,0.387164,0.466231,,,
59,National,quantity,-,-,-,-,256,224,,,
60,National,%,-,-,-,-,0.530021,0.488017,,,
61,International,quantity,-,-,-,-,24,9,,,
62,International,%,-,-,-,-,0.049689,0.019608,,,
63,TOTAL,quantity,-,-,-,-,483,459,,,
64,James Bay 3,,,,,,,,,,
65,Local Communities,quantity,-,-,-,-,3,2,,,
66,Local Communities,%,-,-,-,-,0.042857,0.022222,,,
67,Provincial,quantity,-,-,-,-,47,60,,,
68,Provincial,%,-,-,-,-,0.671429,0.666667,,,
69,National,quantity,-,-,-,-,12,18,,,
70,National,%,-,-,-,-,0.171429,0.2,,,
71,International,quantity,-,-,-,-,8,10,,,
72,International,%,-,-,-,-,0.114286,0.111111,,,
73,TOTAL,quantity,-,-,-,-,70,90,,,
