Unnamed: 0,2023 Sustainability Report - People,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
329,Voluntary turnover rate,%,0.064725,0.051392,0.046414,0.050813,0.057325,0.03861,,,,,,,,,
330,Sal de Vida,,,,,,,,,,,,,,,,
331,Overall turnover,Quantity,-,-,-,-,25,51,,,,,,,,,
332,Overall turnover rate,%,-,-,-,-,0.118483,0.173,,,,,,,,,
333,Voluntary turnover,Quantity,-,-,-,-,15,40,,,,,,,,,
334,Voluntary turnover rate,%,-,-,-,-,0.07109,0.136,,,,,,,,,
335,James Bay,,,,,,,,,,,,,,,,
336,Overall turnover,Quantity,-,-,-,-,2,3,,,,,,,,,
337,Overall turnover rate,%,-,-,-,-,0.1,0.107143,,,,,,,,,
338,Voluntary turnover,Quantity,-,-,-,-,2,3,,,,,,,,,
339,Voluntary turnover rate,%,-,-,-,-,0.1,0.107143,,,,,,,,,
340,Mt Cattlin,,,,,,,,,,,,,,,,
341,Overall turnover,Quantity,-,-,-,-,42,-,,,,,,,,,
342,Overall turnover rate,%,-,-,-,-,0.442105,-,,,,,,,,,
343,Voluntary turnover,Quantity,-,-,-,-,37,32,,,,,,,,,
344,Voluntary turnover rate,%,-,-,-,-,0.389474,0.303,,,,,,,,,
345,1 - All Turnover rates are calculated as a percentage of turnover over the total workforce.,,,,,,,,,,,,,,,,
346,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
348,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
349,Turnover by Gender1,,,,,,,,,,,,,,,,
350,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
351,Men,%,0.090615,0.057816,0.0865,0.051,0.0493,0.060489,,,,,,,,,
352,Women,%,0.042071,0.014989,0.0169,0.012,0.0303,0.023166,,,,,,,,,
353,Sal de Vida,,,,,,,,,,,,,,,,
354,Men,%,-,-,-,-,0.085308,0.109,,,,,,,,,
355,Women,%,-,-,-,-,0.023697,0.065,,,,,,,,,
356,James Bay,,,,,,,,,,,,,,,,
357,Men,%,-,-,-,-,0.1,0.035714,,,,,,,,,
358,Women,%,-,-,-,-,0,0.071429,,,,,,,,,
