Unnamed: 0,2023 Sustainability Report - Environment,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,SDJ: Sales de Jujuy (Olaroz Lithium Facility) - SDV: Sal de Vida - JB: James Bay - MC: Mt Cattlin,,,,,,,,,,,,,,
2,EHS Management and Compliance,,,,,,,,,,,,,,
4,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,,,,,
5,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,
6,Significant non-monetary penalties,,,,,,,,,,,,,,
7,Number of significant environmental non-monetary penalties 1,Quantity,0,0,0,0,0,0,,,,,,,
8,Significant fines,,,,,,,,,,,,,,
9,Number of significant environmental fines,Quantity,0,0,0,1,0,0,,,,,,,
10,Total value of significant environmental fines,USD,0,0,0,16300,0,0,,,,,,,
11,Sal de Vida,,,,,,,,,,,,,,
12,Significant non-monetary penalties,,,,,,,,,,,,,,
13,Number of significant environmental non-monetary penalties 1,Quantity,-,-,-,-,0,0,,,,,,,
14,Significant fines,,,,,,,,,,,,,,
15,Number of significant environmental fines,Quantity,-,-,-,-,0,0,,,,,,,
16,Total value of significant environmental fines,USD,-,-,-,-,0,0,,,,,,,
17,James Bay,,,,,,,,,,,,,,
18,Significant non-monetary penalties,,,,,,,,,,,,,,
19,Number of significant environmental non-monetary penalties 1,Quantity,-,-,-,-,0,0,,,,,,,
20,Significant fines,,,,,,,,,,,,,,
21,Number of significant environmental fines,Quantity,-,-,-,-,0,0,,,,,,,
22,Total value of significant environmental fines,USD,-,-,-,-,0,0,,,,,,,
23,Mt Cattlin,,,,,,,,,,,,,,
24,Significant non-monetary penalties,,,,,,,,,,,,,,
25,Number of significant environmental non-monetary penalties 1,Quantity,-,-,-,-,0,0,,,,,,,
26,Significant fines,,,,,,,,,,,,,,
27,Number of significant environmental fines,Quantity,-,-,-,-,0,0,,,,,,,
28,Total value of significant environmental fines,USD,-,-,-,-,0,0,,,,,,,
29,1. A non-monetary penalty is defined as a penalty that can be remedied by providing requested information and supporting technical documentation.,,,,,,,,,,,,,,
31,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,
32,Energy,,,,,,,,,,,,,,
34,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,,,,,
35,Fuel Consumption (non-renewable),,,,,,,,,,,,,,
36,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,
37,Total Fuel Consumption (non-renewable),GJ,672376.735149,793514.279837,749409.53683,671516,890643,"1,001,391ÃÂ¼",,,,,,,
38,Natural Gas 1,GJ,610406.544309,626696.279837,575027.46483,611967,758753,"863,439ÃÂ¼",,,,,,,
39,Diesel 2,GJ,61748.19084,166818,174382.072,59549,131890,"137,952ÃÂ¼",,,,,,,
40,Purchased Energy,GJ,-,-,-,-,251,288ÃÂ¼,,,,,,,
41,Purchased electricity - Jujuy Office3,GJ,-,-,-,-,251,288ÃÂ¼,,,,,,,
42,Total Energy Consumption,GJ,610406.44492,626696.28546,575027.83097,611967,758753,"1,001,679ÃÂ¼",,,,,,,
43,Electricity Intensity4,GJ,24.98,26.21,27.49,30.334232,26,24.52,,,,,,,
44,Heat Intensity 5,GJ/t,23.97,23.51,20.74,18.192213,20.4,15.23,,,,,,,
45,Energy Intensity,GJ/t,48.95,49.72,48.23,48.526445,46.4,39.744677,,,,,,,
46,Sal de Vida,,,,,,,,,,,,,,
47,Total Fuel Consumption (non-renewable),GJ,-,-,-,-,62516,"213,111ÃÂ¼",,,,,,,
48,Diesel 2,GJ,-,-,-,-,62362,"212,644ÃÂ¼",,,,,,,
49,Petrol 6,GJ,-,-,-,-,154,467ÃÂ¼,,,,,,,
50,Purchased Energy,,-,-,-,-,204,233ÃÂ¼,,,,,,,
51,Purchased electricity - Catamarca Office3,GJ,-,-,-,-,204,233ÃÂ¼,,,,,,,
52,Total Energy Consumption,GJ,,,,,62720,"213,343ÃÂ¼",,,,,,,
53,James Bay,,,,,,,,,,,,,,
54,Total Fuel Consumption (non-renewable),GJ,-,-,-,-,4352,"6,213ÃÂ¼",,,,,,,
55,Diesel 2,GJ,-,-,-,-,3847,"5,250ÃÂ¼",,,,,,,
56,Petrol 6,GJ,-,-,-,-,373,802ÃÂ¼,,,,,,,
57,Propane 7,GJ,-,-,-,-,132,160ÃÂ¼,,,,,,,
58,Purchased Energy,,-,-,-,-,500,619,,,,,,,
59,Purchased electricity - Montreal Office3,GJ,-,-,-,-,124.53,121ÃÂ¼,,,,,,,
60,Purchased electricity - James Bay Camp Site3,GJ,-,-,-,-,375.38,499ÃÂ¼,,,,,,,
61,Total Energy Consumption,GJ,-,-,-,-,7882,"6,832ÃÂ¼",,,,,,,
62,Mt Cattlin,,,,,,,,,,,,,,
63,Total Fuel Consumption (non-renewable),GJ,-,-,-,-,513860,"781,819ÃÂ¼",,,,,,,
64,Diesel 8,GJ,-,-,-,-,513860,781819ÃÂ¼,,,,,,,
65,Renewable Energy,GJ,-,-,-,-,482.48,468 ÃÂ¼,,,,,,,
66,Solar energy 3,GJ,-,-,-,-,482,468 ÃÂ¼,,,,,,,
67,Total Energy Consumption,GJ,-,-,-,-,513860,"782,287ÃÂ¼",,,,,,,
68,Electricity Intensity 9,GJ/t,-,-,-,-,0.9,1.42,,,,,,,
69,Heat Intensity,GJ/t,-,-,-,-,,,,,,,,,
70,Energy Intensity,GJ/t,-,-,-,-,2.7,6,,,,,,,
71,1. Natural Gas: conversion factor from m3 to GJ = 0.03451,,,,,,,,,,,,,,
72,2. Diesel: conversion factor used from L to GJ = 0.036,,,,,,,,,,,,,,
73,3. Electricity: conversion factor from Kwh to GJ = 0.0036,,,,,,,,,,,,,,
74,"4. Total electricity consumed in operations per tonne of equivalent product. Electricity consumed on-site is generated from Natural gas. This intensity only considers electricity consumption for Operations (Stage 1). Stage 2 (facilities already built that on the reporting period are not part of the production process, but will be in the future) and Expansion consumptions are excluded to ensure comparability over time, as are non-production related consumptions.",,,,,,,,,,,,,,
75,5. Total heat consumed in operations per tonne of equivalent product. Heat is used in the processing plant and is generated on-site from Natural Gas.,,,,,,,,,,,,,,
76,6. Petrol: conversion factor from L to GJ = 0.037,,,,,,,,,,,,,,
77,7. Propane: conversion factor from L to GJ = 0.02531,,,,,,,,,,,,,,
78,8. Diesel: conversion factor used from L to GJ = 0.0386 according to the NGER (Measurement) Determination 2008,,,,,,,,,,,,,,
79,"9. Total electricity consumed in operations per tonne of equivalent product. Includes electricity from diesel power gensets and electricity from solar panels, supplied for office consumption on site.",,,,,,,,,,,,,,
80,NA: Not Applicable,,,,,,,,,,,,,,
81,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,
83,Emissions,,,,,,,,,,,,,,
85,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,,,,,
86,Carbon Emissions*,,,,,,,,,,,,,,
87,Allkem Group,,,,,,,,,,,,,,
88,Scope 1 greenhouse gas emissions1,tCO2-e,-,-,-,-,120707.8,134513,,,,,,,
89,Scope 2 greenhouse gas emissions1,tCO2-e,-,-,-,-,-,160.896804,,,,,,,
90,Operational Emissions intensity of lithium assets (Scope 1+2) 2,tCO2-e/t LCE,-,-,-,-,2.22,3.052467,,,,,,,
91,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,
92,GHG Emissions Summary,,,,,,,,,,,,,,
93,"Scope 1 greenhouse gas emissions3, 8",tCO2-e,39206.209332,47719.311654,48673.35985,44647.5,58049,"63,213ÃÂ¼",,,,,,,
94,"- Operations 4, 8",tCO2-e,39206.209332,39507,39572.825853,42064.5,43385,"46,075ÃÂ¼",,,,,,,
95,- Stage 2 5,tCO2-e,-,-,-,-,8192,"9,637ÃÂ¼",,,,,,,
96,- Expansion,tCO2-e,-,8213,9100.533997,2583,6472,"7,502ÃÂ¼",,,,,,,
97,Scope 2 greenhouse gas emissions 3,tCO2-e,21.920357,37,30.46733,22,27,31.42ÃÂ¼,,,,,,,
98,Scope 3 greenhouse gas emissions 3,tCO2-e,6009,5838,5838,47412.831347,81908.615012,"99,827ÃÂ¼",,,,,,,
99,Scope 1+2 - Total emissions intensity 6,tCO2-e/t,3.1458,3.78868,4.085206,3.542106,4.5,3.785086,,,,,,,
100,Scope 1+2 - Operational emissions intensity 7,tCO2-e/t,3.1458,3.136374,3.321526,3.337126,3.4,2.76056,,,,,,,
101,Lithium Carbonate Production,t,12470,12605,11922,12611,12863,16703,,,,,,,
102,Sal de Vida,,,,,,,,,,,,,,
103,GHG Emissions Summary,,,,,,,,,,,,,,
104,Scope 1 greenhouse gas emissions 3,tCO2-e,-,-,-,-,4669,"15,984ÃÂ¼",,,,,,,
105,Scope 2 greenhouse gas emissions 3,tCO2-e,-,-,-,-,22,25ÃÂ¼,,,,,,,
106,Scope 3 greenhouse gas emissions 3,tCO2-e,-,-,-,-,1338.073486,"4,234ÃÂ¼",,,,,,,
107,James Bay,,,,,,,,,,,,,,
108,GHG Emissions Summary,,,,,,,,,,,,,,
109,Scope 1 greenhouse gas emissions 3,tCO2-e,-,-,-,-,316,463.18ÃÂ¼,,,,,,,
110,Scope 2 greenhouse gas emissions 3,tCO2-e,-,-,-,-,0.2,0.6ÃÂ¼,,,,,,,
111,Scope 3 greenhouse gas emissions 3,tCO2-e,-,-,-,-,30.763,46.84ÃÂ¼,,,,,,,
112,Mt Cattlin,,,,,,,,,,,,,,
113,GHG Emissions Summary,,,,,,,,,,,,,,
114,Scope 1 greenhouse gas emissions 3,tCO2-e,-,-,-,-,39001,"54,853ÃÂ¼",,,,,,,
115,Scope 2 greenhouse gas emissions 3,tCO2-e,-,-,-,-,,NA ÃÂ¼,,,,,,,
116,"Scope 3 greenhouse gas emissions 3,9",tCO2-e,-,-,-,-,397008,215353.63666,,,,,,,
117,Scope 1+2 - Total emissions intensity 6,tCO2-e/t,-,-,-,-,0.2,0.418783,,,,,,,
118,Scope 1+2 - Operational emissions intensity 7,tCO2-e/t,-,-,-,-,0.2,0.418783,,,,,,,
119,Spodumene production,t,-,-,-,-,193564,130982,,,,,,,
120,1. Includes all subsidiary companies and corporate of the Allkem group.,,,,,,,,,,,,,,
121,"2. FY22 intensity value includes SDJ (Olaroz) and MC operations. For the purpose of these metrics, a conversion factor of 8 has been used for Spodumene concentrate to LCE (Lithium Carbonate Equivalent).",,,,,,,,,,,,,,
122,"3. See GHG emission factor sheet for the emission factors used and more info on each category included on Scope 1, 2 and 3.",,,,,,,,,,,,,,
123,4. Emissions associated only with SDJ operations. Emissions corresponding to Expansion and Stage 2 activities are reported separately to facilitate understanding of the operational emissions intensity indicator.,,,,,,,,,,,,,,
