Unnamed: 0,2023 Sustainability Report - People,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
491,International hire rate,%,-,-,-,-,0.1,0.143,,,,,,,,,
492,Mt Cattlin,,,,,,,,,,,,,,,,
493,Local hires,Quantity,-,-,-,-,16,10,,,,,,,,,
494,Local hire rate,%,-,-,-,-,0.168421,0.087,,,,,,,,,
495,Provincial hires,Quantity,-,-,-,-,33,30,,,,,,,,,
496,Provincial hire rate,%,-,-,-,-,0.347368,0.261,,,,,,,,,
497,National hires,Quantity,-,-,-,-,0,2,,,,,,,,,
498,National hire rate,%,-,-,-,-,0,0.017,,,,,,,,,
499,International hires,Quantity,-,-,-,-,0,0,,,,,,,,,
500,International hire rate,%,-,-,-,-,0,0,,,,,,,,,
501,1 - All hiring rates are calculated as a percentage of new hires over the total workforce.,,,,,,,,,,,,,,,,
502,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
505,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
506,New Hires by Age1,,,,,,,,,,,,,,,,
507,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
508,Number of hires <30,Quantity,17,66,15,16,72,79,,,,,,,,,
509,Hire rate <30,%,0.055016,0.141328,0.031646,0.03252,0.11465,0.101673,,,,,,,,,
510,Number of hires 30-50,Quantity,44,97,42,29,90,221,,,,,,,,,
511,Hire rate 30-50,%,0.142395,0.207709,0.088608,0.058943,0.143312,0.284427,,,,,,,,,
512,Number of hires >50,Quantity,2,12,6,6,6,19,,,,,,,,,
513,Hire rate >50,%,0.006472,0.025696,0.012658,0.012195,0.009554,0.024453,,,,,,,,,
514,Sal de Vida,,,,,,,,,,,,,,,,
515,Number of hires <30,Quantity,-,-,-,-,49,49,,,,,,,,,
516,Hire rate <30,%,-,-,-,-,0.232227,0.167,,,,,,,,,
517,Number of hires 30-50,Quantity,-,-,-,-,70,147,,,,,,,,,
518,Hire rate 30-50,%,-,-,-,-,0.331754,0.5,,,,,,,,,
519,Number of hires >50,Quantity,-,-,-,-,12,12,,,,,,,,,
520,Hire rate >50,%,-,-,-,-,0.056872,0.041,,,,,,,,,
521,James Bay,,,,,,,,,,,,,,,,
522,Number of hires <30,Quantity,-,-,-,-,0,1,,,,,,,,,
523,Hire rate <30,%,-,-,-,-,0,0.035714,,,,,,,,,
524,Number of hires 30-50,Quantity,-,-,-,-,10,12,,,,,,,,,
525,Hire rate 30-50,%,-,-,-,-,0.5,0.428571,,,,,,,,,
526,Number of hires >50,Quantity,-,-,-,-,4,2,,,,,,,,,
527,Hire rate >50,%,-,-,-,-,0.2,0.071429,,,,,,,,,
528,Mt Cattlin,,,,,,,,,,,,,,,,
529,Number of hires <30,Quantity,-,-,-,-,12,-,,,,,,,,,
530,Hire rate <30,%,-,-,-,-,0.126316,-,,,,,,,,,
531,Number of hires 30-50,Quantity,-,-,-,-,26,-,,,,,,,,,
532,Hire rate 30-50,%,-,-,-,-,0.273684,-,,,,,,,,,
533,Number of hires >50,Quantity,-,-,-,-,11,-,,,,,,,,,
534,Hire rate >50,%,-,-,-,-,0.115789,-,,,,,,,,,
535,1 - All hiring rates are calculated as a percentage of new hires over the total workforce.,,,,,,,,,,,,,,,,
536,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
538,Freedom of Association and Collective Bargaining,,,,,,,,,,,,,,,,
540,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
541,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
542,Percentage of workers covered by Collective Bargaining Agreements,%,0.36,0.41,0.4135,0.396,0.403,38%ÃÂ¼,,,,,,,,,
543,Sal de Vida,,,,,,,,,,,,,,,,
544,Percentage of workers covered by Collective Bargaining Agreements,%,-,-,-,-,0.35545,27%ÃÂ¼,,,,,,,,,
545,James Bay,,,,,,,,,,,,,,,,
546,Percentage of workers covered by Collective Bargaining Agreements,%,-,-,-,-,0,0%ÃÂ¼,,,,,,,,,
547,Mt Cattlin,,,,,,,,,,,,,,,,
548,Percentage of workers covered by Collective Bargaining Agreements,%,-,-,-,-,0,0%ÃÂ¼,,,,,,,,,
549,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
551,Learning and Development,,,,,,,,,,,,,,,,
553,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
554,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
555,Hours of training for all employees,Hours,-,12951,19521.3,13260,7715,30618,,,,,,,,,
556,Average training hours per employee,Hours,-,27.732334,41.184177,26.95122,12.3,39.405405,,,,,,,,,
557,Total investment in training,USD,-,83332.65,44058.901732,65972.3,134164.311557,215410,,,,,,,,,
558,Average investment per employee,USD,-,178.442505,92.951269,134.090041,213.637439,277.232947,,,,,,,,,
559,Sal de Vida,,,,,,,,,,,,,,,,
560,Hours of training for all employees,Hours,-,-,-,-,6938,18316.45,,,,,,,,,
561,Average training hours per employee,Hours,-,-,-,-,32.9,62.3,,,,,,,,,
562,Total investment in training,USD,-,-,-,-,40634.85,169069.22,,,,,,,,,
563,Average investment per employee,USD,-,-,-,-,192.582227,575,,,,,,,,,
564,James Bay,,,,,,,,,,,,,,,,
565,Hours of training for all employees,Hours,-,-,-,-,130,833,,,,,,,,,
566,Average training hours per employee,Hours,-,-,-,-,6.5,29.75,,,,,,,,,
567,Total investment in training,USD,-,-,-,-,1687.832,12396,,,,,,,,,
568,Average investment per employee,USD,-,-,-,-,84.3916,442.714286,,,,,,,,,
569,Mt Cattlin 1,,,,,,,,,,,,,,,,
570,Hours of training for all employees,Hours,-,-,-,-,-,-,,,,,,,,,
571,Average training hours per employee,Hours,-,-,-,-,-,-,,,,,,,,,
572,Total investment in training,USD,-,-,-,-,-,84071.3736,,,,,,,,,
573,Average investment per employee,USD,-,-,-,-,-,731.055423,,,,,,,,,
574,1. Training and development information is not available for Mt Cattlin. We are working to improve the management of this information in the upcoming years.,,,,,,,,,,,,,,,,
575,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
577,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
578,Training and Education by gender,,,,,,,,,,,,,,,,
579,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
580,Male employees total training hours,Hours,-,11076,15370,11286,6585,21917.95,,,,,,,,,
581,Average training hours per male employee,Hours,-,27.969697,38.233831,27.594132,13.09,28.20843,,,,,,,,,
582,Female employees total training hours,Hours,-,1875,4151,1974,1130,8700.5,,,,,,,,,
583,Average training hours per female employee,Hours,-,26.408451,57.652778,23.783133,9.04,11.197555,,,,,,,,,
584,TOTAL,Hours,,12951,19521,13260,7715,30618.45,,,,,,,,,
585,Sal de Vida,,,,,,,,,,,,,,,,
586,Male employees total training hours,Hours,-,-,-,-,-,13918.95,,,,,,,,,
587,Average training hours per male employee,Hours,-,-,-,-,-,47.3,,,,,,,,,
588,Female employees total training hours,Hours,-,-,-,-,-,4397.5,,,,,,,,,
589,Average training hours per female employee,Hours,-,-,-,-,-,15,,,,,,,,,
590,TOTAL,Hours,,,,,,18316.45,,,,,,,,,
591,James Bay,,,,,,,,,,,,,,,,
592,Male employees total training hours,Hours,-,-,-,-,95,613,,,,,,,,,
