Unnamed: 0,2023 Sustainability Report - People,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
83,Provincial,Quantity,-,-,-,-,41,58ÃÂ¼,,,,,,,,,
84,National,Quantity,-,-,-,-,0,2ÃÂ¼,,,,,,,,,
85,International,Quantity,-,-,-,-,0,0ÃÂ¼,,,,,,,,,
86,TOTAL,Quantity,,,,,95,115ÃÂ¼,,,,,,,,,
87,"1. Values corresponding to operations and expansion. For SDJ, Local employees are considered to be those from Olaroz Chico, Susques, Hauncar, Pastos Chicos, Puesto Sey, Catua, Jama, El Toro, Coranzuli, and San Juan de Quillaques. As Provincial, the ones from the province of Jujuy (excluding local communities), as National those in Argentina (excluding the province of Jujuy) and as International, the rest of the world.",,,,,,,,,,,,,,,,
88,"3. For SDV, local employees are the ones from the department of Antofagasta de la Sierra: Villa de Antofagasta, El PeÃÂ±ÃÂ³n, Antofalla, Los Nacimientos and the town of CiÃÂ©naga Redonda, as Provincial to the ones from the Province of Catamarca (not including local communities), as National to those from Argentina (except the province of Catamarca) and as International, those from the rest of the world.",,,,,,,,,,,,,,,,
89,"4. For JB, Local employees are the ones from the community of Eastmain, the 8 indigenous communities and all communities included within the Eyyou Itchee territory, Provincial to those from the Province of Quebec (excluding local communities), National to those from Canada (excluding the Province of Quebec) and International those from the rest of the world.",,,,,,,,,,,,,,,,
90,"5. For MC, Local employees are the ones from the towns of Ravensthorpe and Hopetoun within the Ravensthorpe shire (the only two residential areas within the zone), Provincials include those from the entire Western Australian region (excluding the local communities), Nationals include those from Australia (excluding Western Australia) and Internationals include the rest of the world.",,,,,,,,,,,,,,,,
91,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
94,INDICATOR,Units,2018,2019,2020,2020,2022,2023,,,,,,,,,
95,Workforce Breakdown by Age,,,,,,,,,,,,,,,,
96,Allkem Group,,,,,,,,,,,,,,,,
97,<30,Quantity,-,-,-,-,-,315,,,,,,,,,
98,30-50,Quantity,-,-,-,-,-,857,,,,,,,,,
99,>50,Quantity,-,-,-,-,-,180,,,,,,,,,
100,TOTAL,Quantity,,,,,,1352,,,,,,,,,
101,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
102,<30,Quantity,96,163,140,109,156,189,,,,,,,,,
103,30-50,Quantity,193,268,302,339,417,525,,,,,,,,,
104,>50,Quantity,20,36,32,44,55,63,,,,,,,,,
105,TOTAL,Quantity,309,467,474,492,628,777,,,,,,,,,
106,Sal de Vida,,,,,,,,,,,,,,,,
107,<30,Quantity,-,-,-,-,69,87,,,,,,,,,
108,30-50,Quantity,-,-,-,-,124,185,,,,,,,,,
109,>50,Quantity,-,-,-,-,18,22,,,,,,,,,
110,TOTAL,Quantity,,,,,211,294,,,,,,,,,
111,James Bay,,,,,,,,,,,,,,,,
112,<30,Quantity,-,-,-,-,0,1,,,,,,,,,
113,30-50,Quantity,-,-,-,-,14,22,,,,,,,,,
114,>50,Quantity,-,-,-,-,6,5,,,,,,,,,
115,TOTAL,Quantity,,,,,20,28,,,,,,,,,
116,Mt Cattlin,,,,,,,,,,,,,,,,
117,<30,Quantity,-,-,-,-,10,-,,,,,,,,,
118,30-50,Quantity,-,-,-,-,53,-,,,,,,,,,
119,>50,Quantity,-,-,-,-,32,-,,,,,,,,,
120,TOTAL,Quantity,,,,,95,-,,,,,,,,,
121,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
123,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
124,Workforce Breakdown by employment category,,,,,,,,,,,,,,,,
125,Allkem Group,,,,,,,,,,,,,,,,
126,Senior Executive positions,Quantity,-,-,-,-,-,11,,,,,,,,,
127,Director/Managers,Quantity,-,-,-,-,-,114,,,,,,,,,
128,Middle Management,Quantity,-,-,-,-,-,488,,,,,,,,,
129,Analyst/Assistants,Quantity,-,-,-,-,-,360,,,,,,,,,
130,Operators,Quantity,-,-,-,-,-,379,,,,,,,,,
131,TOTAL,Quantity,,,,,,1352,,,,,,,,,
132,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
133,Managers,Quantity,11,16,21,24,27,29,,,,,,,,,
134,Middle Management,Quantity,92,105,257,275,185,217,,,,,,,,,
135,Analyst/Assistants,Quantity,-,-,-,-,142,182,,,,,,,,,
136,Operators,Quantity,206,344,196,193,274,349,,,,,,,,,
137,TOTAL,Quantity,309,465,474,492,628,777,,,,,,,,,
138,Sal de Vida,,,,,,,,,,,,,,,,
139,Managers,Quantity,-,-,-,-,15,16,,,,,,,,,
140,Middle Management,Quantity,-,-,-,-,61,112,,,,,,,,,
141,Analyst/Assistants,Quantity,-,-,-,-,63,86,,,,,,,,,
142,Operators,Quantity,-,-,-,-,72,80,,,,,,,,,
143,TOTAL,Quantity,,,,,211,294,,,,,,,,,
144,James Bay,,,,,,,,,,,,,,,,
145,Managers,Quantity,-,-,-,-,12,11,,,,,,,,,
146,Middle Management,Quantity,-,-,-,-,6,11,,,,,,,,,
147,Analyst/Assistants,Quantity,-,-,-,-,2,6,,,,,,,,,
148,Operators,Quantity,-,-,-,-,0,0,,,,,,,,,
149,TOTAL,Quantity,,,,,20,28,,,,,,,,,
150,Mt Cattlin,,,,,,,,,,,,,,,,
151,Managers,Quantity,-,-,-,-,8,6,,,,,,,,,
152,Middle Management,Quantity,-,-,-,-,10,32,,,,,,,,,
153,Analyst/assistant,Quantity,-,-,-,-,25,57,,,,,,,,,
154,Operators,Quantity,-,-,-,-,52,20,,,,,,,,,
155,TOTAL,Quantity,,,,,95,115,,,,,,,,,
156,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
158,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
159,Local Workforce Breakdown by employment category,,,,,,,,,,,,,,,,
160,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
161,Local Managers,Quantity,-,-,-,-,-,0,,,,,,,,,
162,Local Middle Management,Quantity,-,-,-,-,-,15,,,,,,,,,
