2023 Sustainability Report - GRI Standards/UNGC/SDG/SASB Contents Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
303-3,Water withdrawal,Natural Capital,Environment Performance Data,Water & Resource efficiency,,,EM-MM-140a.1 (1),RT-CH-140a.1. (1),
Biodiversity,,,,,,,,,
GRI 304 - BIODIVERSITY (2016),,,,,,,,,
304-1,"Operational sites in, or adjacent to, protected areas and areas of high biodiversity value",Natural Capital,Environment Performance Data\n\nBiodiversity Management Approach,Land use & biodiversity,Principle 8,SDG12; SDG15,EM-MM-160a.3,,
304-2,"Significant impacts of activities, products, and services on biodiversity",Natural Capital,,Land use & biodiversity,Principle 8,SDG12; SDG15,,,
Emissions,,,,,,,,,
GRI 305 - EMISSIONS (2016),,,,,,,,,
305-1,Direct (Scope 1) GHG emissions,Climate Change & Decarbonisation,Environment Performance Data,Climate change response,"Principle 7, 8",SDG3; SDG12; SDG13; SDG15,EM-MM-110a.1,RT-CH-110a.1,
305-2,Energy indirect (Scope 2) GHG emissions,Climate Change & Decarbonisation,Environment Performance Data,Climate change response,"Principle 7, 8",SDG3; SDG12; SDG13; SDG15,,,
305-3,Other indirect (Scope 3) GHG emissions,Climate Change & Decarbonisation,Environment Performance Data,Climate change response,"Principle 7, 8",SDG3; SDG12; SDG13; SDG15,,,
305-4,GHG emissions intensity,Climate Change & Decarbonisation,Environment Performance Data,Climate change response,Principle 8,SDG3; SDG12; SDG13; SDG15,,,
305-7,"Nitrogen oxides (NOx), sulphur oxides\n(SOx), and other significant air emissions",Natural Capital,SOx and NOx emissions for Argentine operations are included in the air quality monitoring and are under detectable limits.\nAnnual emissions for Mt Cattlin are reported to the Australian Government National Pollution Inventory (NPI) database. \nhttp://www.npi.gov.au/npidata/action/load/emission-by-individual-facility-result/criteria/state/WA/year/2021/jurisdiction-facility/WA1264,Climate change response,,,,,
Effluents and Waste,,,,,,,,,
GRI 306 - WASTE (2020),,,,,,,,,
306-1,Waste generation and significant waste-related impacts,Natural Capital,"Waste Management Approach, TSF Disclosure","Waste, emissions & tailings management",Principle 8,SDG3; SDG6; SDG12,"EM-MM-540a.1, EM-MM-540a.2",,
306-2,Management of significant waste-related impacts,Natural Capital,"Waste Management Approach, TSF Disclosure","Waste, emissions & tailings management",Principle 8,SDG3; SDG6; SDG12,"EM-MM-540a.1, EM-MM-540a.2 EM-MM-150a.10.",,
306-3,Waste generated,Natural Capital,Environment Performance Data,"Waste, emissions & tailings management",Principle 8,SDG3; SDG6; SDG12; SDG15,"EM-MM-150a.4, EM-MM-150a.5, EM-MM-150a.6, EM-MM-150a.7",RT-CH-150a.1,
306-4,Waste diverted from disposal,"Natural Capital, Waste Management Approach",Environment Performance Data,"Waste, emissions & tailings management",Principle 8,SDG3; SDG6; SDG12;,EM-MM-150a.8,RT-CH-150a.1,
306-5,Waste directed to disposal,Natural Capital,Environment Performance Data,"Waste, emissions & tailings management",Principle 8,SDG6; SDG 13; SDG15,,,
Environmental Compliance,,,,,,,,,
ENVIRONMENTAL COMPLIANCE,,,,,,,,,
2.27,Non-compliance with environmental laws and regulations,Natural Capital,Environment Performance Data,,Principle 8,SDG16,EM-MM-140a.2.,RT-CH-140a.2,
Supplier Environmental Assessment,,,,,,,,,
GRI 308 -SUPPLIER ENVIRONMENTAL ASSESSMENT (2016),,,,,,,,,
308-1,New suppliers that were screened using environmental criteria,,Value Chain Performance Data,Sustainable value chain management,"Principle 7, 8",SDG12; SDG15,,,
Social Disclosures,,,,,,,,,
Employment,,,,,,,,,
GRI 401 -EMPLOYMENT (2016),,,,,,,,,
