Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1,,Operational footprint,,,,,,,,,,,,,
4,,GHG emissions Scope 1 & 2 (tonnes CO2-e),2023,2022,2021,2020,2019,,,,,,,,
5,,Australia,67761,79787,88808,101210,115688,,,,,,,,
6,,New Zealand,3602,4429,5205,5526,6846,,,,,,,,
7,,"Asia Pacific, Europe and America",17675,17664,17395,27357,34034,,,,,,,,
8,,TOTAL2,89038,101879,111409,134093,156568,,,,,,,,
9,,1. Environmental reporting year runs 1 July - 30 June to align to environmental regulatory reporting requirements. 2. Values may not add to totals due to rounding.,,,,,,,,,,,,,
12,,"Global GHG emissions Scope 1, 2 & 3 \n(tonnes CO2-e)",2023,2022,2021,2020,2019,,,,,,,,
13,,Scope 1,,,,,,,,,,,,,
14,,Premises energy,2667.7917,2229,1931,1811,3091,,,,,,,,
15,,Vehicle transport,3447.9616,3566,4476,9832,13018,,,,,,,,
16,,Other3,68.7815,24,17,119,140,,,,,,,,
17,,Scope 2,,,,,,,,,,,,,
18,,Premises energy,82853.28,96060,104984,122331,140319,,,,,,,,
19,,Scope 34,,,,,,,,,,,,,
20,,Premises energy,10325.2978,13143,16843,23330,28367,,,,,,,,
21,,Vehicle transport,1380.4439,600,668,1606,2069,,,,,,,,
22,,Travel - flights & accomodation,13252.1991,4114,1984,22109,38927,,,,,,,,
23,,Employee commuting5,10905.1054,5348,5438,15546,19400,,,,,,,,
24,,Paper 6,1944.6999,2315,2826,5013,2720,,,,,,,,
25,,Waste 6,1113.4143,1135,1564,1770,2511,,,,,,,,
26,,"Water6, 7",328.5751,306,186,233,297,,,,,,,,
27,,Work From Home8,11369.5937,11673,12780,-,-,,,,,,,,
28,,Cloud Services9,3209.1669,-,-,-,-,,,,,,,,
29,,Freight and Postage9,6233.1274,-,-,-,-,,,,,,,,
30,,Capital Goods10,558.3699,-,-,-,-,,,,,,,,
31,,TOTAL,149658,140514,153697,203700,250857,,,,,,,,
34,,"Global GHG emissions Scope 1, 2 & 3 \n(tonnes CO2-e) - Market-Based",2023,2022,2021,2020 12,,,,,,,,,
35,,Scope 1,6184.5,5819,6424,11762,,,,,,,,,
36,,Scope 2,35938.9,48531,59004.2072,83324,,,,,,,,,
37,,Scope 3,57340.97,30756,32652.8435,59578,,,,,,,,,
38,,TOTAL Market-Based,99464,85106,98082,154664.0146,,,,,,,,,
39,,Carbon offsets retired11,99464,85106,98082,154664.0146,,,,,,,,,
40,,Net GHG emissions,0,0,0,0,,,,,,,,,
