Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
44,,Sewerage and Drainage Services,0.157374,0.175381,0.2,0.1,0.1,,,,,,,
45,,Total,15.761826,17.319797,14.5,14.3,13,,,,,,,
46,,5. Values may not add to total due to rounding.,,,,,,,,,,,,
49,,Group agriculture exposure by sector ($b)6,2023,2022,2021,2020,2019,,,,,,,
50,,Dairy,9.777724,9.469607,10.8,11.4,12.3,,,,,,,
51,,Grain/Wheat,7.16459,7.110559,6.7,6.7,6.2,,,,,,,
52,,Beef,5.530302,5.257986,5.2,5.1,5.1,,,,,,,
53,,Sheep and Other Livestock,3.831693,3.591223,3.6,3.4,3.4,,,,,,,
54,,Horticulture/Fruit/Other crops,5.25821,4.810152,4.3,4.6,4.6,,,,,,,
55,,Forestry and Fishing/Agriculture Services,2.494977,2.789985,3.2,3.4,3.6,,,,,,,
56,,Total,34.057497,33.029511,33.867043,34.7,35.2,,,,,,,
57,,6. Values may not add to total due to rounding.,,,,,,,,,,,,
61,,EQUATOR PRINCIPLES,,,,,,,,,,,,
62,,Equator Principles category,Project finance,,,Project-related \ncorporate loans,,,Project-related \nacquisition finance,,,Project advisory services,,
63,,,A7,B8,C9,A7,B8,C9,A7,B8,C9,A7,B8,C9
65,,By sector,,,,,,,,,,,,
66,,Mining,,,,,,,,,,,,
67,,Infrastructure,,,1,,,,,,,,,
68,,Oil and Gas,,,,,,,,,,,,
69,,Power,,4,1,,,,,1,,,,
70,,Other,,,1,,,1,,,,,,
72,,By region,,,,,,,,,,,,
73,,Australia and New Zealand,,4,1,,,,,1,,,,
74,,Asia,,,,,,,,,,,,
75,,EMEA,,,,,,1,,,,,,
76,,Americas,,,2,,,,,,,,,
78,,By country designation10,,,,,,,,,,,,
79,,Designated,,4,3,,,1,,1,,,,
80,,Non-designated,,,,,,,,,,,,
82,,Independent review11,,,,,,,,,,,,
83,,Yes,,4,2,,,,,1,,,,
84,,No,,,1,,,1,,,,,,
85,,"7. Category A: Projects with potential significant adverse social or environmental impacts that are diverse, irreversible or unprecedented. 8. Category B: Projects with potential limited adverse social and environmental impacts that are few in number, generally site-specific, largely reversible and readily addressed through mitigation measures. 9. Category C: Projects with minimal or no social or environmental impacts. 10. Designated countries are defined by the Equator Principles as Ã¢ÂÂthose countries deemed to have robust environmental and social governance, legislation systems and institutional capacity designed to protect their people and the natural environment.Ã¢ÂÂ The list of designated countries can be found at http://equator-principles.com. 11. An independent review may not be required for all Projects eg. an independent review is not required for Category C Projects. Please refer to the Equator Principles for details on what is required for each category and product type.",,,,,,,,,,,,
88,,Project name,Industry sector,,Project location,,,,,,,,,
89,,SK On Hungary,Other,,Hungary,,,,,,,,,
90,,Project Kelly,Power & Utilities (Renewables),,Australia,,,,,,,,,
91,,Sun Streams 3,Power & Utilities (Renewables),,USA,,,,,,,,,
92,,Metka Terranova II,Power & Utilities (Renewables),,Australia,,,,,,,,,
93,,Goyder Wind Farm,Power & Utilities (Renewables),,Australia,,,,,,,,,
94,,Glenrowan Solar Farm,Power & Utilities (Renewables),,Australia,,,,,,,,,
95,,Project Kingsley,Power & Utilities (Renewables),,Australia,,,,,,,,,
96,,Project Cream,Telecommunications,,USA,,,,,,,,,
97,,Kensington BTR,Infrastructure,,Australia,,,,,,,,,
100,,PROJECT FINANCE - POWER GENERATION,,,,,,,,,,,,
102,,Project finance portfolio (%),2023,2022,2021,2020 12,2019,,,,,,,
103,,Renewables,97,90,88,87,83,,,,,,,
104,,Coal,1,2,3,5,9,,,,,,,
105,,Gas,1,8,9,7,8,,,,,,,
106,,12. Values do not add to 100 due to rounding.,,,,,,,,,,,,
109,,Project finance commitment to renewable energy ($m)13,2023,2022,2021,2020,2019,,,,,,,
110,,Renewables,2242,1505,1425,1501,1371,,,,,,,
111,,13. Refers to ANZÃ¢ÂÂs lending commitments as at 30 September 2022 to renewable energy projects made only on a non or limited recourse basis to the ultimate sponsors. This figure does not include ANZ lending made to renewable energy projects that may be funded under corporate debt facilities or through other lending products.,,,,,,,,,,,,
