Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1,,Community investment,,,,,,,,,,,,
4,,"Community investment by category \n($ million)1,2",,2023.0,2022.0,2021.0,2020,2019,,,,,,
5,,Cash,,23.8,22.5,27.0,26.582844,22.751026,,,,,,
6,,Time,,3.04,2.6,2.6,2.721135,5.283832,,,,,,
7,,In kind,,0.03,0.05,0.04,0.902293,0.563953,,,,,,
8,,Management costs,,5.4,4.6,4.0,4.182639,4.117617,,,,,,
9,,Foregone revenue,,109.2,106.7,106.0,105.150551,109.496224,,,,,,
10,,Total community investment,,141.6,136.4,139.7,139.539462,142.212652,,,,,,
11,,Total community investment as % of pre-tax profit,,1.3,1.4,1.6,2.5,1.6,,,,,,
12,,"1. Cash: gross monetary amount paid in support of a community organisation/project. Time: cost to the company of the paid working hours contributed by employees to a community organisation or activity. In-kind services: other non-cash resources to community activities (eg. company products or services or corporate resources). Management costs: costs incurred in making contributions, such as salaries and overheads. Forgone revenue: the cost of providing low or fee-free accounts to a range of customers such as government benefit recipients, not-for-profit organisations, students and the elderly. International transfer fees were waived for funds sent from Australia and New Zealand to Turkiye, Sri Lanka, Ukraine and the Pacific to support communities impacted by disaster-related events. Figure does not include remediation funds distributed to charity 2. Values may not add to totals due to rounding.",,,,,,,,,,,,
15,,Community investment by region \n($ million)3,,2023.0,2022.0,2021.0,2020,2019,,,,,,
16,,Australia,,13.4,14.9,17.6,-,-,,,,,,
17,,New Zealand,,10.1,7.6,9.5,-,-,,,,,,
18,,India,,2.3,1.8,1.6,-,-,,,,,,
19,,APEA,,1.0,0.8,0.9,-,-,,,,,,
20,,Total community investment,,26.9,25.1,29.6,-,-,,,,,,
21,,3. Commenced reporting in 2021. Excludes management costs and forgone revenue. Values may not add to totals due to rounding.,,,,,,,,,,,,
24,,Facilitated donations ($ million)4,,2023.0,2022.0,2021.0,2020,2019,,,,,,
25,,Employees,,1.2,1.5,1.7,1.841109,-,,,,,,
26,,Customers (including through internet banking),,0.8,1.0,0.9,0.777817,-,,,,,,
27,,Shareholders (including dividend charity donation program and forgone dividends),,0.1,0.5,0.3,0.028129,-,,,,,,
28,,Other Partners,,7.1,6.4,6.5,6.116728,-,,,,,,
29,,General Public (including Shout for Good),,15.6,12.8,8.4,10.162854,-,,,,,,
30,,Total,,24.9,22.2,17.8,18.926637,17.9,,,,,,
31,,4. Commenced reporting breakdown in 2020. Values may not add to totals due to rounding.,,,,,,,,,,,,
34,,Volunteering,,2023.0,2022.0,2021.0,2020,2019,,,,,,
35,,Volunteering days,,9477.0,6555.0,6830.0,8300,16800,,,,,,
36,,Volunteering hours,,75812.5,52443.5,54645.0,66402,134930,,,,,,
37,,- general volunteering hours5,,60505.0,31572.0,31415.0,-,-,,,,,,
38,,- skilled volunteering hours5,,15307.5,20871.5,23230.0,-,-,,,,,,
39,,Volunteering value ($million),,3.0,2.6,2.6,2.7,5.3,,,,,,
40,,Volunteering participation rate (%),,23.9,13.8,15.5,20.5,42.4,,,,,,
41,,5. Commenced reporting breakdown in 2021,,,,,,,,,,,,
44,,Financial inclusion programs,,2023.0,2022.0,2021.0,2020,2019,,,,,,
45,,MoneyMinded Ã¢ÂÂ estimated number of people reached1,,83974.0,54624.0,64011.0,58015,87577,,,,,,
46,,Saver Plus Ã¢ÂÂ number of people reached,,3207.0,3414.0,3609.0,3352,3350,,,,,,
47,,"1. Including MoneyBusiness and individuals who have participated in more than one program (for example, people who have participated in MoneyMinded as part of Saver Plus are counted twice as they are included in both the MoneyMinded and Saver Plus totals).",,,,,,,,,,,,
