Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,"This Basis of Preparation summarises the preparation and boundary of the QBE Insurance Group Limited's (ASX: QBE) Environmental, Social and Governance (ESG) data presented in QBE’s Sustainability Data Book and included within the scope of PwC’s limited assurance engagement for the financial year ended 31 December 2023.",,,,,,,,,,,,,
,,"QBE’s Sustainability Data Book is produced annually, and feeds into the preparation of the Sustainability Report and other ESG Reporting undertaken by the Group. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,PwC has provided limited assurance over a selection of 2023 metrics in this data book.  These have been identified by the following symbol¨and their assurance report is located in the Independent Assurance Report section.,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Focus Area,,Metric,,Definition and Assumptions,Focus Area,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Sustainable insurance,1,Q Academy Metrics,,"Q Academy delivers leadership resources, e-learning and on-demand learning sessions to employees, brokers, customers, partners and other third party stakeholders. 

In 2023, the 30 topics offered included Risk Insights: Solar and battery powered storage systems, Risk Insights: Insulated panelling and external cladding management, How to create equity and resilience in a workforce, through Accident and Health insurance and Psychological considerations for returning to the workplace.",,,,,,,,,
,,,,,,,,,,,,,,,
,,Impact and responsible investments,2,Number of securities invested as part of Premiums4Good  at 31 December,,"The total number of investments that are currently owned as at 31 December 2023, that have been classified by the Classification of Social and Environmental Investments Committee as eligible Premiums4Good Investments based on assessment against QBE’s internal Premiums4Good impact framework. ",,,,,,,,,
,,,3,Financial value invested in Premiums4Good as at 31 December ($M),,"The total market value of investments that are currently owned as at 31 December 2023, that have been classified by the Classification of Social and Environmental Investments Committee as described above.  The scope of market value reflects QBE Group’s portion of ownership.  ",,,,,,,,,
