Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
3,,,People,,,,,,,,,,,,,,,,,,,,,
6,,,Overall workforce1,,,,,,,,,,,,,,,,,,,,,
7,,,13479,,,,,,,,,,,,,,,,,,,,,
8,,,Total number of employees2,,,,,,,,,,,,,,,,,,,,,
11,,,Geographic footprint by division (headcount),,,,,,,,,,,,,,,,,,,,,
12,,,,2023,2022,,,,,,,,,,,,,,,,,,,
13,,,North America,2334,2222,,,,,,,,,,,,,,,,,,,
14,,,International,3464,3181,,,,,,,,,,,,,,,,,,,
15,,,Australia Pacific,4136,3696,,,,,,,,,,,,,,,,,,,
16,,,Group Head Office3,1162,1099,,,,,,,,,,,,,,,,,,,
17,,,Group Shared Services Centre4,2383,2281,,,,,,,,,,,,,,,,,,,
18,,,Total,13479,12479,,,,,,,,,,,,,,,,,,,
21,,,Workforce (%) by employment level5 and gender1,,,,,,,,,,,,,,,,,,,,,
22,,,,2023,,2022,,2021,,2020,,,,,,,,,,,,,,
23,,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
24,,,Group Executive Committee (GEC),54.54545454545454,45.45454545454545,45.5,54.5,45.5,54.5,30,70,,,,,,,,,,,,,
25,,,Level 1,34,66,27.659574468085108,72.3404255319149,28.3,71.7,25.5,74.5,,,,,,,,,,,,,
26,,,Level 2,36.996336996337,63.003663003663,36.996336996337,63.003663003663,32,68,29.4,70.6,,,,,,,,,,,,,
27,,,Level 3,40.617283950617285,59.38271604938271,39.25104022191401,60.74895977808599,36.9,63.1,36.3,63.7,,,,,,,,,,,,,
28,,,Level 4,49.390243902439025,50.609756097560975,49.42590120160214,50.57409879839786,49.2,50.8,48.3,51.7,,,,,,,,,,,,,
29,,,Level 5,56.792417766214456,43.207582233785544,56.56607700312175,43.43392299687825,56.2,43.8,56.2,43.8,,,,,,,,,,,,,
30,,,Level 6,60.646041856232934,39.35395814376706,60.18604651162791,39.81395348837209,61.9,38.1,61.9,38.1,,,,,,,,,,,,,
31,,,Total,52.82500556834212,47.17499443165788,52.5,47.5,52.2,47.8,52,48,,,,,,,,,,,,,
32,,,Total % of leadership by gender (GEC-Level 3),40.02047082906858,59.97952917093142,38.6,61.4,35.9,64.1,34.8,65.2,,,,,,,,,,,,,
35,,,Average tenure by level5 and gender1,,,,,,,,,,,,,,,,,,,,,
36,,,AVERAGE TENURE (YEARS),2023,,2022,,2021,,2020,,,,,,,,,,,,,,
37,,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
38,,,Group Executive Committee,4.11,7.006,3.7,7.3,2.7,6.3,4.4,5.7,,,,,,,,,,,,,
39,,,Level 1,5.442941176470589,8.48181818181818,4.5,7.9,4.8,9.6,3.7,9.8,,,,,,,,,,,,,
40,,,Level 2,6.30207920792079,10.32918604651163,6.3,10.1,6.2,9.4,6.1,8.9,,,,,,,,,,,,,
41,,,Level 3,8.178708206686927,8.806101871101859,8.2,8.9,7.6,8.5,7.3,8.4,,,,,,,,,,,,,
42,,,Level 4,7.142870370370347,7.007981927710822,7.3,7.1,7.5,7.1,7.4,7.2,,,,,,,,,,,,,
43,,,Level 5,5.958049738219884,5.081230107526875,6.2,5.1,6.5,5.2,6.6,5.2,,,,,,,,,,,,,
44,,,Level 6,5.360757689422343,3.4438150289017426,5.7,3.5,6.2,3.9,6.2,3.8,,,,,,,,,,,,,
45,,,Total,6.37733239634574,6.187548001259061,6.6,6.2,6.8,6.3,6.8,6.3,,,,,,,,,,,,,
48,,,Diversity breakdown of workforce,,,,,,,,,,,,,,,,,,,,,
49,,,PART-TIMERS,2023,2022,2021,2020,,,,,,,,,,,,,,,,,
50,,,Female,503,471,438,455,,,,,,,,,,,,,,,,,
51,,,Male,73,67,56,52,,,,,,,,,,,,,,,,,
52,,,Total,576,538,494,507,,,,,,,,,,,,,,,,,
53,,,Part time %,4.3,4.3,4.2,4.3,,,,,,,,,,,,,,,,,
55,,,Workforce by age and gender (headcount)1,,,,,,,,,,,,,,,,,,,,,
56,,,,2023,,2022,,2021,,2020,,,,,,,,,,,,,,
57,,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
58,,,<30,1347,1084,1199,1010,1055,884,1127,959,,,,,,,,,,,,,
59,,,30-50,4464,3904,4131,3648,3761,3332,3731,3297,,,,,,,,,,,,,
60,,,>50,1304,1366,1218,1267,1266,1348,1222,1353,,,,,,,,,,,,,
61,,,Total,7115,6354,6548,5925,6082,5564,6080,5609,,,,,,,,,,,,,
64,,,Overall workforce by average age,,,,,,,,,,,,,,,,,,,,,
65,,,DIVISION,2023 \n,2022 \n,2021 \n,2020\n,,,,,,,,,,,,,,,,,
66,,,North America,45.91770252893271,46.2,46.9,47.2,,,,,,,,,,,,,,,,,
67,,,International,40.57188221709007,40.8,41,40.9,,,,,,,,,,,,,,,,,
68,,,Australia Pacific,40.35178916827853,40.5,41.4,41.4,,,,,,,,,,,,,,,,,
69,,,Group Head Office 4,42.047332185886404,42.5,42.6,42.5,,,,,,,,,,,,,,,,,
70,,,Group Shared Services Centre 5,34.05035669324381,33.7,33.9,33.2,,,,,,,,,,,,,,,,,
71,,,Overall average age,40.403843300192904,40.5,41.1,40.8,,,,,,,,,,,,,,,,,
74,,,Headcount breakdown by age and gender1,,,,,,,,,,,,,,,,,,,,,
75,,,,2023 \n%,2022 \n%,,,,,,,,,,,,,,,,,,,
76,,,<30,,,,,,,,,,,,,,,,,,,,,
77,,,Female,55.40929658576717,54.3,,,,,,,,,,,,,,,,,,,
78,,,Male,44.59070341423283,45.7,,,,,,,,,,,,,,,,,,,
79,,,30-50,,,,,,,,,,,,,,,,,,,,,
