Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,Statement of Use,QBE Insurance Group Limited has reported the information cited in this GRI content index for the period January 1 2023 to December 31 2023 with reference to the GRI Standards.,,,,,,,,
,,GRI Standard,GRI 1: Foundation 2021,,,,,,,,
,,,,,,,,,,,
,,GRI Standard,GRI Disclosure,,Location,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,GRI 2: General Disclosures 2021,2-1,Organizational details,2023 Annual Report (AR) - page 2,,,,,,
,,,2-2,Entities included in the organization’s sustainability reporting,2023 AR - page 2,,,,,,
,,,,,2023 Sustainability Data Book (DB) - Focus Area 2 - Countries where QBE employees are located ,,,,,,
,,,2-3,"Reporting period, frequency and contact point",2023 Sustainability Report (SR) - About this report,,,,,,
,,,,,2023 AR - About this report,,,,,,
,,,2-4,Restatements of information,2023 DB - Focus Area 1 - Net-zero emissions target base year - Footnote 4,,,,,,
,,,,,2023 DB - Focus Area 2 - Prior year parental leave - Footnote 7,,,,,,
,,,,,2023 DB - Focus Area 3 - Number of people supported - Footnote 1,,,,,,
,,,2-5,External assurance,2023 DB - Independent Assurance Report,,,,,,
,,,2-6,"Activities, value chain and other business relationships",2023 AR - page 2,,,,,,
,,,,,2023 AR - page 130 - Note 7.3 Controlled entities,,,,,,
,,,,,2023 AR - page 126 - Note 7.1 Disposals,,,,,,
,,,2-7,Employees,2023 DB - Focus Area 2,,,,,,
,,,2-9,Governance structure and composition,2023 Annual Report (AR) - pages 34-47,,,,,,
,,,,,Corporate Governance,,,,,,
,,,,,Group Board of Directors ,,,,,,
,,,2-10,Nomination and selection of the highest governance body,2023 Corporate Governance Statement - page 7 ,,,,,,
,,,2-11,Chair of the highest governance body,2023 AR - page 34,,,,,,
,,,2-12,Role of the highest governance body in overseeing the management of impacts,Sustainability Governance and Management,,,,,,
,,,,,Materiality,,,,,,
,,,2-13,Delegation of responsibility for managing impacts,Sustainability Governance and Management,,,,,,
,,,2-14,Role of the highest governance body in sustainability reporting,Sustainability Governance and Management,,,,,,
,,,2-15,Conflicts of interest,2023 Corporate Governance Statement - page 6,,,,,,
,,,,,QBE Insurance Group Limited Board Charter - Clause 14 Other Matters,,,,,,
,,,2-16,Communication of critical concerns,2023 SR - page 15 - Whistleblowing,,,,,,
,,,,,Group Conduct Reporting & Whistleblower Policy,,,,,,
,,,,,Group Code of Ethics and Conduct - page 14,,,,,,
,,,2-17,Collective knowledge of the highest governance body,2023 AR - pages 34-35,,,,,,
,,,,,2023 Corporate Governance Statement - pages 5-6 ,,,,,,
,,,2-19,Remuneration policies,2023 AR - page 42,,,,,,
,,,2-20,Process to determine remuneration,2023 AR - page 42,,,,,,
,,,2-22,Statement on sustainable development strategy,2023 SR - page 2,,,,,,
,,,2-23,Policy commitments,2023 SR- page 14  - Accountable and transparent business,,,,,,
,,,,,Global Policies,,,,,,
,,,2-24,Embedding policy commitments,Global Policies,,,,,,
,,,2-25,Processes to remediate negative impacts,Group Conduct Reporting & Whistleblower Policy,,,,,,
,,,2-26,Mechanisms for seeking advice and raising concerns,Group Conduct Reporting & Whistleblower Policy,,,,,,
,,,,,Contact Us,,,,,,
,,,,,2023 SR - page 15 - Whistleblowing,,,,,,
,,,2-28,Membership associations,Memberships and Industry Collaboration,,,,,,
,,,2-29,Approach to stakeholder engagement,Stakeholder Engagement,,,,,,
,,,2-30,Collective bargaining agreements,2023 DB - Focus Area 2,,,,,,
,,GRI 3: Material Topics 2021,3-1,Process to determine material topics,2023 SR - pages 28-29,,,,,,
,,,,,Materiality,,,,,,
,,,3-2,List of material topics,2023 SR - pages 30-31,,,,,,
,,,3-3,Management of material topics,2023 SR - pages 28-29,,,,,,
,,,,,2023 SR - pages 4-7 - Focus Area 1,,,,,,
,,,,,2023 SR - pages 8-15 - Focus Area 2,,,,,,
,,,,,2023 SR - pages 16-27 - Focus Area 3,,,,,,
,,,,,Materiality,,,,,,
,,,,,Sustainable Development Goals,,,,,,
,,,,,,,,,,,
,,GRI 201: Economic Performance 2016,201-1,Direct economic value generated and distributed,2023 AR - pages 8 and 67,,,,,,
,,,201-2,Financial implications and other risks and opportunities due to climate change,2023 AR - pages 20-33,,,,,,
,,,201-3,Defined benefit plan obligations and other retirement plans,2023 AR - page 136-138,,,,,,
,,GRI 207: Tax 2019,207-1,Approach to tax,Tax Transparency Report,,,,,,
,,,207-2,"Tax governance, control, and risk management",Tax Transparency Report,,,,,,
,,,207-3,Stakeholder engagement and management of concerns related to tax,Tax Transparency Report,,,,,,
,,,207-4,Country-by-country reporting,Tax Transparency Report,,,,,,
,,,,,,,,,,,
,,GRI 302: Energy 2016,302-1,Energy consumption within the organization,2023 DB - Focus Area 1,,,,,,
,,,302-3,Energy intensity,2023 DB - Focus Area 1,,,,,,
,,,302-4,Reduction of energy consumption,2023 DB - Focus Area 1,,,,,,
,,GRI 303: Water and Effluents 2018,303-5,Water consumption,2023 DB - Focus Area 1,,,,,,
,,GRI 305: Emissions 2016,305-1,Direct (Scope 1) GHG emissions,2023 DB - Focus Area 1,,,,,,
,,,305-2,Energy indirect (Scope 2) GHG emissions,2023 DB - Focus Area 1,,,,,,
,,,305-3,Other indirect (Scope 3) GHG emissions,2023 DB - Focus Area 1,,,,,,
,,,305-4,GHG emissions intensity,2023 DB - Focus Area 1,,,,,,
,,,305-5,Reduction of GHG emissions,2023 DB - Focus Area 1,,,,,,
,,GRI 306: Waste 2020,306-4,Waste diverted from disposal,2023 DB - Focus Area 1,,,,,,
,,,306-5,Waste directed to disposal,2023 DB - Focus Area 1,,,,,,
,,,,,,,,,,,
,,GRI 401: Employment 2016,401-1,New employee hires and employee turnover,2023 DB - Focus Area 2 - New Employee Hires,,,,,,
,,,,,2023 DB - Focus Area 2 - Attrition,,,,,,
,,,401-3,Parental leave,2023 DB - Focus Area 2 - Parental leave,,,,,,
,,GRI 403: Occupational Health and Safety 2018,403-6,Promotion of worker health,2023 SR - page 13,,,,,,
,,,403-7,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,2023 SR - page 13,,,,,,
,,,,,"Global Work, Health & Safety Policy Summary",,,,,,
,,GRI 404: Training and Education 2016,404-2,Programs for upgrading employee skills and transition assistance programs,2023 SR - page 11,,,,,,
,,GRI 405: Diversity and Equal Opportunity 2016,405-1,Diversity of governance bodies and employees,2023 DB - Focus Area 2 - Workforce (%) by employment level and gender,,,,,,
,,,,,2023 DB - Focus Area 2 - Governance bodies,,,,,,
,,GRI 408: Child Labor 2016,408-1,Operations and suppliers at significant risk for incidents of child labor,Human Rights and Modern Slavery,,,,,,
,,GRI 409: Forced or Compulsory Labor 2016,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labor,Human Rights and Modern Slavery,,,,,,
,,GRI 414: Supplier Social Assessment 2016,414-1,New suppliers that were screened using social criteria,2023 SR - pages 23-24,,,,,,
,,GRI 415: Public Policy 2016,415-1,Political contributions,Interacting with governments,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
