Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
68,,,,37,Average Tenure by level and gender,,"Average tenure of employees by level (GEC to level 6) and gender as at 31 December 2023. This metric is expressed in years from the most recent start date of employment for each active employee. Includes workers employed on either a full-time or part-time basis as permanent or fixed-term employees; excludes contractors and temporary employees, and excludes persons whose gender is unspecified in the system of record. When breaking down by gender, unspecified is not shown as a separate category as it represents individuals where the field has not been populated.\n\nAt QBE, employee level is determined by role, responsibilities and level of experience required and is maintained in our HR system Workday. Employment Level is a classification scale of all job roles, using a 0 through 6 scale, whereby Level 0 encompasses the most senior leadership roles (i.e., GEC), and Level 6 encompasses the most junior entry-level roles.",,,,,,,,,,,,,,,,,,,,,,
69,,,,38,Diversity breakdown of workforce (i.e. Numbers of Part-time employees by gender),,Number of part-time employees by gender as at 31 December 2023. Part-time is defined as working fewer hours weekly than the standard full time work week. Includes workers employed on a part-time basis as permanent or fixed-term employees; excludes contractors and temporary employees.,,,,,,,,,,,,,,,,,,,,,,
70,,,,39,Workforce by age and gender (headcount),,"Distribution of headcount by age band and gender as at 31 December 2023, as self-recorded in the HR system of record. Includes workers employed on either a full-time or part-time basis as permanent or fixed-term employees; excludes contractors and temporary employees, and excludes persons whose gender is unspecified in the system of record. When breaking down by gender, unspecified is not shown as a separate category as it represents individuals where the field has not been populated.",,,,,,,,,,,,,,,,,,,,,,
71,,,,40,Overall workforce by average age (division),,Distribution of employee average age by division. Includes workers employed on either a full-time or part-time basis as permanent or fixed-term employees; excludes contractors and temporary employees.,,,,,,,,,,,,,,,,,,,,,,
72,,,,41,Headcount breakdown by age and gender,,"Distribution of headcount by age band and gender as at 31 December 2023 as self-recorded in the HR system of record, shown as a percentage of the total employees in the age bracket. Includes workers employed on either a full-time or part-time basis as permanent or fixed-term employees; excludes contractors and temporary employees, and excludes persons whose gender is unspecified in the system of record. When breaking down by gender, unspecified is not shown as a separate category as it represents individuals where the field has not been populated.",,,,,,,,,,,,,,,,,,,,,,
73,,,,42,"Attrition (by gender, age and division)",,"The number of permanent employees terminated within the 12-month period ending 31 December 2023. Attrition rate is expressed as the percentage of the average of start-of-year headcount and end-of-year headcount. \n\nReported by enterprise, gender, age group, and division. Includes workers employed on either a full-time or part-time basis as permanent employees; excludes contractors and fixed-term and temporary employees. When breaking down by gender, unspecified is not shown as a separate category as it represents individuals where the field has not been populated. \n\nOverall attrition: Overall attrition includes all termination reasons (both voluntary and involuntary.)\n\nVoluntary attrition: Voluntary termination reasons include resignations, retirements, and other non-company-initiated termination reasons. \n\nInvoluntary attrition: Involuntary leavers principally include those terminated through dismissal or redundancy.",,,,,,,,,,,,,,,,,,,,,,
74,,,,43,Workforce diversity indicators:Ã Ethnicity; Gender identity; Disability; Carer responsibility; Carer responsibility: care provided to.,,"The number of employees who self-reported their ethnicity, gender identity, disability, carer responsibility and for whom carer responsibility is provided (i.e. child, parent, etc.), as at October 2023 as recorded in QBEÃ¢ÂÂs Voice Survey as carried out by a third party, Medallia. This metric is expressed as a percentage of the total respondents.\n\nFor the purposes of this metric, employees must have worked for 30 or more days at the time of the survey and be fixed-term (excluding fixed-term contracts less than 6 months) or permanent employees. It excludes contractors and temporary employees. \n\nThe results include all of QBEÃ¢ÂÂs employees that have chosen to respond where applicable; the information is volunteered. The survey does not capture diversity demographics in some countries due to local legislative restrictions. For this reason, the data set is not complete and does not include all employees. These countries include Denmark, France, Sweden, UAE, Malaysia, Singapore, and Spain.",,,,,,,,,,,,,,,,,,,,,,
75,,,,44,Parental leave (%),,"Return to work from parental leave (by year due to return) and Return to work rate: The number of employees who were still employed at the end of the month of their return from parental leave based on approvals entered into the relevant system(s) by 31 December 2023 for each country. These metrics are expressed as number of employees and as a percentage of the number of employees who were due to return from parental leave in the given 12-month period as at 31 December 2023. Return cut-off is defined as leave end date + 1 day rounded to the next month end. \n\nReported by gender, specifically male and female. Includes workers employed on either a full-time or part-time basis as permanent; excludes contractors and fixed-term and temporary employees. It also excludes India (a joint venture), previously divested business units, Bermuda (where data is not currently available but work is ongoing to improve the process), and Pacific Island countries (where there is no parental leave available to employees). \n\nRetention rate one year after returning from parental leave (by year of return): The number of employees who were employed 12 months after returning from parental leave as entered in the relevant system(s) of record for each country. This metric is expressed as a percentage of the number of employees who returned from parental leave in the prior 12-month period by 31 December 2023. Retained cut-off is defined as leave end date + 1 year rounded to next month end.\n\nReported by gender specifically male and female. Includes workers employed on either a full-time or part-time basis as permanent; excludes contractors and fixed-term and temporary employees. It also excludes India (a joint venture), previously divested business units, Bermuda (where data is not currently available but work is ongoing to improve the process), and Pacific Island countries (where there is no parental leave available to employees).",,,,,,,,,,,,,,,,,,,,,,
76,,,,45,Employee engagement: Engaged employees; %sense of wellbeing; %inclusion; % sense of belonging; % feeling respected,,"The QBE Voice Pulse survey occurs in April, June and October and measures employee engagement and other indicators of wellbeing. The metrics reported are for October 2023 and are compared with October 2022. There are different questions each time with 3 statements in common:\n\nOverall, I am feeling a sense of positive wellbeing\n\nI feel a sense of belonging at QBE\n\nEveryone I work with at QBE treats me with respect\n\nAnswers for each question are on a 1 to 5 Agreement Scale:\n1 - Strongly Disagree, 2 - Disagree, 3 - Neither Disagree nor Agree, 4 - Agree, 5 - Strongly Agree. \n\nResults are expressed as Ã¢ÂÂ% FavourableÃ¢ÂÂ responses to the sentiment in the survey question. \n\nÃ¢ÂÂ¢ Ã¢ÂÂ% FavourableÃ¢ÂÂ is the percentage of the employee population, or a selected segment of the employee population, where the answer is either Ã¢ÂÂStrongly AgreeÃ¢ÂÂ or Ã¢ÂÂAgreeÃ¢ÂÂ. \nÃ¢ÂÂ¢ Ã¢ÂÂ% NeutralÃ¢ÂÂ is the percentage of all responders who answer with Ã¢ÂÂNeither Disagree nor AgreeÃ¢ÂÂ.\nÃ¢ÂÂ¢ Ã¢ÂÂ% UnfavourableÃ¢ÂÂ is the percentage of all responders who answer with either Ã¢ÂÂDisagreeÃ¢ÂÂ or Ã¢ÂÂStrongly DisagreeÃ¢ÂÂ.\n\nas at October 2023 as recorded in QBEÃ¢ÂÂs Voice Survey as carried out by a third party, Medallia. \nFor the purposes of this metric employees must have worked for 30 or more days at the time of the survey and be a fixed term (excluding fixed term contracts less than 6 months) or permanent employees. It excludes contractors, temps and casuals. This information is volunteered.",,,,,,,,,,,,,,,,,,,,,,
77,,,,46,"New employee hires (by gender, age and division)",,"The number of permanent employees hired within the 12-month period ending 31 December 2023, regardless of whether they have terminated in that 12-month period. New employee hire rate expressed as the percentage of the average of start-of-year Headcount and end-of-year Headcount. Employees hired multiple times within the year are counted once.\n\nReported by gender, age group and division. Includes workers employed on either a full-time or part-time basis as permanent; excludes contractors and fixed-term and temporary employees.",,,,,,,,,,,,,,,,,,,,,,
78,,,,47,Diversity of governance bodies,,Governance bodies is defined by the Group Board and the Group Executive Committee. The breakdown of members of the Governance Bodies is by gender as at 31st December 2023. GEC data is as self-recorded in the HR system of record.,,,,,,,,,,,,,,,,,,,,,,
79,,,,48,% of employees covered by collective bargaining agreements,,The number of employees covered by some type of collective bargaining agreement divided by the total number of overall workforce. Includes workers employed on either a full-time or part-time basis as permanent or fixed-term employees; excludes contractors and temporary employees. The criteria for determining if an employee is covered is based on country and job level. This is revalidated with local People teams annually.,,,,,,,,,,,,,,,,,,,,,,
80,,,,49,% of employees who have completed their mandatory training by due date,,"Mandatory Training consists of all specified training courses endorsed by the Group Mandatory Training Committee. These include Group training courses that all employees must complete globally; it also includes Division or Function level courses that some employees must complete to address regional or function-specific requirements.\n\nGlobal mandatory training courses for the current year are QBE Code of Ethics and Conduct, Cyber Safety, Conflicts of Interest and Gifts and Entertainment training and QBE Group Securities Trading. Divisional mandatory training programs vary, with courses in some locations covering topics including Privacy, Financial Crime and Health and Safety. Completing this training by the due date refers to the successful completion of all sections of the assigned course including any knowledge tests on or before 11:59pm on the due date in the country where the employee is based. \n\nThis metric applies to all full-time and part-time employees of the QBE Group of companies, who are eligible for the QBE Annual Incentive Plan. This metric does not include contractors and temporary employees.",,,,,,,,,,,,,,,,,,,,,,
82,,,,50,Women in leadership and talent pipeline disclosures,,"The percentage of female employees by employment level, people management responsibility (employees with or without direct reports), total promotions (employees promoted to a higher employment level, - e.g., Level 4 to Level 3, or Level 3 to Level 2), and IT Job Family Category in comparison to total overall workforce as at 31 December 2023 in the HR system of record. Employment levels are as per metric 36 (Workforce (%) by employment level and gender). Includes workers employed on either a full time or part time basis as permanent or fixed-term employees; excludes contractors, temps, and casuals, and excludes persons whose self-recorded gender is unspecified or Ã¢ÂÂotherÃ¢ÂÂ in the system of record. When breaking down by gender, unspecified is not shown as a separate category as it represents individuals where the field has not been populated.\n",,,,,,,,,,,,,,,,,,,,,,
83,,,"Focus area 3: Partner for growth through innovative, sustainable and impactful solutions",,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,51,Financial Contributions,,"Total financial contributions made by QBE in the 12 months to 31 December 2023 for disaster relief, grants, community partnerships, commercial sponsorships with a community benefit and QBE matching of employee fundraising efforts and/or payroll deductions from pre-tax salary, not including insurance claim payments and exclusive of employeesÃ¢ÂÂ own contribution and volunteer rewards allocated employees to donate to a charity of their choice.\n\nThe data is validated annually by Corporate Citizenship, a global management consulting firm specialising in sustainable and responsible business. They focus on quantifying and measuring impact, and build an evidence base through which clients are enabled to continuously improve performance, and scale ambition in the social impact space, through best practice impact measurement.",,,,,,,,,,,,,,,,,,,,,,
85,,,,52,Time: employee volunteering,,"The equivalent financial cost of time volunteered by employees, as logged in our HR system, to various community initiatives across our divisions. The financial cost is calculated based on the average hourly rate of employees that volunteered, not the general population.",,,,,,,,,,,,,,,,,,,,,,
