Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,Annualisation factor,,,,,,,,,,,,,,,,,,,,,,,,
,Other environmental indicators,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,
,Other environmental indicators,Units,Mapped to Support,% Movement,FY 2022,FY 2021,QX 202X,,% Change from prior year,Annualised FY 2022,FY 2021,FY2020,2018,,,,,,,,,,,,Data Type,Units,Sum of Total Reporting Amount,Sum of Total CO2e(t),,,,Mapping,,
,Stationary energy use,,,,,,,,,,,,,,,,,,,,,,,Road &Rail travel,Average Local Bus [pkm],pkm,388.0400000000001,0.04,,,,Average Local Bus [pkm],Road &Rail travel,Business travel
Non-renewable electricity,Non-renewable electricity (pre-RECs),MWh,Electricity,-0.08,443.4185897999596,480.00749779994294,,,-0.08,443.4185897999596,480.00749779994294,771,35916.08283813742,,,,,,,,,,,Air Travel,Business flights [pkm],pkm,15787484.050000006,2717.1716,,,,Business flights [pkm],Air Travel,Business travel
Renewable electricity,Renewable electricity,MWh,Offsets and GHG Reductions,-0.08,18513.30619882114,20199.0322274,,,-0.08,18513.30619882114,20199.0322274,22529.24686,0,,,,,,,,,,,Company Vehicles,Company Vehicles [km],km,17835671.990000006,4239.886800000002,,,,Company Vehicles [km],Company Vehicles,Company Vehicles
,      - GreenPower purchased,MWh,Offsets and GHG Reductions,0.54,12035.690178072164,7808.649575100002,,,0.54,12035.690178072164,7808.649575100002,6534.24686,,,,,,,,,,,,Company Vehicles,Diesel [L] - Scope 1,L,120,0.3228,,,,Electricity - Green [kWh],Offsets and GHG Reductions,Don't include in the graph
,      - RECs purchased,MWh,Offsets and GHG Reductions,,6477.616020748979,12390.382652299995,,,,6477.616020748979,12390.382652299995,15995,,,,,,,,,,,,Offsets and GHG Reductions,Electricity - Green [kWh],kWh,6534246.860000003,-4599.6062999999895,,,,Electricity [kWh],Electricity,Electricity
Electricity use per FTE,Electricity use per FTE,MWh/FTE,,-0.08,1.4584003130117862,1.5909034046913784,,,-0.16,1.4584003130117862,1.7439922853600687,2.0541975279254476,2.9572992642971303,,,,,,,,,,,Electricity,Electricity [kWh],kWh,23300146.29999998,13770.331900000017,,,,"Hire Car & Taxi - pkm_x000D_
","Hire Car & Taxi
",Business travel
Gas - direct,Gas - direct,GJ,Gas - Scope 1,0.38,22266.08712711955,16145.412800000002,,,0.38,22266.08712711955,16145.412800000002,18234.31,26231.36561894038,,,,,,,,,,,"Hire Car & Taxi
","Hire Car & Taxi - pkm_x000D_
",km,5062168.999999994,867.6562000000022,,,,Natural Gas [GJ],Gas - Scope 1,Gas
