Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,People,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Overall workforce1,,,,,,,,,,,,,,,,,,,,,
,,13479,,,,,,,,,,,,,,,,,,,,,
,,Total number of employees2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Geographic footprint by division (headcount),,,,,,,,,,,,,,,,,,,,,
,,,2023,2022,,,,,,,,,,,,,,,,,,,
,,North America,2334,2222,,,,,,,,,,,,,,,,,,,
,,International,3464,3181,,,,,,,,,,,,,,,,,,,
,,Australia Pacific,4136,3696,,,,,,,,,,,,,,,,,,,
,,Group Head Office3,1162,1099,,,,,,,,,,,,,,,,,,,
,,Group Shared Services Centre4,2383,2281,,,,,,,,,,,,,,,,,,,
,,Total,13479,12479,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Workforce (%) by employment level5 and gender1,,,,,,,,,,,,,,,,,,,,,
,,,2023,,2022,,2021,,2020,,,,,,,,,,,,,,
,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
,,Group Executive Committee (GEC),54.54545454545454,45.45454545454545,45.5,54.5,45.5,54.5,30,70,,,,,,,,,,,,,
,,Level 1,34,66,27.659574468085108,72.3404255319149,28.3,71.7,25.5,74.5,,,,,,,,,,,,,
,,Level 2,36.996336996337,63.003663003663,36.996336996337,63.003663003663,32,68,29.4,70.6,,,,,,,,,,,,,
,,Level 3,40.617283950617285,59.38271604938271,39.25104022191401,60.74895977808599,36.9,63.1,36.3,63.7,,,,,,,,,,,,,
,,Level 4,49.390243902439025,50.609756097560975,49.42590120160214,50.57409879839786,49.2,50.8,48.3,51.7,,,,,,,,,,,,,
,,Level 5,56.792417766214456,43.207582233785544,56.56607700312175,43.43392299687825,56.2,43.8,56.2,43.8,,,,,,,,,,,,,
,,Level 6,60.646041856232934,39.35395814376706,60.18604651162791,39.81395348837209,61.9,38.1,61.9,38.1,,,,,,,,,,,,,
,,Total,52.82500556834212,47.17499443165788,52.5,47.5,52.2,47.8,52,48,,,,,,,,,,,,,
,,Total % of leadership by gender (GEC-Level 3) ,40.02047082906858,59.97952917093142,38.6,61.4,35.9,64.1,34.8,65.2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Average tenure by level5 and gender1,,,,,,,,,,,,,,,,,,,,,
