Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2,,,Shareholder highlights,,,,,,,,,,
20,,,,2019,2020,2021.0,2022.0,,,,,,
21,,,Dividend per share (AÃÂ¢),52,4,30.0,39.0,,,,,,
22,,,Dividend payout (A$M),681,59,443.0,578.0,,,,,,
25,,,Sustainability highlights,,,,,,,,,,
55,,,1 Financial information above is extracted or derived from the GroupÃ¢ÂÂs audited financial statements on pages 87 to 170 of the Annual Report. The Group Chief Financial OfficerÃ¢ÂÂs report provides further analysis of the results.,,,,,,,,,,
56,,,"2 For more information, please see the Annual Report Climate change Ã¢ÂÂ our approach to risks and opportunities on pages 34 to 41.",,,,,,,,,,
57,,,3 RE100 is a global corporate leadership initiative bringing together influential businesses committed to 100% renewable electricity by 2050.,,,,,,,,,,
58,,,"4 Commitments as per UN-Convened Net-Zero Asset Owners Alliance for our investment portfolio, and Net-Zero Insurance Alliance for our underwriting portfolio.",,,,,,,,,,
61,,,Statutory financial highlights,,,,,,,,,,
77,,,Gross written premium by class of business,,,,,,,,,,
78,,,,2022\n%,2021\n%,,,,,,,,
79,,,Commercial & domestic property,29.5,29.4,,,,,,,,
80,,,Agriculture,19.8,16.6,,,,,,,,
81,,,Public/product liability,11.9,12.1,,,,,,,,
82,,,Motor & motor casualty,10.1,11.1,,,,,,,,
83,,,Professional indemnity,8.4,9.8,,,,,,,,
84,,,Marine energy & aviation,6.9,7.2,,,,,,,,
85,,,Workers' compensation,6.2,6.3,,,,,,,,
86,,,Accident & health,4.5,4.3,,,,,,,,
87,,,Financial & credit,2,3.2,,,,,,,,
88,,,Other,0.7,-,,,,,,,,
91,,,US$M,2022,2021,,,,,,,,
92,,,Underwriting result,828,837,,,,,,,,
93,,,Insurance profit,1533,1215,,,,,,,,
109,,,Ex-cat claims ratio,,,,,,,,,,
110,,,,2022,,,,,,,,,
111,,,,%,,,,,,,,,
112,,,North America,77.4,,,,,,,,,
113,,,International,51.6,,,,,,,,,
114,,,Australia Pacific,56.4,,,,,,,,,
117,,,Operational highlights,,,,,,,,,,
132,,,Average renewal premium rate increase,,,,,,,,,,
133,,,,2022,,,,,,,,,
134,,,,%,,,,,,,,,
135,,,North America,9.2,,,,,,,,,
136,,,International,6.5,,,,,,,,,
137,,,Australia Pacific,9.5,,,,,,,,,
