Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
1,,,"This Basis of Preparation summarises the preparation and boundary of the QBE Insurance Group Limited's (ASX: QBE) Environmental, Social and Governance (ESG) data presented in QBEÃ¢ÂÂs Sustainability Data Book and included within the scope of PwCÃ¢ÂÂs limited assurance engagement for the financial year ended 31 December 2023.",,,,,,,,,,,,,
2,,,"QBEÃ¢ÂÂs Sustainability Data Book is produced annually, and feeds into the preparation of the Sustainability Report and other ESG Reporting undertaken by the Group.",,,,,,,,,,,,,
4,,,PwC has provided limited assurance over a selection of 2023 metrics in this data book. These have been identified by the following symbolÃÂ¨and their assurance report is located in the Independent Assurance Report section.,,,,,,,,,,,,,
7,,,Focus Area,,Metric,,Definition and Assumptions,Focus Area,,,,,,,,
10,,,Sustainable insurance,1,Q Academy Metrics,,"Q Academy delivers leadership resources, e-learning and on-demand learning sessions to employees, brokers, customers, partners and other third party stakeholders. \n\nIn 2023, the 30 topics offered included Risk Insights: Solar and battery powered storage systems, Risk Insights: Insulated panelling and external cladding management, How to create equity and resilience in a workforce, through Accident and Health insurance and Psychological considerations for returning to the workplace.",,,,,,,,,
12,,,Impact and responsible investments,2,Number of securities invested as part of Premiums4Good at 31 December,,"The total number of investments that are currently owned as at 31 December 2023, that have been classified by the Classification of Social and Environmental Investments Committee as eligible Premiums4Good Investments based on assessment against QBEÃ¢ÂÂs internal Premiums4Good impact framework.",,,,,,,,,
13,,,,3,Financial value invested in Premiums4Good as at 31 December ($M),,"The total market value of investments that are currently owned as at 31 December 2023, that have been classified by the Classification of Social and Environmental Investments Committee as described above. The scope of market value reflects QBE GroupÃ¢ÂÂs portion of ownership.",,,,,,,,,
14,,,,4,Impact area and location of impact as at 31 December,,The Impact areas of the Premiums4Good investments represent a broad cross-section of under-invested thematics that support positive change for people and/or planet. The location of Impact refers to the geographic region where each investment will primarily finance projects and/or where the primary beneficiaries reside.,,,,,,,,,
16,,,Customer and community,5,Financial Contributions,,"Total financial contributions made by QBE in the 12 months to 31 December 2023 for disaster relief, grants, community partnerships, commercial sponsorships with a community benefit and QBE matching of employee fundraising efforts and/or payroll deductions from pre-tax salary, not including insurance claim payments and exclusive of employeesÃ¢ÂÂ own contribution. \n\nThe data is validated annually by Corporate Citizenship, a global management consulting firm specialising in sustainable and responsible business. They focus on quantifying and measuring impact, and build an evidence base through which clients are enabled to continuously improve performance, and scale ambition in the social impact space, through best practice impact measurement.",,,,,,,,,
17,,,,6,Time: employee volunteering,,"The equivalent financial cost of time volunteered by employees, as logged in our HR system, to various community initiatives across our divisions. The financial cost is calculated based on the average hourly rate of employees that volunteered, not the general population.",3,,,,,,,,
18,,,,7,In-kind giving,,"This metric refers to a financial approximation of the value of non-financial contributions such as donated goods, products, services, or other corporate resources such as IT equipment, used furniture, meeting rooms or other space. QBE captures in-kind giving across our divisions by using financial proxy values as estimates.",3,,,,,,,,
19,,,,8,Management costs,,"Overheads or administrative costs, including costs associated with communications and marketing, overheads and administration, platform licenses, consultant costs, salaries of QBE Foundation managers and specialist/advisor roles. This metrics excludes committees or chairs as these are voluntary.",3,,,,,,,,
20,,,,9,Corporate community investment (breakdown),,"As defined by the B4SI methodology:\n\nCommunity investments are inclined to be more proactive and strategic than charitable gifts. They can centre on a smaller number of larger-scale, longer-term projects and often run as a partnership with, rather than a donation to, a community organisation.\n\nCommercial initiatives in the community are business-related activities, usually undertaken by departments outside the community function (e.g. marketing, R&D), to support the success of the company and promote its brand and other policies, that also deliver community benefit. The most common example of this is cause-related marketing. These are primarily marketing campaigns but involve a contribution from the company to a charitable cause. It is developing or adapting core commercial activities that create clearly defined social impact, and generate a clear return to the business. The focus of this activity is to benefit both society and the business.\n\nCharitable donations are often reactive in that they respond to appeals for help, either directly from charities, or through requests from employees (including matched funding or payroll giving), or in response to short-term or one-off events.",3,,,,,,,,
21,,,,10,Community investment outcomes,,"Outputs are a measure of what happens as the result of the contributions that QBE has made to a community organisation or activity through the QBE Foundation. Outputs include the people reached, organisations supported, activities delivered and funds raised as a result of the contributions made. These measures are captured by the QBE Foundation managers through partner and acquittal reports, and recorded in the B4SI platform as part of our Corporate Community Investment reporting process.",3,,,,,,,,
22,,,,11,Total community contribution by SDG,,"SDGs are mapped based on the type of program and outcomes intended, and identified by the QBE Foundation manager and charity partner. Total contribution split by SDG does not include management costs.",3,,,,,,,,
24,,,People and culture,12,Total number of employees (by gender),,"The distribution of employees by gender as at 31 December 2023 as self-recorded in the HR system of record. For the purposes of this metric, employees refers to people employed on either a full time or part time basis. It excludes contractors, temps and casuals.",2,,,,,,,,
25,,,,13,Geographic footprint by division (headcount),,"The distribution of employees by division as at 31 December 2023 as self-recorded in the HR system of record. For the purposes of this metric, employees refers to people employed on either a full time or part time basis. It excludes contractors, temps and casuals.",2,,,,,,,,
