Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Community,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,Total community contribution by type,,,,,,,,,,
,,TYPE OF CONTRIBUTION ,"2022
$000","2021
$000","2020
$000","2019
$000",,,,,,
,,Financial contributions,"4,928 1",5281,4335,4544,,,,,,
,,Time: employee volunteering,197,110,61,551,,,,,,
,,In-kind giving,11,26,2,48,,,,,,
,,Management costs,747,618,572,518,,,,,,
,,Total community contribution,5883,6035,4970,5661,,,,,,
,,1 Decrease in financial contributions due to ongoing disruptions of COVID in some regions pausing programs supported locally for a second year. ,,,,,,,,,,
,,,,,,,,,,,,
,,Corporate community investment,,,,,,,,,,
,,,"2022
%","2021 
%",,,,,,,,
,,Community investment,89.09556178443788,82,,,,,,,,
,,Commercial initiative,3.2406612346957098,4,,,,,,,,
,,Charitable donation,7.663776980866414,14,,,,,,,,
,,,,,,,,,,,,
,,Community investment outcomes,,,,,,,,,,
,,,2022,2021,,,,,,,,
,,Number of people supported,408698,135962,,,,,,,,
,,Number of community organisations partnered,711,630,,,,,,,,
,,Number of times employees were involved in activities,2134,3600,,,,,,,,
,,Employee donations ($),308831,205000,,,,,,,,
,,,,,,,,,,,,
,,Total community contribution by SDG,,,,,,,,,,
,,,"2022
%","2021 
%",,,,,,,,
,,SDG1: No Poverty,10.8498597501127,20,,,,,,,,
,,SDG3: Good Health and Wellbeing,11.571125927068493,19,,,,,,,,
,,SDG10: Reduced Inequalities,44.74605109588193,25,,,,,,,,
,,SDG11: Sustainable Cities and Communities,24.731854167258643,31,,,,,,,,
,,SDG13: Climate Action,6.980413812141874,5,,,,,,,,
