Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Internal Comments Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Operational environmental performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Environmental performance targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,INDICATOR,BASELINE,BASELINE YEAR,TARGET,,,TARGET YEAR,"2022 
ACTUAL PERFORMANCE","2022
TARGET PERFORMANCE",STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,• Energy use (GJ) 1 ,239524.14654313697,2019,-0.25,,,2025,192429.1896160957,-0.19661882781642526,On track,,,,,,27/1: TP Baseline number updated to include Company Vehicles GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,• Scope 1 and 2 emissions (tCO2e) 2,30882,2018,-0.3,,,2025,,,Achieved,,,,,,Note - this is 75% in SR acknowledging a re-statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,• Renewable electricity use (MWh) 3,0,2018,1,,,2025,18513.30619882114,100% 3,Achieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,• Net-zero emissions across operations (Scope 1 and 2) 4,14046.03452742005,2019,-1,,,2030,,,On track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,• Net-zero emissions on material Scope 3 5,,2022,-1,,,2030,,New target and 2022 is baseline year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1  In 2022, we broadened our energy use indicator to include company vehicle fuel consumption, in addition to electricity and gas usage. As a result, the 2019 baseline has been restated to include 86,228 GJ of company ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   vehicle fuel consumption. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2 This is a science-based emissions reduction target calculated in line with a 1.5°C scenario. In 2022, we reclassified previously reported Scope 3 - indirect gas to Scope 2 - heat for disclosure purposes. The 2018 baseline has ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"   been restated to include 1,186 tCO2e of Scope 2 - heat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3  2022 percentage of renewable electricity is based on the RE100 Materiality Threshold guidance and excludes electricity use from countries with small electricity loads (<100 MWh/year) up to a total of 500 MWh/year and where it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"   is not feasible to source renewable electricity. This is the total percentage of renewable electricity sourced, not a year-on-year percentage change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"4 In 2022, we reclassified previously reported Scope 3 - indirect gas to Scope 2 - heat for disclosure purposes. The 2019 baseline has been restated to include 1,274 tCO2e of Scope 2 - heat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"5 Net-zero emissions on material Scope 3 includes emissions related to business travel, fuel-and energy-related activities and capital goods. Refer to the Metrics Criteria for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
