Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Premiums4Good Investments,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Impact investing performance target,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,ASSOCIATED INITIATIVE/TARGET,,,,,2022,2021,STATUS,,,,,,
,,• Achieve our ambition to grow our total impact investments to $2 billion by 2025,,,,,$1.6B,$1.4B,On track,,,,,,
,,• Target an increase in our climate solutions investments to 5% of assets under management by 2025,,,,,0.0482,0.03,On track,,,,,,
,,"• Target a 25% reduction in the Scope 1 and 2 carbon intensity of our developed market equity portfolio by 2025 
  (relative to a 2019 baseline)",,,,,In progress 1,Not Applicable,Ongoing,,,,,,
,,"• Maintain a low carbon risk rating in the Scope 1 and 2 weighted average carbon intensity of our investment  
  grade corporate credit portfolio 2",,,,,13.1 tCO2/$m sales,14.5 tCO2/$m sales,Achieved ,,,,,,
,,"• Engage at least annually with the top 20 highest emitters in our investment grade corporate credit portfolio and 
  with all of our external investment managers",,,,,Achieved,Not Applicable,Ongoing,,,,,,
,,"1 We’ve worked with preferred managers to ensure these are considered in mandate design and implementation, and will continue to track and monitor.",,,,,,,,,,,,,
,,2 Carbon risk measures exposure to carbon intensive companies. It is based on MSCI Carbon Metrics and is calculated as the portfolio weighted average of issuer carbon intensity. Carbon intensity is the ratio of annual ,,,,,,,,,,,,,
,,"   Scope 1 and 2 carbon emissions to annual revenue. Carbon risk is categorised as very low (0 to <15), low (15 to <70), moderate (70 to <250), high (250 to <525), and very high (>=525).",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,"Premiums4Good, continues to grow year-on-year ($M)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,2022,2021,2020,2019,2018,2017,,,,,,
,,Financial value invested in Premiums4Good as at 31 December ($M),,1618,1356,1113,663,440,455,,,,,,
,,Number of securities invested as part of Premiums4Good at 31 December,,108,83,68,48,32,26,,,,,,
,,,,,,,,,,,,,,,
,,Impact area and location of impact as at 31 December 2022,,,,,,,,,,,,,
,,,ASIA,"AUSTRALIA, NEW ZEALAND AND PACIFIC",EUROPE & UNITED KINGDOM,GLOBAL,LATIN AMERICA & CARIBBEAN,NORTH AMERICA,TOTAL,,,,,,
,,Environment,,,,,,,,,,,,,
,,Food and agriculture,,,,1,,,1,,,,,,
,,"Resource efficiency, recycling, re-use and conservation",,1,1,,,4,6,,,,,,
,,Sustainable energy,2,5,14,2,,9,32,,,,,,
,,Urban and community development,,5,,,,1,6,,,,,,
,,Water,,,,2,,,2,,,,,,
,,,2,11,15,5,,14,47,,,,,,
,,Social,,,,,,,,,,,,,
,,Education and employment,,2,5,,3,,10,,,,,,
,,Financial inclusion,,,2,2,,6,10,,,,,,
,,Health,4,1,,5,,1,11,,,,,,
,,Housing and social real estate,,6,1,,,5,12,,,,,,
,,Social care and provision of community services,,1,5,1,,4,11,,,,,,
,,"Social inclusion, diversity and gender",6,,,,1,,7,,,,,,
,,,10,10,13,8,4,16,61,,,,,,
,,Total,12,21,28,13,4,30,108,,,,,,
,,"Primary impact areas, geographies and SDGs in this report are mapped and categorised by QBE in line with our QBE impact investment definitions and classifications.",,,,,,,,,,,,,
,,Please note that individual investments or investees may classify these differently.,,,,,,,,,,,,,
