Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
150,,,Female,46.000574767698055,47.5722933017955,,,,,,,,,,,,,,,,,,,
151,,,Male,39.97509339975093,40.19997849693581,,,,,,,,,,,,,,,,,,,
152,,,Non-binary,0.306542772296197,0.35480055907966884,,,,,,,,,,,,,,,,,,,
153,,,Another gender identity,0.41191685027301467,0.4515643479195785,,,,,,,,,,,,,,,,,,,
154,,,Prefer not to answer,13.305872209981798,11.321363294269434,,,,,,,,,,,,,,,,,,,
156,,,Disability4,,,,,,,,,,,,,,,,,,,,,
157,,,,2023 \n%,2022 \n%,,,,,,,,,,,,,,,,,,,
158,,,Yes,2.5,2.5543190249072603,,,,,,,,,,,,,,,,,,,
159,,,No,85.2,86.82564917859035,,,,,,,,,,,,,,,,,,,
160,,,Prefer not to answer,12.3,10.620031796502385,,,,,,,,,,,,,,,,,,,
162,,,Carer responsibility5,,,,,,,,,,,,,,,,,,,,,
163,,,,2023 \n%,2022 \n%,,,,,,,,,,,,,,,,,,,
164,,,Yes,35.410557184750736,34.26422093981863,,,,,,,,,,,,,,,,,,,
165,,,No,52.245234604105576,54.5578730420445,,,,,,,,,,,,,,,,,,,
166,,,Prefer not to answer,12.344208211143695,11.07790601813685,,,,,,,,,,,,,,,,,,,
168,,,Carer responsibility: care provided to6,,,,,,,,,,,,,,,,,,,,,
169,,,,2023 \n%,2022 \n%,,,,,,,,,,,,,,,,,,,
170,,,School-aged children,61.64596273291926,61.473684210526315,,,,,,,,,,,,,,,,,,,
171,,,Preschool-aged children,29.684265010351968,30.045112781954884,,,,,,,,,,,,,,,,,,,
172,,,Family member with health problems,18.400621118012424,16.99248120300752,,,,,,,,,,,,,,,,,,,
173,,,Family member who is frail,23.266045548654244,21.984962406015036,,,,,,,,,,,,,,,,,,,
174,,,Family member with a disability,9.653209109730849,8.842105263157894,,,,,,,,,,,,,,,,,,,
175,,,Other,1.5527950310559007,1.7142857142857144,,,,,,,,,,,,,,,,,,,
179,,,Parental leave,,,,,,,,,,,,,,,,,,,,,
180,,,,2023\n%,,2022 7\n%,,2021\n%,,2020\n%,,,,,,,,,,,,,,
181,,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
182,,,Return to work rate,95.75163398692811,98.87640449438202,89.47368421052632,97.5609756097561,93.04347826086956,95.06172839506173,91.18942731277532,94.6969696969697,,,,,,,,,,,,,
183,,,Retention rate8,,,80.99547511312217,84.375,79.90654205607477,79.22077922077922,80.67632850241546,85.6,,,,,,,,,,,,,
186,,,Return from parental leave (by year due to return),,,,,,,,,,,,,,,,,,,,,
187,,,,2023,,20227,,2021,,2020,,,,,,,,,,,,,,
188,,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
189,,,Number of employees who didn't return from parental leave,13,2,26,4,16,8,20,7,,,,,,,,,,,,,
190,,,Number of employees who returned from parental leave,293,176,221,160,214,154,207,125,,,,,,,,,,,,,
191,,,Total number of employees due to return from parental leave,306,178,247,164,230,162,227,132,,,,,,,,,,,,,
194,,,Retained one year after returning from parental leave (by year of return),,,,,,,,,,,,,,,,,,,,,
