Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
1,,,"This Basis of Preparation summarises the preparation and boundary of the QBE Insurance Group Limited's (ASX: QBE) Environmental, Social and Governance (ESG) data presented in QBEÃ¢ÂÂs Sustainability Data Book and included within the scope of PricewaterhouseCoopers' limited assurance engagement for the financial year ended 31 December 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,"QBEÃ¢ÂÂs Sustainability Data Book is produced annually, and feeds into the preparation of the Sustainability Report and other ESG Reporting undertaken by the Group.",,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,PricewaterhouseCoopers has provided limited assurance over a selection of 2023 metrics in this data book. These have been identified by the following symbolÃÂ¨and the assurance report is located in the Independent Assurance Report section.,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Focus Area,,,,Definition and Assumptions,,,,,,,,,,,,,,,,,,,,,,
9,,,Focus area 1: Foster an orderly and inclusive transition to a netÃ¢ÂÂzero economy,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,1,Number of securities invested as part of Premiums4Good at 31 December,,"The total number of investments that are currently owned as at 31 December 2023, that have been classified by the Classification of Social and Environmental Investments Committee as eligible Premiums4Good Investments based on assessment against QBEÃ¢ÂÂs internal Premiums4Good impact framework.",,,,,,,,,,,,,,,,,,,,,,
11,,,,2,Financial value invested in Premiums4Good as at 31 December ($M),,"The total market value of investments that are currently owned as at 31 December 2023, that have been classified by the Classification of Social and Environmental Investments Committee as described above. The scope of market value reflects QBE GroupÃ¢ÂÂs portion of ownership.",,,,,,,,,,,,,,,,,,,,,,
12,,,,3,Impact area and location of impact as at 31 December,,The Impact areas of the Premiums4Good investments represent a broad cross-section of under-invested thematics that support positive change for people and/or planet. The location of Impact refers to the geographic region where each investment will primarily finance projects and/or where the primary beneficiaries reside.,,,,,,,,,,,,,,,,,,,,,,
13,,,,"Unless otherwise stated, the boundary used to measure QBEÃ¢ÂÂs energy and emissions data is on an Operational Control basis.",,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,"The accrual methodology used in our emissions measurement is based on the daily average value of the historical period from the start of first available data in the system, multiplied by the number of accrued days in the month.",,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,4,Greenhouse gas (GHG) emissions,,"Greenhouse gas (GHG) emissions data is calculated based on QBE's business activities and includes emissions from CO2, N2O and CH4. Emissions from HFCs, PFCs, SF6 and biogenic activities are not applicable to QBEÃ¢ÂÂs operations and therefore have not been reported.",,,,,,,,,,,,,,,,,,,,,,
16,,,,5,Carbon neutrality,,"We have maintained carbon neutrality for a defined inventory of emissions related to our global operations. This is achieved by offsetting our residual emissions with certified carbon credits generated from renewable energy and land fire abatement projects. Our defined 2023 inventory does not include all Scope 3 Category 1 emissions due to the inherent challenges of accessing data and quantifying these emissions. In line with our 2023 commitment to commence formal engagement on net-zero progress with large suppliers, setting in place data collection processes and improving access to supply chain data is a focus in 2023. \n\nRefer to the Operational Excellence - Greenhouse Gas Emissions (GHG) by activity table for the defined inventory of emissions related to our operations in each year of reporting from 2018 - 2023.",,,,,,,,,,,,,,,,,,,,,,
17,,,,6,Energy use (GJ),,"Description: Energy use includes electricity usage (both renewable and non-renewable), gas usage and company vehicles fuel consumption across our global operations. \n\nScope: Group consolidated entities. Excluding associates/joint venture where QBE does not have operational control.\n\nUnit: GJ\nMWh electricity usage converted to GJ\nGas usage reported in GJ",,,,,,,,,,,,,,,,,,,,,,
18,,,,7,Renewable electricity use (MWh),,"Description: Renewable electricity includes contractual arrangements for renewable electricity, purchased through Green Power Contractual Agreements, certified renewable electricity through a supplier tariff or the separate purchase of Renewable Energy Certificates. \n\n2023 percentage of renewable electricity is based on RE100 Materiality Threshold guidance and\nexcludes electricity use from countries with small electricity loads (<100 MWh/year), up to a total\nof 500 MWh/year and where it is not feasible to source renewable electricity. \n\nScope: Group consolidated entities. Excluding associates/joint venture where QBE does not have operational control.\n\nUnit: MWh",,,,,,,,,,,,,,,,,,,,,,
19,,,,8,Net-zero emissions on material Scope 3,,"Description: Net-zero emissions on material Scope 3 includes emissions related to business travel, fuel-and energy-related activities and capital goods.\n\nEmissions related to employee commuting is not included in the net-zero emissions on material Scope 3 baseline due to the mode of transport used by employee travelling to work can be influenced by external factors such as government provision of public transport, support of electric vehicles and traffic condition and facilities. Any initiative in reducing emissions related to employee commuting would require alignment between private and government commitments for an orderly transition to net-zero economy.",,,,,,,,,,,,,,,,,,,,,,
20,,,,9,Scope 1 and 2 GHG emissions per Insurance Revenue (US$M),,Description: The sum of Scope 1 and Scope 2 emissions divided by QBE Group's consolidated Insurance Revenue (US$M). \n\nScope: Group consolidated entities. Excluding associates/joint venture where QBE does not have operational control.\n\nUnit: Intensity metric ratio,,,,,,,,,,,,,,,,,,,,,,
21,,,,10,Scope 1 and 2 emissions per FTE,,"Description: The sum of Scope 1 and Scope 2 emissions divided by total QBE Group's total FTE. FTE includes casuals, temporary workers and contractors. The FTE used in 2019-2020 excludes casuals, temporary workers and contractors.\n\nScope: Group consolidated entities. Excluding associates/joint venture where QBE does not have operational control.\n\nUnit: Intensity metric ratio",,,,,,,,,,,,,,,,,,,,,,
22,,,,11,GHG Emissions per Insurance Revenue (US$M),,"Description: Total Scope 1, Scope 2 and Total Selected Scope 3 emissions divided by QBE Group's consolidated Insurance Revenue (US$M).\n\nScope: Group consolidated entities. Excluding associates/joint venture where QBE does not have operational control.\n\nUnit: Intensity metric ratio",,,,,,,,,,,,,,,,,,,,,,
23,,,,12,GHG Emissions per FTE,,"Description: Total Scope 1, Scope 2 and Total Selected Scope 3 emissions divided by QBE Group's total FTE (Full Time Equivalent). FTE includes casuals, temporary workers and contractors. The FTE used in 2019-2020 excludes casuals, temporary workers and contractors.\n\nScope: Group consolidated entities. Excluding associates/joint venture where QBE does not have operational control.\n\nUnit: Intensity metric ratio",,,,,,,,,,,,,,,,,,,,,,
24,,,,Scope 1 emissions (tCO2-e) Ã¢ÂÂ direct emissions,,,Scope 1 emissions are operational emissions from owned or controlled sources. These include company car mileage/fuel consumption and natural gas usage.,,,,,,,,,,,,,,,,,,,,,,
25,,,,13,Business travel - fleet vehicles,,"Description: The emissions related to vehicles owned and controlled by the company (i.e. companyÃ¢ÂÂs fleet cars). The emissions are measured as:\n\n(i) Australia: litres of fuel used, multiplied by the relevant Australian National Greenhouse and Energy Reporting (NGER) emission factor (NGER Schedule 1, Item 64 - Gasoline (other than for use as fuel in an aircraft));\n(ii) UK and Europe: estimated car kilometres travelled based on contractual maximum mileage agreements per car per employee multiplied by number of FTE in UK and Europe. \n(ii) Other countries/regions: kilometres travelled, multiplied by the relevant Department for Environment, Food and Rural Affairs (DEFRA) emission factors.\n\nScope: Group consolidated entities. Excluding associates/Joint Venture where QBE does not have operational control.\n\nUnit: \nEmissions unit: tCO2e\nUnderlying activity unit: Litres of fuel (Australia) and KM travelled (all other countries/regions)",,,,,,,,,,,,,,,,,,,,,,
