Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
128,,403.0,Occupational Health and Safety,403-09,Work-related injuries,,Alternative safety performance approach,,,QUBE Holdings,2023.0,"The established approach to safety performance metrics is based on lost time and injury frequency rates. However, such frequency rate data provides no predictive value about future incidents and broadly tells us little about safety. With the development of this new Standard, we aim to embed an alternative approach that actively assesses the state of safety while being objectively measurable and comparable across organisations.\t",,,,"4, 19",,,"Approach, Safety, Performance","3, 8",S,,,,,,,,,,,,,,,,,
129,,403.0,Occupational Health and Safety,403-10,Work-related ill health,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,404.0,Training and Education,404-01,Average hours of training per year per employee,,Virtual Reality (VR) vehicle training programs,,,QUBE Holdings,2023.0,Continued expansion of our Virtual Reality (VR) vehicle training programs. QUBE Holdings has developed and simulated our QUBE Holdings VR World at all QUBE Holdings Ports sites. This technology allows our staff to use our VR training units to train in any port from anywhere.,,,,41,,,"Virtual Reality Training, Skills Development, Technology Adoption","4, 8",S,,,,,,,,,,,,,,,,,
131,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,"We also took further steps to encourage employee retention, with three-quarters of roles filled by internal promotion and the number of personal and professional development training hours through our partnership with LinkedIn Learning rising to 458.",,,,QUBE Holdings,2023.0,,,,,21,,,,,,,,,,,,,,,,,,,,,,
132,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,Unconscious bias training,,,QUBE Holdings,2023.0,"In FY24, we will review our mandatory ""unconscious bias"" training to ensure up-to-date, relevant and appropriate content. This training forms part of the compulsory program and will be elevated to provide a more profound awareness across all recruiting activities.",,,,21,,,"Diversity Training, Unconscious Bias, Inclusion Initiatives","5, 10",S,,,,,,,,,,,,,,,,,
133,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Pinnacle Pride,,,QUBE Holdings,2023.0,"QUBE Holdings has proudly partnered with the Pinnacle Foundation - a leading charity for Australia's LGBTIQ+ community, providing educational scholarships, mentoring, and other opportunities to young LGBTIQ+ Australians Ã¢ÂÂ since 2021. This year, QUBE Holdings team member Sam joined with other Pinnacle Foundation partners to march in the 2023 Gay and Lesbian Mardi Gras, representing our company's support for the annual event and all that it represents.",,,,"9, 24",,,"LGBTIQ+ Support, Diversity Awareness, Inclusion Events","5, 10",S,,,,,,,,,,,,,,,,,
134,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Supporting Idahobit Day,,,QUBE Holdings,2023.0,"As champions of Inclusion, QUBE Holdings stands against homophobia, biphobia, interphobia and transphobia. On May 17, we joined with 130 other countries across the world to recognise International Day Against Homophobia, Biphobia, Interphobia and Transphobia.",,,,23,,,"Inclusive, Idahobit day, Employee Support",10,S,,,,,,,,,,,,,,,,,
135,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,,Celebrating What Makes Yo Uniq,,,QUBE Holdings,2023.0,"QUBE Holdings is proud to partner with UNIQ You - an online service that promotes career advice for and the career progression of girls and young women. The platform invites young women to complete a quiz, helping to establish their areas of interest and aspects of their personalities. It then pairs them with an advisor who, through online video calls, will mentor them, provide information, and help them build links with other females working in the industry they're interested in.",,,,24,,,"Career Development, Mentorship, Women Empowerment","4, 5, 10",S,,,,,,,,,,,,,,,,,
136,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,12,,,,,,,,,,,,,,,,,,,,,,
