Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
64,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,207.0,Tax,207-01,Approach to tax,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,207.0,Tax,207-02,"Tax governance, control, and risk management",The parent and wholly-owned Australian-controlled entities have implemented the tax consolidation legislation. The parent entity and the controlled entities in the tax consolidated group account for their current and deferred tax amounts. These tax amounts are measured as if each entity in the tax consolidated group continues to be a standalone taxpayer in its own right.,,,,QUBE Holdings,2023.0,,,,,,136,,,,,,,,,,,,,,,,,,,,,
67,,207.0,Tax,207-02,"Tax governance, control, and risk management","The Company may decide to employ the auditor on assignments additional to their statutory audit duties where the auditor's expertise and experience with the Group are essential. The Board of Directors has considered the position and, by advice from the Audit and Risk Management Committee, is satisfied that the provision of the non-audit services is compatible with the general standard of independence for auditors imposed by the Corporations Act 2001.",,,,QUBE Holdings,2023.0,,,,,,6,,,,,,,,,,,,,,,,,,,,,
68,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,302.0,Energy,302-01,Energy consumption within the organization,,Improving efficiency in the road sector,,,QUBE Holdings,2023.0,"QUBE Holdings double-stacked container trial, purchase and design trailers to increase volume by double stacking. 90% of the fleet transitioned to Euro 5/6 standard and adaptable to Biofuels, with ~78% of the fleet meeting Euro 6 standards, which has ~80% lower PM and 68% lower Nox emissions compared to Euro 4 and below models.\t",,,,28,,,"Fleet Transition, Emission Reduction, Sustainability Measures","9, 13",E,,,,,,,,,,,,,,,,,
