Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
32,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,,Risk Management Framework,,,QUBE Holdings,2023.0,"The Board has established a Risk Management Framework incorporating a formal, Board approved Risk Appetite Statement (RAS) setting the parameters within which the Board expects management to operate. To strengthen the relationship between risk management, including those risks related to climate change, and strategic and operational planning, the Managing Director is principally responsible for risk management.",,,,13,,,"Risk Appetite Statement, Strategic Guidelines, Risk Parameters",16,G,,,,,,,,,,,,,,,,,
33,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,,QUBE HoldingsÃ¢ÂÂs assurance framework,,,QUBE Holdings,2023.0,Internal audit is a critical component of QUBE Holdings's assurance framework. The primary objective of internal audit is to provide an assurance framework to underpin the risk management program. It includes reviews of processes and controls over high risks and where there is high control reliance as determined through the risk planning process.,,,,13,,,"Internal Audit, Assurance Framework, Risk Mitigation",16,G,,,,,,,,,,,,,,,,,
34,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,"There are many different avenues for reporting a breach - who you should contact will depend on the circumstances. In most cases, raising violations of the Code or policies and procedures with your supervisor, manager, or human resources representative will be appropriate. There may be times when it is inappropriate to raise a concern within your business unit, in which case you may contact the Company Secretary.",,,,QUBE Holdings,2023.0,,,,,,,,,,,,Code of Conduct Policy,,,,,,,,,,,,,,,
35,,2.0,General Disclosures,2-27,Compliance with laws and regulations,The Board is responsible under ASX Corporate Governance Principle 7 for QUBE Holdings to have established a sound Risk Management Framework that identifies and manages risk and periodic review of its effectiveness.,,,,QUBE Holdings,2023.0,,,,,13,,,,,,,,,,,,,,,,,,,,,,
36,,2.0,General Disclosures,2-28,Membership associations,Healthy Heads in Trucks and Sheds (HHTS).,,,,QUBE Holdings,2023.0,,,,,22,,,,,,,,,,,,,,,,,,,,,,
37,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Culture Reference Group (CRG),,,QUBE Holdings,2023.0,"We established a Culture Reference Group (CRG), comprised of representatives from across the Group at different levels and with a mix of operational, administrative and corporate support roles. The CRG will assist in embedding our Thrive program across the business and help generate employee engagement and enthusiasm.",,,,23,23,,"Culture Reference Group, Employee Engagement, Thrive Program",16,S,,,,,,,,,,,,,,,,,
38,,2.0,General Disclosures,2-30,Collective bargaining agreements,,,,NO DISCLOSURE,QUBE Holdings,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,3.0,Material Topics,3-1,Process to determine material topics,"The process began with analysing global sustainability megatrends most likely to impact QUBE Holdings's current prospects. BWD conducted 20 interviews with senior executives, including the Chair of the Board, various Board members, and leading executives across QUBE Holdings's verticals. One external stakeholder was interviewed. A desktop review of internal policies, procedures and existing enterprise risks complemented the interviews. All risks and opportunities were rated referencing QUBE Holdings's enterprise risk framework. Risks and opportunities were grouped into five material issues that have the most potential to influence QUBE Holdings's prospects and success. Other impact areas were identified, though they must still be considered to meet the materiality threshold. QUBE Holdings will continue to monitor these in the future.",,,,QUBE Holdings,2023.0,,,,,15,,,,,,,,,,,,,,,,,,,,,,
40,,3.0,Material Topics,3-2,List of material topics,"Safety, Wellbeing, Planet, Opportunity, Performance",,,,QUBE Holdings,2023.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,
41,,3.0,Material Topics,3-3,Management of material topics,,Climate Strategy,,,QUBE Holdings,2023.0,"Our strategy considers the potential impacts of climate change on our operations and value chain. Our climate strategy includes reducing greenhouse gas emissions, improving efficiency, and promoting sustainable practices throughout our operations. We consider the physical and transitional risks associated with climate change, including regulatory changes, market trends, and technological advancement, to ensure our strategy is future-proof and resilient.",,,,30,5,,"Climate Change Strategy, Greenhouse Gas Reduction, Resilience Planning","13, 14",E,,,,,,,,,,,,,,,,,
