Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
120,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Achieve Business Excellence,,,Telstra,2023.0,"Telstra launched Achieve Business Excellence, a skills program to drive operational excellence in maintaining or enhancing business performance. It includes two new credentials developed in partnership with the University of Melbourne: Process Thinking & Improvement and Managing Strategic Performance.",,,,30,,,,,"Achieve Business Excellence, skills, program","3, 4, 8, 9",S,,,,,,,,,,,,,,,,
121,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,Telstra achieved our target to achieve a 100 per cent completion rate of the mandatory refresher training.,,,,Telstra,2023.0,,,,,19,,,,,,,,,,,,,,,,,,,,,,,
122,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,The percentage of the workforce who self-identifies as Aboriginal or Torres Strait Islander is 1.1%.,,,,Telstra,2023.0,,,,,Data Pack,,,,,,,,,,,,,,,,,,,,,,,
123,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Respect of diversity,,,Telstra,2023.0,"Regarding diversity, Telstra's Board considers various perspectives, including gender and beyond, to ensure fresh thinking and different viewpoints, such as age and experience. When appointing new Directors, Telstra's Board prioritizes achieving the right balance of skills, knowledge, experience, and diversity to discharge responsibilities and add value effectively.",,,,,,7,,,"Diversity, age, gender",5,S,,,,,,,,,,,,,,,,
124,,405.0,Diversity and Equal Opportunity,405-02,Ratio of basic salary and remuneration of women to men,"Telstra's gender pay equity, as reflected in the compa-ratio for FY23, shows a ratio of 1.00 for males and 0.97 for females.",,,,Telstra,2023.0,,,,,Data Pack,,,,,,,,,,,,,,,,,,,,,,,
125,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,The total number of internal discrimination complaints in FY23 was 31.,,,,Telstra,2023.0,,,,,Data Pack,,,,,,,,,,,,,,,,,,,,,,,
126,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,Freedom to form trade union,,,Telstra,2023.0,"Telstra's employees can form or join a trade union, bargain collectively, and engage in union activities. Telstra does not monitor union membership among its employees, aiming to maintain an open and constructive relationship with union representatives.",,,,31,,,,,"Trade Union, Collective Bargaining, Relationship","8, 9",S,,,,,,,,,,,,,,,,
127,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,Governing terms of employment,,,Telstra,2023.0,"Telstra's partners are contractually obliged to comply with local laws, including those governing terms and conditions of employment, such as the Child and Adolescent Labour (Prohibition & Regulation) Act in India. Telstra mandates the clear display of working conditions in the workplace, contracts provided in understandable languages, and explicit outlining of employment terms in contracts.",,,,,,,21,,"Governing, employment, child",16,S,,Human Rights and Modern Slavery Act Statement\n,,,,,,,,,,,,,,
128,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of forced or compulsory labour,,Telstra's Compliance Framework,,,Telstra,2023.0,"Telstra's Compliance Framework outlines the management of its obligations, compliance, and controls, encompassing modern slavery and human rights issues. Key initiatives include preventing child labour, forced labour, violence, coercion, and harassment across Telstra's operations, supply chain, and business partners.",,,,,,,12,,"Compliance, framework, labor",16,S,,Human Rights and Modern Slavery Act Statement\n,,,,,,,,,,,,,,
129,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
