Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
40,,201.0,Economic Performance,201-04,Financial assistance received from government,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,202.0,Market Presence,202-01,Ratios of standard entry level wage by gender compared to local minimum wage,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,202.0,Market Presence,202-02,Proportion of senior management hired from the local community,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Supported Workforce Program,,,Telstra,2023.0,"Telstra's social and environmental partnerships, in place for over a decade, have successfully delivered critical business objectives, community outcomes, and employment opportunities. This year, Telstra's Supported Workforce Program provided opportunities for 155 individuals to engage in cleaning and grounds maintenance activities at 5,080 sites nationwide.",,,,14,,,,,"Social and environmental partnerships, Supported Workforce Program, employment opportunities","9, 17","E, S",,,,,,,,,,,,,,,,
44,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Indigenous Workforce Program,,,Telstra,2023.0,"Telstra's initiatives, including the Indigenous Workforce Program (IWP). Supported around 40 First Nations enterprises in maintenance tasks across over 1,500 regional and remote sites, with a total expenditure of $3.09 million in FY23.",,,,14,,,,,"IWP, Indigenous Workforce Program, employment opportunities",9,S,,,,,,,,,,,,,,,,
45,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Supplier diversity,,,Telstra,2023.0,"In FY23, Telstra invested over $20 million with over 30 First Nations businesses certified or registered by Supply Nation, surpassing last year's spend of $14 million. Telstra continues to develop its strategy at a category level and collaborates with strategic partners to enhance supplier diversity across its supply chain.",,,,14,,,,,"First Nations businesses, Supply Nation, supplier diversity","8, 9",S,,,,,,,,,,,,,,,,
46,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Know Your Supplier platform (KYS),,,Telstra,2023.0,"Telstra's Know Your Supplier platform (KYS) is a secure web-based platform targeting domestically contracted suppliers with whom Telstra engages regularly. Telstra matured its Know Your Supplier (KYS) processes in FY23 to enhance governance of supplier risk and increase the number of suppliers onboarded via KYS, with 1,204 suppliers onboarded as of June 30 2023, up from 1,055 in FY22.",,,,27,,,,,"Know Your Supplier, Governance, Supplier Risk","8, 9","S, G",,,,,,,,,,,,,,,,
47,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Digital literacy program,,,Telstra,2023.0,"Telstra delivers digital literacy programs with its community partners to empower people of all ages and backgrounds to utilize technology safely and responsibly. Collectively, Telstra's digital literacy initiatives have supported over 200,000 Australians in FY23 and over 250,000 in the past two years, aligning with its T25 target to enhance digital skills for 500,000 Australians by FY25.",,,,44,,,,,"Digital literacy program, community partners, tech skills","8, 9, 17",S,,,,,,,,,,,,,,,,
48,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Supporting customers,,,Telstra,2023.0,"Telstra is committed to helping those facing cost-of-living pressure by continuing to offer a range of products, services and programs to improve digital inclusion outcomes for our customers and communities. Telstra supports communities by offering discounted services for low-income individuals, aiding victims of domestic violence, providing free crisis line calls, offering free Wi-Fi at Telstra payphones, and providing disaster relief.",,,,47,,,,,"Customers, digital inclusion, communities",16,S,,,,,,,,,,,,,,,,
49,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Telstra Foundation,,,Telstra,2023.0,"Celebrating two decades of social innovation enabled by tech. For over 20 years, Telstra Foundation, our registered Australian charity, has supported Australian initiatives focussed on youth education, mental health and inclusion.",,,,54,,,,,"Social Innovation, Tech, Telstra Foundation",9,S,,,,,,,,,,,,,,,,
50,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Resource usage and waste reduction strategy,,,Telstra,2023.0,"Telstra's strategy emphasizes resource usage and waste reduction across operations, manufacturing, distribution, and product lifecycle. This initiative showcases Telstra's commitment to sustainability leadership, benefiting the company and its customers, suppliers, contractors, and partners.",,,,72,,,,,"Sustainability, Resource Usage, Waste Reduction","12, 13, 14, 15",E,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Governance of supplier risk,,,Telstra,2023.0,"Telstra enhanced its Know Your Supplier (KYS) processes in FY23 to improve governance of supplier risk and onboard more suppliers through KYS. By June 30, 2023, Telstra had onboarded 1,204 suppliers on the KYS platform, with 53% completing the KYS Questionnaire, up from 38% in FY22.",,,,27,,,,,"Know Your Supplier, Governance, Supplier Risk","8, 9",G,,,,,,,,,,,,,,,,
52,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Executive Variable Remuneration Plan,,,Telstra,2023.0,"In FY23, Telstra integrated Telstra's scope 1+2 absolute emissions reduction target into Telstra's Executive Variable Remuneration Plan, linking it to senior executive short-term incentives and acknowledging its significance to Telstra's success and the role of each team member.",,,,57,,,,,"Emissions Reduction, Executive Remuneration, Performance Measures","12, 13,",E,,,,,,,,,,,,,,,,
53,,203.0,Indirect Economic Impacts,203-02,Significant indirect economic impacts,,Modem refurbishment \nprogram,,,Telstra,2023.0,"Telstra customers can now return their old modems for free through Telstra's newly launched modem eParcel returns initiative. Telstra refurbishes and recycles Smart Modem 2 and 3 units, processing 15,008 modems in FY23.",,,,57,,,,,"Modem Returns, Refurbishment, Recycling",9,E,,,,,,,,,,,,,,,,
54,,204.0,Procurement Practices,204-01,Proportion of spending on local suppliers,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,205.0,Anti-corruption,205-01,Operations assessed for risks related to corruption,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,205.0,Anti-corruption,205-02,Communication and training about anti-corruption policies and procedures,,Training people to act responsibly,,,Telstra,2023.0,"Telstra ensures ethical conduct and responsibility by providing mandatory Business Essentials training. In FY23, Telstra achieved 100% completion of this training for all team members, including contingent workers, partners, and internal staff.",,,,19,,,,,"Business Essentials training, Responsibility, Completion rate.",9,S,,,,,,,,,,,,,,,,
57,,205.0,Anti-corruption,205-03,Confirmed incidents of corruption and actions taken,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,206.0,Anti-competitive Behavior,206-01,"Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,207.0,Tax,207-01,Approach to tax,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,207.0,Tax,207-02,"Tax governance, control, and risk management",,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,301.0,Materials,301-03,Reclaimed products and their packaging materials,,Packaging renewable,,,Telstra,2023.0,"Telstra is dedicated to resource optimization, waste reduction, and circular solutions for sustainability. In October 2022, Telstra achieved its goal of 100% renewable/recycled Telstra-branded packaging two months earlier than planned.",,,,75,,,,,"Sustainability, renewable, packaging initiative","12, 13",E,,,,,,,,,,,,,,,,
66,,301.0,Materials,301-03,Reclaimed products and their packaging materials,"The total number of reclaimed products of Telsta is 632.919, including mobile phones, modems, and other reused/recycled products.",,,,Telstra,2023.0,,,,,Data Pack,,,,,"Sustainability, renewable, packaging initiative",,,,,,,,,,,,,,,,,,
67,,302.0,Energy,302-01,Energy consumption within the organization,Telstra consumed of energy 5.136.490 GJ in FY2023.,,,,Telstra,2023.0,,,,,59,,,,,,,,,,,,,,,,,,,,,,,
68,,302.0,Energy,302-02,Energy consumption outside of the organization,Telstra has yet to disclose this information,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,302.0,Energy,302-03,Energy intensity,,,,,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
