Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
132,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Fire Risk Management Program,,,Cleanaway,2023.0,"Cleanaway's Fire Risk Management Program is a strategic initiative designed to systematically identify, assess, and mitigate the risk of fire incidents across its operations. This program likely includes comprehensive policies, procedures, and preventive measures to safeguard against fire hazards.",,,4,18,,,"Fire Risk Management Program, rapid detection, response equipment",3,S,,,,,,,,,,,,,,,,,,,,,,
133,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Risk Management and Mindsets,,,Cleanaway,2023.0,"Cleanaway's risk management and mindset approach involves a proactive and comprehensive strategy to identify, assess, and address potential risks across its operations. This initiative extends beyond mere compliance, emphasizing a mindset that values continuous improvement and risk mitigation.",,,4,24,,,"Risk Management and Mindsets, Case study, Conditions and hazards",3,S,,,,,,,,,,,,,,,,,,,,,,
134,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Site-specific environment risk register,,,Cleanaway,2023.0,"Cleanaway's Site-specific Environment Risk Register is a targeted and meticulous approach to identifying, evaluating, and managing environmental risks unique to each operational site. This register likely includes a comprehensive compilation of potential environmental hazards and associated mitigation strategies specific to each facility's geographical and functional context.",,,4,39,,,"Site-specific environment risk register, Environmental Risk Register, environmental impacts",3,S,,,,,,,,,,,,,,,,,,,,,,
135,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Emergency response actions,,,Cleanaway,2023.0,"Cleanaway's Emergency Response Actions involve a systematic and well-coordinated approach to managing and mitigating emergencies. This likely includes detailed plans, protocols, and training programs designed to respond swiftly and effectively to various emergency scenarios, such as accidents, spills, or other critical incidents.",,,4,40,,,"Emergency response actions, people and local communities, lithium-ion batteries",3,S,,,,,,,,,,,,,,,,,,,,,,
136,,403.0,Occupational Health and Safety,403-03,Occupational health services,,HSE vision,,,Cleanaway,2023.0,"Cleanaway's Health, Safety, and Environment (HSE) Vision encapsulates the company's overarching commitment to creating a workplace and operational environment with the highest health, safety, and environmental responsibility standards. This vision outlines principles and goals that guide the organisation in fostering a culture of continuous improvement, risk reduction, and sustainability.",,,4,18,,,"HSE vision, five strategic imperatives, Brilliant at the basics",3,S,,,,,,,,,,,,,,,,,,,,,,
137,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,Critical safety risk work program,,,Cleanaway,2023.0,"Cleanaway's Critical Safety Risk Work Program is a targeted initiative to identify, prioritise, and address critical safety risks across its operations. This program likely involves a systematic approach to assessing essential hazards of safety, implementing measures to mitigate these risks, and continuously monitoring and improving safety protocols.",,,4,20,,,"Critical safety risk work program, personal and process safety, learners mindset",3,S,,,,,,,,,,,,,,,,,,,,,,
138,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,Core Process development,,,Cleanaway,2023.0,"Core process development is also progressing well, with our first two pilots on managing change and contract execution now complete. These are two critical safety-related core processes currently being rolled out Cleanaway-wide. These processes are essential because they provide a consistent approach to managing these risks, assure the controls, and deliver a platform for continuous improvement.",,,4,20,,,"Core Process development, first two pilots, Health and safety",3,S,,,,,,,,,,,,,,,,,,,,,,
139,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,Management of Change,,,Cleanaway,2023.0,"Cleanaway's Management of Change process is a systematic approach to handling and navigating organisational changes, ensuring that transitions are executed seamlessly while managing associated risks. This likely involves a structured set of procedures and protocols to assess, plan, and implement company changes, such as changes in processes, technology, or organisational structure.",,,4,20,,,"Management of Change, Core Process development, two pilots",3,S,,,,,,,,,,,,,,,,,,,,,,
140,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,Everyday HSE Conversations,,,Cleanaway,2023.0,"Everyday HSE Conversations at Cleanaway represent a proactive and ongoing dialogue within the organisation, focusing on Health, Safety, and Environment. This initiative emphasises the integration of safety discussions into daily routines, fostering a culture where employees regularly engage in conversations about health, safety, and environmental practices.",,,4,24,,,"Everyday HSE Conversations, five modules, Case study",3,S,,,,,,,,,,,,,,,,,,,,,,
141,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,Human and Organisational Principles,,,Cleanaway,2023.0,"Cleanaway's Human and Organisational Principles embody the foundational values and guidelines that govern the company's approach to human resources and organisational practices. These principles likely encompass a commitment to fostering a positive work environment, prioritising employee well-being, and promoting a culture of diversity, equity, and inclusion.",,,4,24,,,"Human and Organisational Principles, face-to-face interactive program, Case study",3,S,,,,,,,,,,,,,,,,,,,,,,
