Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,"Cleanaway provides the most complete range of sustainable total waste management services to fit all events, business needs, regulations and scenarios.",,,,Cleanaway,2023.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Unless otherwise stated, disclosures cover Cleanaway and the entities we controlled during the 12 months ended 30 June 2023. Our joint ventures are also discussed in this report but have not been included in performance metrics, except where explicitly stated otherwise",,,,Cleanaway,2023.0,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point","In this report, Cleanway provides a progress report for the last year (1 July 2022 to 30 June 2023) against our material topics and across our three sustainability pillars: people, planet, and prosperity.",,,,Cleanaway,2023.0,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,Ernst & Young (EY) provides external assurance.,,,,Cleanaway,2023.0,,,,1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","Cleanaway is one of Australia's most prominent collectors of PET, HDPE and PP plastics through our involvement with container deposit schemes, including logistics partner for NSW's Return and Earn, Queensland and Western Australia's Containers for Change, as well as our national capability operating material recovery facilities (MRFs), which sort kerbside recycling.",,,,Cleanaway,2023.0,,,,1,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"The Group has over 7,500 employees at over 330 sites across Australian states and territories, many of whom are in frontline operational roles.",,,,Cleanaway,2023.0,,,,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,The total number of part-time workers in FY23 was 145 employees.,,,,Cleanaway,2023.0,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"The group governance structure comprises the Audit and Risk Committee, Sustainability Committee, and Human Resource Committee.",,,,Cleanaway,2023.0,,,,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,Nomination and selection of Cleanaway's highest governance body are integral processes overseen by the Human Resource Committee (HRC).,,,,Cleanaway,2023.0,,,,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,Philippe Etienne was the Independent Non-Executive Chairman for the reporting period.,,,,Cleanaway,2023.0,,,,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
