Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
99,,305.0,Emissions,305-04,GHG emissions intensity,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,305.0,Emissions,305-05,Reduction of GHG emissions,,Electric vehicles,,,Cleanaway,2023.0,"Cleanaway's adoption of electric vehicles (EVs) underscores the company's commitment to sustainable transportation solutions. This initiative likely involves incorporating electrically powered vehicles like trucks or vans into Cleanaway's fleet. Electric vehicles offer a cleaner and more energy-efficient alternative to traditional fossil fuel-powered vehicles, contributing to a reduction in greenhouse gas emissions.",,,3,47,,,"Electric vehicles, Newcastle municipal market, fuel cell heavy","7, 13",E,,,,,,,,,,,,,,,,,,,,,,
101,,305.0,Emissions,305-05,Reduction of GHG emissions,,Battery electric yellow gear,,,Cleanaway,2023.0,"Cleanaway's adoption of battery electric yellow gear signifies a progressive move towards sustainable heavy machinery. These battery-powered vehicles, often used in waste management, contribute to a cleaner and more environmentally friendly fleet. By incorporating electric technology into its yellow gear, Cleanaway is committed to reducing emissions and embracing innovative solutions in its operational practices.",,,3,47,,,"Battery electric yellow gear, forklifts, recycling facilities","7, 13",E,,,,,,,,,,,,,,,,,,,,,,
102,,305.0,Emissions,305-05,Reduction of GHG emissions,,Landfill Gas Capture,,,Cleanaway,2023.0,"Landfill Gas Capture at Cleanaway involves strategically collecting and utilising gases generated during the decomposition of organic waste in landfills. This initiative aims to mitigate the environmental impact of greenhouse gas emissions, primarily methane.",,,3,7,,,"Landfill Gas Capture, organic waste, reduction targets","7, 13",E,,,,,,,,,,,,,,,,,,,,,,
103,,305.0,Emissions,305-05,Reduction of GHG emissions,,2050 greenhouse gas reduction,,,Cleanaway,2023.0,Cleanaway's commitment to a 2050 greenhouse gas reduction reflects its long-term sustainability goals. This initiative likely involves setting ambitious targets to significantly decrease the company's carbon footprint by 2050.\t,,,3,7,,,"2050 greenhouse gas reduction, methane and carbon dioxide, carbon footprint","7, 13",E,,,,,,,,,,,,,,,,,,,,,,
104,,305.0,Emissions,305-05,Reduction of GHG emissions,,Safeguard Mechanism,,,Cleanaway,2023.0,"A ""Safeguard Mechanism"" is a regulatory framework that limits greenhouse gas emissions from extensive facilities. If Cleanaway has such a mechanism, it likely involves implementing measures to monitor and control emissions, ensuring compliance with environmental regulations.",,,3,70,,,"Safeguard Mechanism, reducing emissions, DCCEEW","7, 13","E, S",,,,,,,,,,,,,,,,,,,,,,
105,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,Air pollution control,,Cleanaway,2023.0,"Cleanaway likely employs various air pollution control measures, such as advanced filtration systems, scrubbers, and other technologies designed to capture and treat airborne contaminants. These measures align with environmental regulations and standards, ensuring that the company operates within permissible limits and contributes to maintaining air quality in the surrounding communities.",,,,37,,,"Air pollution control, regulatory standards, Air protection",13,E,,,,,,,,,,,,,,,,,,,,,,
107,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Total Nitrous Oxide FY 23 was 7.7 ktCO2-e.,,,,Cleanaway,2023.0,,,,3,ESG DATA BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Domestic circular economy,,,Cleanaway,2023.0,"Cleanaway's approach to a domestic circular economy involves fostering a sustainable and closed-loop system within the local context. This initiative likely includes practices such as recycling, waste reduction, and resource recovery at the household level. Cleanaway may implement programs to encourage responsible waste disposal, promote recycling awareness, and create avenues for reusing materials within the community.",,,3,5,,,"Domestic circular economy, Communities, essential service provider",12,E,,,,,,,,,,,,,,,,,,,,,,
