Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
66,,207.0,Tax,207-02,"Tax governance, control, and risk management","In accordance with the ASX listing rule, the group has an obligation to publish the half and full-year Tax Transparency Report.\t",,,,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,207.0,Tax,207-02,"Tax governance, control, and risk management",,,Tax Transparency Report,,Cleanaway,2023.0,"The Tax Transparency Report at Cleanaway likely serves as a comprehensive document that outlines the company's approach to taxation, its tax obligations, and its contributions to the communities in which it operates. This report is designed to enhance transparency and provide stakeholders, including investors and the public, with a clear understanding of Cleanaway's tax practices.",,,,72,,,"Tax Transparency Report, Tax, Tax reign",16,G,,,,,,,,,,,,,,,,,,,,,,
68,,207.0,Tax,207-03,Stakeholder engagement and management of concerns related to tax,"During the period, the Group agreed on a final settlement with New Zealand Inland Revenue regarding their review of various matters related to the Group's prior ownership of the New Zealand business, which resulted in an additional tax liability. As a result, the Group has raised another tax provision of $2.9 million.",,,,Cleanaway,2023.0,,,,2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,207.0,Tax,207-04,Country-by-country reporting,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,301.0,Materials,301-01,Materials used by weight or volume,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,301.0,Materials,301-02,Recycled input materials used,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,302.0,Energy,302-01,Energy consumption within the organization,,Landfill gas,,,Cleanaway,2023.0,"Landfill gas management at Cleanaway involves a comprehensive approach to harnessing and mitigating the impact of gases produced during the decomposition of organic waste in landfills. Cleanaway likely employs advanced technologies to capture and utilise landfill gas, primarily methane and carbon dioxide. The charged gas can be converted into energy through processes like electricity generation or used as a renewable fuel source.",,,3,9,,,"Landfill gas, gas wells, gas management","7, 13",E,,,,,,,,,,,,,,,,,,,,,,
74,,302.0,Energy,302-02,Energy consumption outside of the organization,,Energy from Waste plants,,,Cleanaway,2023.0,"Energy from Waste (EfW) plants at Cleanaway represent a cutting-edge approach to sustainable waste management. These facilities are designed to convert non-recyclable waste into valuable energy, primarily electricity or heat. Cleanaway likely employs advanced technologies such as incineration or gasification to extract energy from the combustion of waste materials, contributing to renewable energy generation.",,,3,49,,,"Energy from Waste plants, inherent energy, assets","7, 13",E,,,,,,,,,,,,,,,,,,,,,,
75,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
