Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
33,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Community Reference Group,,,Cleanaway,2023.0,"The Community Reference Group at Cleanaway plays a pivotal role in stakeholder engagement, serving as a dedicated forum for fostering collaboration and dialogue between the company and the communities it serves. Comprising representatives from local communities, this group facilitates open communication, sharing insights, and addressing concerns related to Cleanaway's operations.",,,2,ESG DATA BOOK,,,"Community Reference Group, CRG, Stakeholder engagement",17,S,,,,,,,,,,,,,,,,,,,,,,
34,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Monthly e-newsletter,,,Cleanaway,2023.0,"The monthly e-newsletter at Cleanaway is a dynamic tool for stakeholder engagement, delivering regular updates, insights, and highlights directly to a diverse audience. Tailored for stakeholders, including customers, investors, and the community, it provides a concise and accessible snapshot of Cleanaway's activities, achievements, and industry trends.",,,2,ESG DATA BOOK,,,"Monthly e-newsletter, Stakeholder engagement, text message alert",17,S,,,,,,,,,,,,,,,,,,,,,,
35,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Investor relation program,,,Cleanaway,2023.0,"The Investor Relations Program at Cleanaway serves as a robust mechanism for stakeholder engagement, specifically catering to the needs and interests of investors. This program is designed to provide timely and comprehensive information to the investment community, including financial results, strategic initiatives, and corporate updates.",,,2,ESG DATA BOOK,,,"Investor relation program, AGM, capital providers",17,S,,,,,,,,,,,,,,,,,,,,,,
36,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Analyst and investor briefings,,,Cleanaway,2023.0,"Analyst and Investor Briefings at Cleanaway are critical components of stakeholder engagement, providing a direct and interactive platform for communication with the financial community. These briefings offer in-depth insights into Cleanaway's financial performance, strategic initiatives, and industry developments.",,,2,ESG DATA BOOK,,,"Analyst and investor briefings, stakeholder engagement, capital providers",17,S,,,,,,,,,,,,,,,,,,,,,,
37,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Investor days,,,Cleanaway,2023.0,"Investor Days at Cleanaway is a highly focused and immersive event within the company's stakeholder engagement strategy. These sessions provide a comprehensive and firsthand understanding of Cleanaway's operations, strategies, and future outlook. They are tailored for investors and financial stakeholders.",,,2,ESG DATA BOOK,,,"Investor days, stakeholder engagement, capital providers",17,S,,,,,,,,,,,,,,,,,,,,,,
38,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Site visit,,,Cleanaway,2023.0,"Site visits at Cleanaway serve as a valuable facet of the company's stakeholder engagement efforts. These visits offer firsthand insights into Cleanaway's operations, facilities, and sustainable practices. By providing an immersive experience, stakeholders gain a deeper understanding of the company's commitment to environmental responsibility, safety standards, and operational excellence.",,,2,ESG DATA BOOK,,,"Site visits, stakeholder engagement, capital providers",17,S,,,,,,,,,,,,,,,,,,,,,,
39,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Conference presentation,,,Cleanaway,2023.0,"Conference presentations at Cleanaway are a dynamic element of the company's stakeholder engagement strategy. These presentations showcase Cleanaway's expertise, innovations, and contributions to the broader community. Cleanaway actively engages in knowledge sharing, networking, and collaborative discussions by participating in conferences, reinforcing its commitment to industry leadership and responsible business practices.",,,2,ESG DATA BOOK,,,"Conference presentation stakeholder engagement, capital providers",17,S,,,,,,,,,,,,,,,,,,,,,,
40,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,News summaries,,,Cleanaway,2023.0,"Cleanaway's news summaries serve as a concise and accessible means of stakeholder engagement. Tailored for a diverse audience that includes customers, investors, and the broader community, these summaries regularly update Cleanaway's activities, achievements, and industry trends.",,,2,ESG DATA BOOK,,,"Stakeholder engagement, capital providers, analyst\t",17,S,,,,,,,,,,,,,,,,,,,,,,
41,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Voice to Parliament,,,Cleanaway,2023.0,"""Voice to Parliament"" at Cleanaway is a visionary stakeholder engagement initiative designed to empower employees and foster a culture of open communication. This platform provides a direct channel for staff members to express their opinions, concerns, and innovative ideas, ensuring their voices are heard and valued in the organisational decision-making process.",,,2,27,,,"Voice to Parliament, reconciliation work, cultural inclusion",17,S,,,,,,,,,,,,,,,,,,,,,,
42,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Direct account management,,,Cleanaway,2023.0,"Direct Account Management at Cleanaway is a strategic element of stakeholder engagement focused on building and nurturing strong relationships with key customers. This approach involves dedicated account managers who work closely with clients to understand their unique needs, address concerns, and optimise service delivery.",,,2,ESG DATA BOOK,,,"Direct account management, in-person meetings, stakeholder engagement",17,S,,,,,,,,,,,,,,,,,,,,,,
