Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
150,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,GIVIT,,,Endeavour,2023.0,"This year, Endeavour is proud to name GIVIT as its national community giving partner for the next three years, with 100% of funds raised through customer and team events to be distributed by GIVIT to people in need. The partnership has already seen over $2 million in corporate and customer contributions donated since 2019 through Dan Murphy's gifting hub, donation tins at store cash registers, brand partnerships, and annual National GIVIT Days across Australia.",,,86,39,,,"GIVIT, community giving, customer contribution",17,S,,,,,,,,,,,,,,,,
151,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Very Special Kids,,,Endeavour,2023.0,"For the eleventh consecutive year, Endeavour's Hotels team in Victoria participated in the June Very Special Kids (VSK) 24-Hour Treadmill Challenge, raising over $139,000. More than 250 Hotels and support team members and their families joined this year's PJ party-themed event, with six treadmills going strong across 24 hours. VSK provides integrated, palliative care for children with life-limiting conditions and critical support for their families.",,,86,40,,,"Very Special Kids, treadmill, critical support",17,S,,,,,,,,,,,,,,,,
152,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Princess Alexandra (PA) Foundation,,,Endeavour,2023.0,"This year in Australia, more than 20,000 people will be diagnosed with breast cancer, and more than 3,000 families will lose a loved one to the disease. Endeavour's ALH Hotels has supported the PA Foundation's Project Pink Campaign for many years, and this year raised more than $70,000 to empower researchers and clinicians at the PA Hospital to give hope to every family facing a breast cancer diagnosis.",,,86,40,,,"Princess Alexandra (PA) Foundation, researcher, breast cancer","3, 17",S,,,,,,,,,,,,,,,,
153,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Loud & Proud,,,Endeavour,2023.0,"The Loud & Proud range continues to grow in support of the Pride Foundation Australia's mental health and homelessness programs for LGBTIQA+ communities. The 2023 range, where 100% of profits are donated, included a Prosecco, RosÃÂ©, Seltzer, pale ale and a zero alcohol Sauvignon Blanc and raised over $179,000. This year, Endeavour commissioned LGBTQ+ artist Meg Minkley to create a piece to bring its Loud & Proud product range to life.",,,86,40,,,"Loud & Proud, Pride Foundation Australia, LGBTQIA+","10, 17",S,,,,,,,,,,,,,,,,
154,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Ausmusic T-Shirt Day,,,Endeavour,2023.0,"Endeavour's pubs rocked for Ausmusic T-Shirt Day on 18 November. Teams across the country donned their favourite Australian muso tee and raised over $12,500 for the Support Act. This charity foundation offers crisis relief services to musicians, managers, crew and music workers who are facing hardship and cannot work. The industry has taken a huge hit over the last few years due to the pandemic, and with many of Endeavour's venues offering live music, Support Act is a charity that hits home.",,,86,41,,,"Ausmusic T-Shirt Day, Support Act, music worker",17,S,,,,,,,,,,,,,,,,
155,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,MS Society SA &Ã¢ÂÂ¯NT,,,Endeavour,2023.0,"Endeavour's Hotels team and customers in SA raised more than $40,000 for the MS Society SA & NT with 100 donation tins and a range of events throughout the state for the year. Fundraising efforts helped to provide vital services for people in SA and the NT living with Multiple Sclerosis, including MS Nurses, physiotherapy, social support, peer support and a range of well-being education activities.",,,86,41,,,"MS Society SA & NT, vital service, well-being education activity",17,S,,,,,,,,,,,,,,,,
156,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Parma for a Farmer,,,Endeavour,2023.0,"Through the annual Parma for a Farmer campaign, Endeavour's ALH raised more than $113,500 in February to support farmers affected by natural disasters. More than 300 ALH pubs took part in the initiative, donating $1 from each chicken parmigiana to Rural Aid, which provides critical support to farmers through financial, well-being and fodder assistance.",,,86,41,,,"Parma for a Farmer, natural disaster, farmer",17,S,,,,,,,,,,,,,,,,
157,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Teen Rescue Foundation,,,Endeavour,2023.0,"Since 2020, Langton's Fine Wine Auctions has hosted the Teen Rescue Foundation Auction. It helps to fund initiatives to discourage and reduce harmful alcohol use among underage teens actively. In 2023, the auction raised more than $23,000.",,,86,41,,,"Teen Rescue Foundation, harmful alcohol use, underage teen",17,S,,,,,,,,,,,,,,,,
158,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Player Protect,,,Endeavour,2023.0,"Endeavour's approach to responsible service of gambling (RSG) was launched this year through Player Protect, which reflects its long-term commitments at strategic, governance and operational levels. Player Protect captures everything Endeavour does to promote and facilitate responsible gambling, from Endeavour's in-venue policies to the dedicated education and training it provides to its people and the support provided for players outside the hotel with information, education and care programs.",,,86,,37,,"Player Protect, responsible service of gambling, responsible gambling","8, 17",S,,,,,,,,,,,,,,,,
159,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Compliance Manager,,,Endeavour,2023.0,"Endeavour has grown its team this year and weighted its resources to help drive its responsibility and compliance strategy. In Hotels, Endeavour appointed a Compliance Manager and has recruited Compliance Specialists this year, covering each State and Territory.",,,86,22,,,"Compliance Manager, Compliance Strategy, Compliance Specialist","8, 16","S, G",,,,,,,,,,,,,,,,
