Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,Endeavour Group Limited,,,,Endeavour,2023.0,,,,83,2,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Endeavour's report included ALH Group Pty Ltd, Auspubs Pty Ltd, and Aceridge Pty Ltd.",,,,Endeavour,2023.0,,,,83,,132,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point","Endeavour's Sustainability Report has been prepared to provide a general overview of Endeavour Group's performance concerning environmental, social and governance (ESG) topics between 1 July 2022 to 30 June 2023.",,,,Endeavour,2023.0,,,,83,2,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"Except as required by applicable laws or regulations, the Group is not obligated to publicly update or revise any forward-looking statements or advise of any change in assumptions on which any such statement is based.",,,,Endeavour,2023.0,,,,83,2,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,Deloitte provided external assurance for Endeavour's report.,,,,Endeavour,2023.0,,,,83,74,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships","Endeavour Group is a collection of some of Australia's best-known businesses and brands in liquor retail, drinks production, hotels and entertainment.",,,,Endeavour,2023.0,,,,83,6,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"Endeavour had over 30,000 employees in 2023.",,,,Endeavour,2023.0,,,,83,8,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,,Voice of Team,,,Endeavour,2023.0,"Endeavour's second Group Voice of Team Survey captures team member feedback and engagement. It improved last year's participation rate and team sentiment against five key drivers: Engagement, Experience vs. Expectations, Intent to Stay, Inclusion and Energy at Work.",,,83,44,,,"Voice of Team, feedback, engagement","8, 17",S,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,"Endeavour's governance structure comprises the Board, the People, Culture and Performance Committee, and the Risk Management and Compliance Committee.",,,,Endeavour,2023.0,,,,83,18,,,,,,,,,,,,,,,,,,,,,
