Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
30,,2.0,General Disclosures,2-30,Collective bargaining agreements,Endeavour's team members have the right to freedom of association. Endeavour has long-standing relationships with the unions that represent its teams.,,,,Endeavour,2023.0,,,,84,80,,,,,,,,,,,,,,,,,,,,,
31,,3.0,Material Topics,3-1,Process to determine material topics,,Materiality assessment,,,Endeavour,2023.0,"In F23, Endeavour undertook its formal independent materiality assessment to identify and prioritise its most material environmental, social and governance (ESG) issues and opportunities. This broad-ranged and far-reaching assessment, conducted by independent agency Q Social Impact, included formal interviews and consultations, an extensive online survey, and a review of emerging sustainability trends and ESG disclosures.",,,84,14,,,"Materiality assessment, ESG issue, Q Social Impact",17,"E, S, G",,,,,,,,,,,,,,,,
32,,3.0,Material Topics,3-2,List of material topics,"Endeavour's material topics are marketing and labelling, ethical behaviour, supplier diversity, and biodiversity.",,,,Endeavour,2023.0,,,,84,15,,,,,,,,,,,,,,,,,,,,,
33,,3.0,Material Topics,3-3,Management of material topics,,Facial Recognition Technology,,,Endeavour,2023.0,"Endeavour is partnering with its Facial Recognition Technology (FRT) provider in 37 of its venues in South Australia. Endeavour also partners with VixVision, who will assist it with an FRT backÃ¢ÂÂofÃ¢ÂÂhouse trial at three venues in Queensland and work with the Queensland Government to trial FRT in a live environment.",,,84,28,,,"Facial Recognition Technology, VixVision, live environment",9,S,,,,,,,,,,,,,,,,
34,,3.0,Material Topics,3-3,Management of material topics,,Focal ALeRT BETTOR,,,Endeavour,2023.0,"Endeavour's data monitoring and risk management system, Focal ALeRT BETTOR, is now up and running in VIC, NSW, QLD and the NT. Extensive training has been provided to 1,000 team members to enable the use of the new system and existing advanced training. The technology assesses patrons' gameplay, looking for early signs of potentially problematic behaviour.",,,84,28,,,"Focal ALeRT BETTOR, risk management system, extensive training","9, 16","S, G",,,,,,,,,,,,,,,,
35,,3.0,Material Topics,3-3,Management of material topics,,Voluntary Pre-Commitment (VPC),,,Endeavour,2023.0,"Across its Hotels nationally, Endeavour provides various services to assist patrons, including self-exclusion and the Voluntary Pre-Commitment (VPC) program. VPC is a carded play system that allows guests to preset their time and play limits. Responsible gambling information, resources and support services are also included on log-in.",,,84,28,,,"Voluntary Pre-Commitment (VPC), self-exclusion, carded play system",8,S,,,,,,,,,,,,,,,,
36,,3.0,Material Topics,3-3,Management of material topics,,Digital wallet,,,Endeavour,2023.0,"In F24, Endeavour will trial a digital wallet solution at the Crows Nest Hotel with Light & Wonder, the University of Sydney and Liquor and Gaming NSW. Data from this trial is expected to inform better harm minimisation practices.",,,84,28,,,"Digital wallet, Crows Nest Hotel, harm minimisation","8, 9",S,,,,,,,,,,,,,,,,
37,,3.0,Material Topics,3-3,Management of material topics,,Voice of Supplier,,,Endeavour,2023.0,"Endeavour knows that listening is key, so to keep the lines of communication open, Endeavour's feedback program, the Voice of Supplier (VOS) surveys, helps identify any issues suppliers might have. In F23, 84% of Endeavour's VOS respondents said they would recommend Endeavour as a Strategic Retail partner. They called out Endeavour's strong knowledge of customers, categories and their interactions, which leads to clear initiatives to increase partnership opportunities.",,,84,56,,,"Voice of Supplier, feedback program, strategic retail partner","8, 17",S,,,,,,,,,,,,,,,,
38,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,"Endeavour generated $11,884 million in revenues in 2023.",,,,Endeavour,2023.0,,,,84,,90,,,,,,,,,,,,,,,,,,,,
39,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Energetics,,,Endeavour,2023.0,"Endeavour engaged climate risk and energy specialists Energetics to undertake a climate risk assessment for the Group and business units. The assessment helped identify, map, and prioritise likely and material climate-related physical and transition risks for Endeavour. This work included developing Group and business unit risk registers covering an assessment of risk impacts to 2030 and 2050, sessions to understand existing mitigation measures and potential management strategies for resilience planning. It developed a climate risk matrix adapted from Endeavour's risk management framework.",,,84,64,,,"Energetics, climate risk assessment, physical risk, transition risk","13, 16","E, G",,,,,,,,,,,,,,,,
