Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
90,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,306.0,Waste,306-02,Management of significant waste-related impacts,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,306.0,Waste,306-02,Management of significant waste-related impacts,,,Waste audit,,Endeavour,2023.0,"This year, Endeavour performed a waste audit to understand better its waste streams and current waste practices at its Retail stores and Hotels to optimise how Endeavour diverts waste from landfills. The waste stream figures will inform Endeavour's waste strategy in F24.",,,,72,,,"Waste audit, waste stream, waste practice",12,E,,,,,,,,,,,,,,,,
94,,306.0,Waste,306-02,Management of significant waste-related impacts,,,Plastic Free July,,Endeavour,2023.0,"This year, Endeavour's team took part in the Plastic Free July (PFJ) initiative, a way for its team members to set personal plastic-free goals at home and work. Many choose to refuse single-use items for July and beyond. Plastic Free July is a global movement to change behaviour and reduce waste in landfills by focusing on small steps that make a big difference.",,,,73,,,"Plastic Free July, plastic-free goal, single-use item",12,E,,,,,,,,,,,,,,,,
95,,306.0,Waste,306-03,Waste generated,"Endeavour generated 69,684 tonnes of waste in 2023.",,,,Endeavour,2023.0,,,,85,80,,,,,,,,,,,,,,,,,,,,,
96,,306.0,Waste,306-04,Waste diverted from disposal,"Endeavour directed 21,565 tonnes of waste to landfill in 2023.",,,,Endeavour,2023.0,,,,85,80,,,,,,,,,,,,,,,,,,,,,
97,,306.0,Waste,306-05,Waste directed to disposal,"Endeavour diverted 48,119 tonnes of waste from landfill in 2023.",,,,Endeavour,2023.0,,,,85,80,,,,,,,,,,,,,,,,,,,,,
98,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,401.0,Employment,401-01,New employee hires and employee turnover,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,401.0,Employment,401-03,Parental leave,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,Endeavour notifies team members as soon as practicable and following legislative requirements.,,,,Endeavour,2023.0,,,,85,85,,,,,,,,,,,,,,,,,,,,,
105,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Employment policies,,,Endeavour,2023.0,"Endeavour's employment policies, practices and standards are focused on its team's safety, health and well-being. These are implemented and overseen by an experienced Safety, Health and Well-being team, reviewed regularly by the Executive Leadership Team, and are externally audited against best practices. Endeavour's safety performance and metrics are reviewed quarterly by the People, Culture and Performance Committee.",,,86,52,,,"Employment policy, safety, health","3, 8",S,,,,,,,,,,,,,,,,
106,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Safety and Health Audit Program,,,Endeavour,2023.0,"F23 saw the continuation of Endeavour's internal Safety and Health Audit Program. 5% of Endeavour's sites will be audited in each business unit with a coverage review annually as part of the internal audit plan, ensuring its health and safety management systems remain certified to the National Self-Insurer Audit Tool.",,,86,52,,,"Safety and Health Audit Program, business unit, internal audit","3, 8",S,,,,,,,,,,,,,,,,
