Unnamed: 0,GRI Content Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,Statement of use,Coles Group has reported in accordance with the GRI Standards for the period 27 June 2022 to 25 June 2023 (FY23).,,,,,,,,,,,,,,,
1,GRI 1 used,GRI 1: Foundation 2021,,,,,,,,,,,,,,,
2,Applicable GRI Sector Standard(s),None applicable,,,,,,,,,,,,,,,
4,GRI STANDARD/ \nOTHER SOURCE\n,GRI DISCLOSURE REQUIREMENT\n\n\n,LOCATION / DETAILS\n\n\n,OMISSION\n,,,UNGC PRINCIPLE\n,UN SDG\n,,,,,,,,,
5,,,,REQUIREMENT(S) \nOMITTED,REASON\n,EXPLANATION\n,,,,,,,,,,,
6,General disclosures,,,,,,,,,,,,,,,,
7,GRI 2: General Disclosures 2021\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n,2-1 Organizational details,"Coles Group Limited is a publicly listed company. \nGroup headquarters are located at 800-838 Toorak Road, Hawthorn East, Victoria, 3123. \nThe Group operates across Australia.",A gray cell indicates that reasons for omission are not permitted for the disclosure or that a GRI Sector Standard reference number is not available.\n\n\n,,,,,,,,,,,,,
8,,2-2 Entities included in the organizationÃ¢ÂÂs sustainability reporting,Our 2023 Sustainability Report contains information for all Coles' wholly owned businesses during FY23 (unless otherwise stated).,,,,,,,,,,,,,,
9,,"2-3 Reporting period, frequency and contact point","Unless otherwise stated, the 2023 Sustainability Report covers the period 27 June 2022 to 25 June 2023 (FY23) for the Group. The reporting frequency is annual and the FY23 report was published on 14 September 2023. Contact point details are available on the inside cover of the 2023 Sustainability Report.",,,,,,,,,,,,,,
10,,2-4 Restatements of information,"In FY23, we recalculated our target baseline data for Scope 1, 2 and 3 to account the sale of Coles Express.\n",,,,,,,,,,,,,,
11,,2-5 External assurance,2023 Sustainability Report: Independent Assurance Statement p.56-57,,,,,,,,,,,,,,
12,,"2-6 Activities, value chain and other business relationships",2023 Coles Group Annual Report for business activities and Subsidiaries.\n2023 Modern Slavery Statement for supply chain.\n,,,,,,,,,,,,,,
13,,2-7 Employees,2023 Sustainability Data Pack: Team members tab,,,,6,810,,,,,,,,,
14,,2-8 Workers who are not employees:,,All,Information unavailable/incomplete,"Coles employees more than 120,000 team members in the business and a significant proportion of activities are undertaken directly by our team members.",,8,,,,,,,,,
15,,2-9 Governance structure and composition,"2023 Annual Report p.20, 53-56\n2023 Corporate Governance Statement",,,,,5,,,,,,,,,
