Unnamed: 0,Unnamed: 0.1,Scope 3 emissions by category (Million tCO2-e),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
1,,,F22,F23,,,,,
2,,1. Purchased goods and services (1),17.35,14.94,,,,,
3,,2. Capital Goods(2),0,0,,,,,
4,,3. Fuel- and energy-related activities(3),0.14,0.16,,,,,
5,,4. Upstream transportation and distribution (4),0.62,0.6,,,,,
6,,5. Waste generated in operations(5),0.11,0.11,,,,,
7,,6. Business travel(6),0.0038,0.0036,,,,,
8,,7. Employee commuting(7),0.13,0.12,,,,,
9,,11. Use of sold products(8),0.78,0.63,,,,,
10,,12. End-of-life treatment of sold products(9),1.29,1.29,,,,,
11,,15. Investments (10),0.41,0.33,,,,,
12,,Total (11),20.82,18.1836,,,,,
15,,"(1) Includes emissions related to the products we sell and services we use. Calculated according to spend-based and mass-based methods, applying category specific emission factors.",,,,,,,
16,,(2) Capital Goods is captured in Category 1 - Purchased Goods and Services,,,,,,,
17,,(3) Calculated according to the average-data method.,,,,,,,
18,,(4) Calculated using fuel-based method and spend-based method where fuel data was not available.,,,,,,,
19,,"(5) Calculated according to the waste quantity, type, and treatment method.",,,,,,,
20,,"(6) Emissions related to corporate travel, including flights, accommodation, and car rentals.",,,,,,,
21,,(7) Emissions related to all team member commuting. Calculated using the average data method.,,,,,,,
22,,(8) Direct use-phase emissions from the use of sold products.,,,,,,,
23,,(9) Emissions related to the disposal of the products we sell.,,,,,,,
24,,(10) Emissions of organisations in which we own a material share using the average-data method.,,,,,,,
25,,"(11) Consistent with guidance in the GHG Protocol, Category 8 Ã¢ÂÂ Upstream leased assets and Category 9 Ã¢ÂÂ Downstream transportation and distribution are excluded from our Scope 3 emissions inventory. Category 8 is excluded based on guidance from the GHG protocol and SBTi validation of our inventory. Category 9 is excluded on the basis that customer transportation emissions are optional to report. Category 10 Ã¢ÂÂ Processing of sold products, 13 Ã¢ÂÂ Downstream leased assets and 14 Ã¢ÂÂ Franchises are not relevant to Coles Group.",,,,,,,
