Unnamed: 0,Unnamed: 0.1,Emissions (1),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
1,,Scope 1 & 2(2)(3) and Scope 3(4) Greenhouse gas emissions (tonnes CO2-e),,,,,,,,,,,,,,
2,,,FY20,FY21,FY22,FY23,,,,,,,,,,
3,305-1 a.,Gross direct Scope 1 GHG emissions in metric tons of CO2 equivalent.,306628.3478,287935.6637,275854.0791,,,,,,,,,,,
4,305-1 b.,"Gases included in the calculation; whether CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, or all.","We use CO2, CH4, N2O, HFCs","We use CO2, CH4, N2O, HFCs","We use CO2, CH4, N2O, HFCs",,,,,,,,,,,
5,305-1 d.,"Base year for the calculation, if applicable, including:",FY20,FY20,FY20,,,,,,,,,,,
6,305-1 d. i.,the rationale for choosing it,The first year where reliable data was available,The first year where reliable data was available,The first year where reliable data was available,,,,,,,,,,,
7,305-1 d. ii.,emissions in the base year,see above,see above,see above,,,,,,,,,,,
8,305-1 d. iii.,the context for any significant changes in emissions that triggered recalculations of base year emissions,,,,,,,,,,,,,,
9,305-1 e.,"Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source",NGER criteria,NGER criteria,NGER criteria,,,,,,,,,,,
10,305-1 f.,Consolidation approach for emissions; whether equity share or operational control,Operational control,Operational control,Operational control,,,,,,,,,,,
11,305-1 g.,"standards, methodologies, assumptions and/or calculation tools used","From FY20 - FY22 Coles has applied GHG protocol and NGER criteria. Other tools and methods used include: Reasonable Assurance audit, Envizi.","From FY20 - FY22 Coles has applied GHG protocol and NGER criteria. Other tools and methods used include: Reasonable Assurance audit, Envizi.","From FY20 - FY22 Coles has applied GHG protocol and NGER criteria. Other tools and methods used include: Reasonable Assurance audit, Envizi.",,,,,,,,,,,
13,305-2 a.,Gross location-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent,1308665,1291155,1259762,,,,,,,,,,,
14,305-2 b.,if applicable gross market-based energy indirect (Scope 2) GHG emissions in metric tons of CO2 equivalent,1308665,1291155,1259762,,,,,,,,,,,
15,305-2 c.,"if available the gases included in calculation; whether CO2, CH4, n2O, HFCs, PFCs, SF6, NF3 or all",,,,,,,,,,,,,,
16,305-2 d.,"Base year for the calculation, if applicable, including:",FY20,FY20,FY20,,,,,,,,,,,
17,'305-2 d. i.,the rationale for choosing it,The first year where reliable data was available,The first year where reliable data was available,The first year where reliable data was available,,,,,,,,,,,
18,'305-2 d. ii.,emissions in the base year,see above,see above,see above,,,,,,,,,,,
19,'305-2 d. iii.,the context for any significant changes in emissions that triggered recalculations of base year emissions,,,,,,,,,,,,,,
20,'305-2 e.,"Source of the emission factors and the global warming potential (GWP) rates used, or a reference to the GWP source",NGER criteria,NGER criteria,NGER criteria,,,,,,,,,,,
21,305-2 f,Consolidation approach for emissions; whether equity share or operational control,Operational control,Operational control,Operational control,,,,,,,,,,,
22,305-2 g.,"standards, methodologies, assumptions and/or calculation tools used","From FY20 - FY22 Coles has applied GHG protocol and NGER criteria. Other tools and methods used include: Reasonable Assurance audit, Envizi.","From FY20 - FY22 Coles has applied GHG protocol and NGER criteria. Other tools and methods used include: Reasonable Assurance audit, Envizi.","From FY20 - FY22 Coles has applied GHG protocol and NGER criteria. Other tools and methods used include: Reasonable Assurance audit, Envizi.",,,,,,,,,,,
24,305-3,Scope 3,,,,,,,,,,,,,,
26,305-4,GHG Emissions intensity (CO2-e),,,,,,,,,,,,,,
27,,GHG Emissions intensity (ratio),,,,,,,,,,,,,,
29,302-1,Energy consumption (GJ),FY20,FY21,FY22,FY23,Data highlighted yellow can be provided but whilst the total group energy consumption has been reported and audited before we have never reported or audited these numbers broken down by fuel type.,,,,,,,,,
30,a.,Fuel Consumption - Non-Renewable Sources,,,,,,,,,,,,,,
31,a. i,Diesel Stationary (GJ),7070.3366,3920.623,9056.3963,,,,,,,,,,,
32,a. ii,Diesel Transport (GJ),241203.6756,291672.2391,367333.1332,,,,,,,,,,,
33,a. iii,Electricity (GJ),5803287.5422,5797135.3208,5784075.371,,,,,,,,,,,
34,a. iv,Ethanol E100 Transport (GJ),478.974,459.936,0,,,,,,,,,,,
35,a. v,LPG Stationary (GJ),6846.2775,24281.7168,22219.1587,,,,,,,,,,,
36,a. vi,Natural Gas [GJ],496584.2977,551581.8541,544189.2317,,,,,,,,,,,
37,a. vii,Petrol Transport (GJ),46979.4867,39233.1208,4370.1771,,,,,,,,,,,
38,a. viii,Ethanol E10 Transport (GJ),,,721.5169,,,,,,,,,,,
39,b.,Fuel Consumption - renewable sources,Never been reported and audited before,Never been reported and audited before,Never been reported and audited before,,,,,,,,,,,
41,c. i,Electricity consumption (kWh),1612024317.184703,1610315365.562199,1606687601.869602,,,,,,,,,,,
42,c. ii,Heating consumption,,,,,,,,,,,,,,
43,c. iii,Cooling consumption,,,,,,,,,,,,,,
44,c. iv,Steam consumption,,,,,,,,,,,,,,
45,d.1,Electricity sold,,,,,,,,,,,,,,
46,d.ii,Cooling sold,,,,,,,,,,,,,,
47,d.iii,Steam sold,,,,,,,,,,,,,,
48,e.,Total energy consumption within the organisation (GJ),6602450.5903,6708284.8106,6731964.9849,,STAYS,,,,,,,,,
49,f.,"standards, methodologies, assumptions, and/or calculation tools used",From FY20 - FY22 Coles has applied GHG protocol and NGER criteria.,From FY20 - FY22 Coles has applied GHG protocol and NGER criteria.,From FY20 - FY22 Coles has applied GHG protocol and NGER criteria.,,,,,,,,,,,
50,g.,source of the conversion factors used,NGER criteria,NGER criteria,NGER criteria,,,,,,,,,,,
52,302-3,Energy intensity,FY20,FY21,FY22,FY23,,,,,,,,,,
54,,(1) Covers 1 July 2022 to 30 June 2023,,,,,,,,,,,,,,
55,,"(2) In FY20 to FY22, data has been reported using market-based emissions accounting and applying GHG protocol and NGER criteria. Location-based Scope 2 emissions for FY20, FY21 and FY22 are 1,308,665 tCO2-e, 1,291,155 tCO2-e and [XX] respectively. FY19 Scope 1 and 2 emissions are reported under the NGER Act, as was FY20 previously.",,,,,,,,,,,,,,
56,,"(3) Scope 1 and 2 emissions are reported for businesses where we have operational control under the NGER Act in FY19, and under the GHG Protocol Standard in FY20, FY21 and FY22.",,,,,,,,,,,,,,
57,,"(4) Scope 3 data includes the indirect component of our Scope 1 and 2 emissions such as transmitting the electricity we use, emissions from waste disposal and air travel",,,,,,,,,,,,,,
61,305-3,Scope 3 emissions by category ( (MtCO2-e),,,,,,,,,,,,,,
62,,,,,FY22,FY23,,,,,,,,,,
63,,1. Purchased goods and services,,,,,,,,,,,,,,
64,,2. Capital goods,,,,,,,,,,,,,,
65,,3. Fuel and energy-related activities,,,,,,,,,,,,,,
66,,4. Upstream transportation and distribution,,,,,,,,,,,,,,
67,,5. Waste generated in operations,,,,,,,,,,,,,,
68,,6. Business travel,,,,,,,,,,,,,,
69,,7. Employee commuting,,,,,,,,,,,,,,
70,,12. End-of-life treatment of sold products,,,,,,,,,,,,,,
71,,15. Investments and joint ventures,,,,,,,,,,,,,,
