Unnamed: 0,GRI Content Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
125,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.45-47,,,,,,,,,,,,,,
126,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,"2023 Sustainability Report: Health, safety and wellbeing p.45-47",,,,,38,,,,,,,,,
127,,"403-2 Hazard identification, risk assessment, and incident investigation","2023 Sustainability Report: Health, safety and wellbeing p.45-47",,,,,8,,,,,,,,,
128,,403-3 Occupational health services,"2023 Sustainability Report: Health, safety and wellbeing p.45-47",,,,,8,,,,,,,,,
129,,"403-4 Worker participation, consultation, and communication on occupational health and safety","2023 Sustainability Report: Health, safety and wellbeing p.45-47",,,,,8,,,,,,,,,
130,,403-5 Worker training on occupational health and safety,"2023 Sustainability Report: Health, safety and wellbeing p.45-47",,,,,8,,,,,,,,,
131,,403-6 Promotion of worker health,"2023 Sustainability Report: Health, safety and wellbeing p.45-47",,,,,3,,,,,,,,,
132,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"2023 Sustainability Report: Health, safety and wellbeing p.45-47",,,,,8,,,,,,,,,
133,,403-8 Workers covered by an occupational health and safety management system,"2023 Sustainability Report: Health, safety & wellbeing p.45-47\n",,,,,8,,,,,,,,,
134,,403-9 Work-related injuries,"2023 Sustainability Report: Health, safety & wellbeing p.45-47\n2023 Sustainability data pack - Team member tab (TRIFR and fatalities data)",,,,,38,,,,,,,,,
135,,403-10 Work-related ill health,,All,Information unavailable/incomplete,Coles has published a number of data points on safety and we are working to potentially align our public reporting to GRI requirements in future years.,,,,,,,,,,,
136,Training and education,,,,,,,,,,,,,,,,
137,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
138,GRI 404: Training and Education 2016,404-1 Average hours of training per year per employee,,All,Information unavailable/incomplete,We are improving our training data collection by gender and employee category. Limited data is available in our 2023 Sustainability Report.,,5810,,,,,,,,,
139,,404-2 Programs for upgrading employee skills and transition assistance programs,"Coles provides a range of programs at all levels of the organisation to upskill team members and support career progression - this is covered in our Sustainability report under Great Place to Work p. 37. Coles is also committed to supporting team members who are transitioning from our business due to retirement, redundancy or termination. This can include reskilling programs through TAFE, learning resources, outplacement and employee assistance programs.\n",,,,6,8,,,,,,,,,
140,,404-3 Percentage of employees receiving regular performance and career development reviews,All Coles salaried team members and store leaders have formal performance reviews annually and we encourage continuous conversations all year round that includes receiving regular feedback on performance and development progress. Our performance management process is captured in real time using an online system.,,,,,,,,,,,,,,
141,Diversity and equal opportunity,,,,,,,,,,,,,,,,
142,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.39-44,,,,,,,,,,,,,,
143,GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,2023 Sustainability Report: Gender equity p.40 \n2023 Sustainability data pack - Team members tab\n2023 Corporate Governance Statement: Diversity and Inclusion p.15-17,,,,6,58,,,,,,,,,
144,,405-2 Ratio of basic salary and remuneration of women to men,,All,Information unavailable/incomplete,"Coles is working to align its public reporting to GRI requirements in future years. As disclosed in our 2023 Sustainability Report, in FY23, our gender pay parity gap is -0.9%.",,5810,,,,,,,,,
145,Non-discrimination,,,,,,,,,,,,,,,,
146,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
147,GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,We received a small number allegations of discrimination by customers against Coles team members. No allegations were substantiated. \nWe also received a small number of allegations of discrimination by team members against other team members and a number of these resulted in disciplinary action.,,,,6,58,,,,,,,,,
148,Freedom of association and collective bargaining,,,,,,,,,,,,,,,,
149,GRI 3: Material Topics 2021,3-3 Management of material topics,Within the Reports mentioned below,,,,,,,,,,,,,,
150,GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"2023 Annual Report: Risk management p.40 \nModern Slavery Statement p.20, 21, 29, 36",,,,123,8,,,,,,,,,
151,Child labour,,,,,,,,,,,,,,,,
152,GRI 3: Material Topics 2021,3-3 Management of material topics,Within the Report mentioned below,,,,,,,,,,,,,,
153,GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labour,"2023 Modern Slavery Statement p.20, 21, 29, 36",,,,125,58,,,,,,,,,
154,Forced or compulsory labour,,,,,,,,,,,,,,,,
155,GRI 3: Material Topics 2021,3-3 Management of material topics,Within the Report mentioned below,,,,,,,,,,,,,,
156,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labour,"2023 Modern Slavery Statement p.20, 21, 29, 36",,,,124,58,,,,,,,,,
157,Security practices,,,,,,,,,,,,,,,,
158,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
159,GRI 410: Security Practices 2016,410-1 Security personnel trained in human rights policies or procedures,,All,Information unavailable/incomplete,Coles provides online contractor induction for security personnel which includes information on worker rights. Coles plans to review this training in FY24.\nSecurity providers are required to comply with our Ethical Sourcing Policy and compliance with the Policy is assessed annually.,,,,,,,,,,,
160,Rights of indigenous peoples,,,,,,,,,,,,,,,,
161,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
162,GRI 411: Rights of Indigenous Peoples 2016,411-1 Incidents of violations involving rights of indigenous peoples,,All,Information unavailable/incomplete,No data available at the level required by GRI.,,,,,,,,,,,
