Unnamed: 0,GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,Statement of use\n,,,,[Name of organization] has reported the information cited in this GRI content index for the period [reporting period start and end dates] with reference to the GRI Standards.,,,
1,GRI 1 used,,,,GRI 1: Foundation 2021,,,
3,GRI STANDARD,,,,,DISCLOSURE,LOCATION,
4,GRI 2: General Disclosures 2021\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n,,,,,2-1 Organizational details,,
5,,,,,,2-2 Entities included in the organizationÃ¢ÂÂs sustainability reporting,,
6,,,,,,"2-3 Reporting period, frequency and contact point",,
7,,,,,,2-4 Restatements of information,,
8,,,,,,2-5 External assurance,,
9,,,,,,"2-6 Activities, value chain and other business relationships",,
10,,,,,,2-7 Employees,,
11,,,,,,2-8 Workers who are not employees,,
12,,,,,,2-9 Governance structure and composition,,
13,,,,,,2-10 Nomination and selection of the highest governance body,,
14,,,,,,2-11 Chair of the highest governance body,,
15,,,,,,2-12 Role of the highest governance body in overseeing the management of impacts,,
16,,,,,,2-13 Delegation of responsibility for managing impacts,,
17,,,,,,2-14 Role of the highest governance body in sustainability reporting,,
18,,,,,,2-15 Conflicts of interest,,
19,,,,,,2-16 Communication of critical concerns,,
20,,,,,,2-17 Collective knowledge of the highest governance body,,
21,,,,,,2-18 Evaluation of the performance of the highest governance body,,
22,,,,,,2-19 Remuneration policies,,
23,,,,,,2-20 Process to determine remuneration,,
24,,,,,,2-21 Annual total compensation ratio,,
25,,,,,,2-22 Statement on sustainable development strategy,,
26,,,,,,2-23 Policy commitments,,
27,,,,,,2-24 Embedding policy commitments,,
28,,,,,,2-25 Processes to remediate negative impacts,,
29,,,,,,2-26 Mechanisms for seeking advice and raising concerns,,
30,,,,,,2-27 Compliance with laws and regulations,,
31,,,,,,2-28 Membership associations,,
32,,,,,,2-29 Approach to stakeholder engagement,,
33,,,,,,2-30 Collective bargaining agreements,,
34,GRI 3: Material Topics 2021\n,,,,,3-1 Process to determine material topics,,
35,,,,,,3-2 List of material topics,,
36,,,,,,3-3 Management of material topics,,
37,GRI 201: Economic Performance 2016,,,,,201-1 Direct economic value generated and distributed,,
38,,,,,,201-2 Financial implications and other risks and opportunities due to climate change,,
39,,,,,,201-3 Defined benefit plan obligations and other retirement plans,,
40,,,,,,201-4 Financial assistance received from government,,
41,GRI 202: Market Presence 2016,,,,,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,,
42,,,,,,202-2 Proportion of senior management hired from the local community,,
43,GRI 203: Indirect Economic Impacts 2016,,,,,203-1 Infrastructure investments and services supported,,
44,,,,,,203-2 Significant indirect economic impacts,,
45,GRI 204: Procurement Practices 2016,,,,,204-1 Proportion of spending on local suppliers,,
46,GRI 205: Anti-corruption 2016,,,,,205-1 Operations assessed for risks related to corruption,,
47,,,,,,205-2 Communication and training about anti-corruption policies and procedures,,
48,,,,,,205-3 Confirmed incidents of corruption and actions taken,,
49,GRI 206: Anti-competitive Behavior 2016,,,,,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,
50,GRI 207: Tax 2019,,,,,207-1 Approach to tax,,
51,,,,,,"207-2 Tax governance, control, and risk management",,
52,,,,,,207-3 Stakeholder engagement and management of concerns related to tax,,
53,,,,,,207-4 Country-by-country reporting,,
54,GRI 301: Materials 2016,,,,,301-1 Materials used by weight or volume,,
55,,,,,,301-2 Recycled input materials used,,
56,,,,,,301-3 Reclaimed products and their packaging materials,,
57,GRI 302: Energy 2016,,,,,302-1 Energy consumption within the organization,,
58,,,,,,302-2 Energy consumption outside of the organization,,
59,,,,,,302-3 Energy intensity,,
60,,,,,,302-4 Reduction of energy consumption,,
61,,,,,,302-5 Reductions in energy requirements of products and services,,
62,GRI 303: Water and Effluents 2018,,,,,303-1 Interactions with water as a shared resource,,
63,,,,,,303-2 Management of water discharge-related impacts,,
64,,,,,,303-3 Water withdrawal,,
65,,,,,,303-4 Water discharge,,
66,,,,,,303-5 Water consumption,,
67,GRI 304: Biodiversity 2016,,,,,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,
68,,,,,,"304-2 Significant impacts of activities, products and services on biodiversity",,
69,,,,,,304-3 Habitats protected or restored,,
70,,,,,,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,
71,GRI 305: Emissions 2016,,,,,305-1 Direct (Scope 1) GHG emissions,,
72,,,,,,305-2 Energy indirect (Scope 2) GHG emissions,,
73,,,,,,305-3 Other indirect (Scope 3) GHG emissions,,
74,,,,,,305-4 GHG emissions intensity,,
75,,,,,,305-5 Reduction of GHG emissions,,
76,,,,,,305-6 Emissions of ozone-depleting substances (ODS),,
77,,,,,,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,
78,GRI 306: Waste 2020,,,,,306-1 Waste generation and significant waste-related impacts,,
79,,,,,,306-2 Management of significant waste-related impacts,,
80,,,,,,306-3 Waste generated,,
81,,,,,,306-4 Waste diverted from disposal,,
82,,,,,,306-5 Waste directed to disposal,,
83,GRI 308: Supplier Environmental Assessment 2016,,,,,308-1 New suppliers that were screened using environmental criteria,,
84,,,,,,308-2 Negative environmental impacts in the supply chain and actions taken,,
85,GRI 401: Employment 2016,,,,,401-1 New employee hires and employee turnover,,
86,,,,,,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,,
87,,,,,,401-3 Parental leave,,
88,GRI 402: Labor/Management Relations 2016,,,,,402-1 Minimum notice periods regarding operational changes,,
89,GRI 403: Occupational Health and Safety 2018,,,,,403-1 Occupational health and safety management system,,
90,,,,,,"403-2 Hazard identification, risk assessment, and incident investigation",,
91,,,,,,403-3 Occupational health services,,
92,,,,,,"403-4 Worker participation, consultation, and communication on occupational health and safety",,
93,,,,,,403-5 Worker training on occupational health and safety,,
94,,,,,,403-6 Promotion of worker health,,
95,,,,,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,
96,,,,,,403-8 Workers covered by an occupational health and safety management system,,
97,,,,,,403-9 Work-related injuries,,
98,,,,,,403-10 Work-related ill health,,
99,GRI 404: Training and Education 2016,,,,,404-1 Average hours of training per year per employee,,
100,,,,,,404-2 Programs for upgrading employee skills and transition assistance programs,,
101,,,,,,404-3 Percentage of employees receiving regular performance and career development reviews,,
102,GRI 405: Diversity and Equal Opportunity 2016,,,,,405-1 Diversity of governance bodies and employees,,
103,,,,,,405-2 Ratio of basic salary and remuneration of women to men,,
104,GRI 406: Non-discrimination 2016,,,,,406-1 Incidents of discrimination and corrective actions taken,,
105,GRI 407: Freedom of Association and Collective Bargaining 2016,,,,,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,
106,GRI 408: Child Labor 2016,,,,,408-1 Operations and suppliers at significant risk for incidents of child labor,,
107,GRI 409: Forced or Compulsory Labor 2016,,,,,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,,
108,GRI 410: Security Practices 2016,,,,,410-1 Security personnel trained in human rights policies or procedures,,
109,GRI 411: Rights of Indigenous Peoples 2016,,,,,411-1 Incidents of violations involving rights of indigenous peoples,,
110,GRI 413: Local Communities 2016,,,,,"413-1 Operations with local community engagement, impact assessments, and development programs",,
111,,,,,,413-2 Operations with significant actual and potential negative impacts on local communities,,
112,GRI 414: Supplier Social Assessment 2016,,,,,414-1 New suppliers that were screened using social criteria,,
113,,,,,,414-2 Negative social impacts in the supply chain and actions taken,,
114,GRI 415: Public Policy 2016,,,,,415-1 Political contributions,,
115,GRI 416: Customer Health and Safety 2016,,,,,416-1 Assessment of the health and safety impacts of product and service categories,,
116,,,,,,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,,
117,GRI 417: Marketing and Labeling 2016,,,,,417-1 Requirements for product and service information and labeling,,
118,,,,,,417-2 Incidents of non-compliance concerning product and service information and labeling,,
119,,,,,,417-3 Incidents of non-compliance concerning marketing communications,,
120,GRI 418: Customer Privacy 2016,,,,,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,,
