Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,Sustainability Databook 2023,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,PEOPLE AND CULTURE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Our people are fundamental to our success. We seek to attract, develop and retain talented people who have a shared belief in our purpose and values. We are focused on fostering a safe, high-performance and values based organisational culture for our engaged, inclusive and diverse workforce. Our culture is a product of our people and systems, and is reflected in the way we work, the decisions we take, the courage we show and the legacy we leave.

The metrics we use to measure our performance are shown in the tables below. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Diversity and workforce composition,,,,,,,,,,,,,,,,,,
,,,Gender,,,,Age groups,,,Black People -  South Africa employees(2) (%),,,,,,,,,
,Board diversity,Headcount distribution (count),Women (count),"Men
(count)",Women (%),Men (%),Under 30 (%),30-50 (%),Over 50 (%),,,,,,,,,,
,South32 Board(1),9,4,5,44.4,55.6,0,0,100,11.1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) Board includes Non-Executive Directors. Black People percentage on the Board includes members of the Board who are Black / Total members regardless of location.
(2) Generic term meaning Africans, Coloureds and Indians who are citizens of the Republic of South Africa by birth or descent; or who became citizens of the Republic of South Africa by naturalisation before 27 April 1994 or on or after 27 April 1994 and who would have been entitled to acquire citizenship by naturalisation prior to that date.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Gender,,,,Age groups,,,Black People -  South Africa employees(2) (%),,,,,,,,,
,Workforce diversity,Headcount distribution (count),Women (count),"Men
(count)",Women (%),Men (%),Under 30 (%),30-50 (%),Over 50 (%),,,,,,,,,,
,Executives and senior management(1),41,14,27,34.1,65.85,0,48.8,51.2,66.7,,,,,,,,,
,Management,237,77,160,32.5,67.5,0,70,30,54.6,,,,,,,,,
