Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
68,,,,,,GNR: Government National Regulations (Regulations regarding safety of dams),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,5. When initial operation commenced.,,,,"OMS: Operations, Maintenance and Surveillance manual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,"6. Yes or No. If no, more information is provided in question 20.",,,,RSA: Residue Storage Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,"7. Upstream, Centreline, Modified Centreline, Downstream, Landform, Other.",,,,SABS: South African National Standards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,9. As of 30 June 2022.,,,,SEMA: Brazilian Environment Secretariat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,10. As planned for June 2027.,,,,SEP: Solar Evaporation Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,11. Independent means independent of South32.,,,,SIGBM: Brazilian Integrated Management System for Dam Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,"12. Yes or No. All necessary documents are in place to make an informed and substantiated decision on the safety of the dam, be it an old facility, or an acquisition, or legacy site.",,,,SP: Setting Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,"15. Yes or No. A Yes answer may not indicate heightened risk. Stability concerns might include toe seepage, dam movement, overtopping, spillway failure or piping. If yes, detail on mitigation actions are provided. We also note that this question does not bear upon the appropriateness of the criteria, but rather the stewardship levels of the facility or the dam.",,,,TARP: Trigger Action Response Plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,TP: Tailings Pond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,16. Answers may be Both.,,,,TSF: Tailings Storage Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
