Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
127,,South32 indicator,,Procurement from Aboriginal and Torres Strait Islander businesses,"Report the total procurement spend from Aboriginal and Torres Strait Islander businesses, and associated targets.",2023 Sustainability Databook - Responsible value chain tab,,,,
128,,Water,,,,,,,,
129,,GRI 3: Material Topics 2021,3-3,Management of material topics,"a. describe the actual and potential, negative and positive impacts on the economy, environment, and people, including impacts on their human rights;\n\nb. report whether the organisation is involved with the negative impacts through its activities or as a result of its business relationships, and describe the activities or business relationships;\n\nc. describe its policies or commitments regarding the material topic;\n\nd. describe actions taken to manage the topic and related impacts, including:\ni. actions to prevent or mitigate potential negative impacts;\nii. actions to address actual negative impacts, including actions to provide for or cooperate in their remediation;\niii. actions to manage actual and potential positive impacts;\n\ne. report the following information about tracking the effectiveness of the actions taken:\ni. processes used to track the effectiveness of the actions;\nii. goals, targets, and indicators used to evaluate progress;\niii. the effectiveness of the actions, including progress toward the goals and targets;\niv. lessons learned and how these have been incorporated into the organisationÃ¢ÂÂs operational policies and procedures;\n\nf. describe how engagement with stakeholders has informed the actions taken (3-3-d) and how it has informed whether the actions have been effective (3-3-e).","a., b., c., d., e., and f. 2023 Sustainable Development Report - Water (page 63-67); and Our Approach to Water Stewardship, and Water available at www.south32.net;",,,,
130,,GRI 303: Water and Effluents 2018,303-1,Interactions with water as a shared resource,"a. a description of how the organisation interacts with water, including how and where water is withdrawn, consumed, and discharged, and the water-related impacts caused or contributed to, or directly linked to the organisationÃ¢ÂÂs activities, products or services by a business relationship (e.g., impacts caused by runoff).\n\nb. a description of the approach used to identify water-related impacts, including the scope of assessments, their timeframe, and any tools or methodologies used.\n\nc. a description of how water-related impacts are addressed, including how the organisation works with stakeholders to steward water as a shared resource, and how it engages with suppliers or customers with significant water-related impacts.\n\nd. an explanation of the process for setting any water-related goals and targets that are part of the organisationÃ¢ÂÂs management approach, and how they relate to public policy and the local context of each area with water stress.","a., b., c., and d. 2023 Sustainable Development Report - Water (page 63-67); 2023 Sustainability Databook - Water tab; and Our Approach to Water Stewardship available at www.south32.net\n\n",,,,
131,,GRI 303: Water and Effluents 2018,303-2,Management of water discharge-related impacts,"a. a description of any minimum standards set for the quality of effluent discharge, and how these minimum standards were determined, including:\ni. how standards for facilities operating in locations with no local discharge requirements were determined;\nii. any internally developed water quality standards or guidelines;\niii. any sector-specific standards considered;\niv. whether the profile of the receiving waterbody was considered.\n","Our approach to Water Stewardship available at www.south32.net \n2023 Sustainable Development Report - Water (page 63-67); and waste, contamination and other emissions (page 78-82)",,,,
132,,GRI 303: Water and Effluents 2018,303-3,Water withdrawal,"a. total water withdrawal from all areas in megalitres, and a breakdown of this total by the following sources, if applicable:\ni. surface water;\nii. groundwater;\niii. seawater;\niv. produced water;\nv. third-party water.\n\nb. total water withdrawal from all areas with water stress in megalitres, and a breakdown of this total by the following sources, if applicable:\ni. surface water;\nii. groundwater;\niii. seawater;\niv. produced water;\nv. third-party water, and a breakdown of this total by the withdrawal sources listed in i-iv.\n\nc. a breakdown of total water withdrawal from each of the sources listed in Disclosures 303-3-a and 303-3-b in megalitres by the following categories:\ni. freshwater (Ã¢ÂÂ¤1,000 mg/L Total Dissolved Solids);\nii. other water (>1,000 mg/L Total Dissolved Solids).\n\nd. any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used.","a., b., c, and d, 2023 Sustainability Databook - Water tab",,,,
133,,GRI 303: Water and Effluents 2018,303-4,Water discharge,"a. total water discharge to all areas in megalitres, and a breakdown of this total by the following types of destination, if applicable:\ni. surface water;\nii. groundwater;\niii. seawater;\niv. third-party water, and the volume of this total sent for use to other organisations, if applicable.\n\nb. a breakdown of total water discharge to all areas in megalitres by the following categories:\ni. freshwater (Ã¢ÂÂ¤1,000 mg/L Total Dissolved Solids);\nii. other water (>1,000 mg/L Total Dissolved Solids).\n\nc. total water discharge to all areas with water stress in megalitres, and a breakdown of this total by the following categories:\ni. freshwater (Ã¢ÂÂ¤1,000 mg/L Total Dissolved Solids);\nii. other water (>1,000 mg/L Total Dissolved Solids).\n\nd. priority substances of concern for which discharges are treated, including:\ni. how priority substances of concern were defined, and any international standard, authoritative list, or criteria used;\nii. the approach for setting discharge limits for priority substances of concern;\niii. number of incidents of non-compliance with discharge limits.\n\ne. any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used.","a., b., c, and e. 2023 Sustainability Databook - Water tab\n\nd. 2023 Sustainability Databook - Water tab; 2023 Sustainable Development Report - Water (page 63-67) and Waste, contamination and other emissions (page 78-82)",,,,
134,,GRI 303: Water and Effluents 2018,303-5,Water consumption,"a. total water consumption from all areas in megalitres.\n\nb. total water consumption from all areas with water stress in megalitres.\n\nc. change in water storage in megalitres, if water storage has been identified as having a significant water-related impact.\n\nd. any contextual information necessary to understand how the data have been compiled, such as any standards, methodologies, and assumptions used, including whether the information is calculated, estimated, modelled, or sourced from direct measurements, and the approach taken for this, such as the use of any sector-specific factors.","a., b., c. and d. 2023 Sustainability Databook - Water tab",,,,
135,,Biodiversity and land use,,,,,,,,
136,,GRI 3: Material Topics 2021,3-3,Management of material topics,"a. describe the actual and potential, negative and positive impacts on the economy, environment, and people, including impacts on their human rights;\n\nb. report whether the organisation is involved with the negative impacts through its activities or as a result of its business relationships, and describe the activities or business relationships;\n\nc. describe its policies or commitments regarding the material topic;\n\nd. describe actions taken to manage the topic and related impacts, including:\ni. actions to prevent or mitigate potential negative impacts;\nii. actions to address actual negative impacts, including actions to provide for or cooperate in their remediation;\niii. actions to manage actual and potential positive impacts;\n\ne. report the following information about tracking the effectiveness of the actions taken:\ni. processes used to track the effectiveness of the actions;\nii. goals, targets, and indicators used to evaluate progress;\niii. the effectiveness of the actions, including progress toward the goals and targets;\niv. lessons learned and how these have been incorporated into the organisationÃ¢ÂÂs operational policies and procedures;\n\nf. describe how engagement with stakeholders has informed the actions taken (3-3-d) and how it has informed whether the actions have been effective (3-3-e).","a., b., c., d., e., and f. 2023 Sustainable Development Report - Biodiversity (page 68-73)\nBiodiversity available at www.south32.net",,,,
137,,GRI 304: Biodiversity 2016,304-1,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside of protected areas","a. for each operational site owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas, the following information:\ni. geographic location;\nii. subsurface and underground land that may be owned, leased, or managed by the organisation;\niii. position in relation to the protected area (in the area, adjacent to, or containing portions of the protected area) or the high biodiversity value area outside protected areas;\niv. type of operation (office, manufacturing or production, or extractive);\nv. size of operational site in km2 (or another unit, if appropriate);\nvi. biodiversity value characterized by the attribute of the protected area or area of high biodiversity value outside the protected area (terrestrial, freshwater, or maritime ecosystem);\nvii. biodiversity value characterized by listing of protected status (such as IUCN Protected Area Management Categories, Ramsar Convention, national legislation).",a. 2023 Sustainability Databook - Biodiversity tab\n\nCriteria a.ii is not disclosed as this information is not included in our data collection processes yet.,"a.ii. subsurface and underground land that may be owned, leased, or managed by the organisation",Information unavailable / incomplete,"Information on the subsurface and underground land that may be owned, leased, or managed by the organisation is currently unavailable. We are working to improve our data collection processes and aim to improve our disclosure in future years.",
138,,GRI 304: Biodiversity 2016,304-2,"Significant impacts of activities, products and services on biodiversity","a. nature of significant direct and indirect impacts on biodiversity with reference to one or more of the following:\ni. construction or use of manufacturing plants, mines, and transport infrastructure;\nii. pollution (introduction of substances that do not naturally occur in the habitat from point and non-point sources);\niii. introduction of invasive species, pests, and pathogens;\niv. reduction of species;\nv. habitat conversion;\nvi. changes in ecological processes outside the natural range of variation (such as salinity or changes in groundwater level).\n\nb. significant direct and indirect positive and negative impacts with reference to the following:\ni. species affected;\nii. extent of areas impacted;\niii. duration of impacts;\niv. reversibility or irreversibility of the impacts.","a., and b. 2023 Sustainable Development Report - Biodiversity (Page 68-73)",,,,
139,,GRI 304: Biodiversity 2016,304-3,Habitats protected or restored,"a. size and location of all habitat areas protected or restored, and whether the success of the restoration measure was or is approved by independent external professionals.\n\nb. whether partnerships exist with third parties to protect or restore habitat areas distinct from where the organisation has overseen and implemented restoration or protection measures.\n\nc. status of each area based on its condition at the close of the reporting period.\n\nd. standards, methodologies, and assumptions used.","a. 2023 Sustainability Databook - Biodiversity tab\n\nb. 2023 Sustainable Development Report - Biodiversity (page 68-73)\n\nd. We disclose land set aside for conservation, this includes forest ecosystem restoration and agroforestry Cerro Matoso operation, stewardship (offset) sites at Illawarra Metallurgical Coal (IMC), and areas of significant conservation value, ecological restoration and habitat protection at Worsley Alumina.",c. status of each area based on its condition at the close of the reporting period.,Information unavailable / incomplete,Information on the status of each area based on its condition at the close of the reporting period is currently unavailable. We are working to improve our data collection processes and aim to improve our disclosure in future years.,
140,,GRI 304: Biodiversity 2016,304-4,"IUCN Red List species and national conservation list species with habitats in areas affected by operations, per country","a. Total number of IUCN Red List species and national conservation list species with habitats in areas affected by the operations of the organisation, by level of extinction risk:\ni. Critically endangered\nii. Endangered\niii. Vulnerable\niv. Near threatened\nv. Least concern",a. 2023 Sustainability Databook - Biodiversity tab,,,,
