Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,,,,,,,,,,,,,,Sustainability Databook 2023,,,
3,,WATER,,,,,,,,,,,,,,,
5,,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,,,,,,,,,
7,,"Water is a valuable resource that we share and is critical to the sustainability of communities, the environment and our business. In many of the areas where we operate, water is scarce, and we manage risks associated with water security and\naccess for our operations and communities. We are taking near and long-term action to minimise and, where possible, avoid any negative impacts on water availability and quality for the future of our business, local communities, and the environment.\n\nWater data has been presented in accordance with the Minerals Council of Australia (MCA) Water Accounting Framework (WAF) meets the ICMM disclosure requirements for water quality. This year we incorporated updates to our water accounting methodology in line with both MCA WAF version 2.0 and the ICMM Water Reporting Good Practice Guide (2nd Edition August 2021), including the disclosure of Other managed water. This has enabled reporting of new water metrics such as total water consumption and discharge.\n\nThe metrics we use to measure our performance are shown in the tables below.",,,,,,,,,,,,,,,
9,,Water accounting overview,,,,,,,,,,,,,,,
11,,,,,Water quality (megalitres),,,,,,,,,,,,
12,,,Megalitres per annum,Source/destination,Type 1,Type 2,Type 3,High,Low,FY23\nTotal,FY22 \nTotal,FY21 \nTotal,FY20 \nTotal,FY19\nTotal,,,
13,,Operational water,Operational water inputs / withdrawal,Surface water,18713,11619,6603,30332,6603,36935,35787,50128,47980,46370,,,
14,,,,Groundwater,17339,3887,6552,21225,6552,27778,23007,28249,34524,38763,,,
15,,,,Seawater,-,-,-,-,-,-,15,143,195,456,,,
16,,,,Third party water,1580,12,676,1592,676,2268,2373,5113,7216,3704,,,
17,,,,Total,37632,15518,13831,53150,13831,66981,61183,83632,89916,89293,,,
18,,,Operational water outputs / discharge,Surface water,845,7565,147,8410,147,8557,9103,14936,11463,12828,,,
19,,,,Groundwater,31,301,655,332,655,987,984,993,1113,14352,,,
