Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
53,,"18. Is there a) a closure plan in place for this dam, and b) does it include long term monitoring?","No, Yes","No, Yes","No, Yes","No, Yes","No, Yes","No, Yes","No, Yes","No, Yes","No, Yes","No, Yes",See notes in Q20,See notes in Q20,"Yes, No","Yes, No","Yes, No","Yes, No","Yes, No","Yes, No","Yes, No","Yes, No","Yes, No","Yes, No",See notes in Q20,See notes in Q20,See notes in Q20,See notes in Q20,See notes in Q20,See notes in Q20,See notes in Q20,See notes in Q20,See notes on column 20,"Yes, No","Yes, No","Yes, No",See notes on column 20,"Yes, No","Yes, No","Yes, No","Yes, No","Yes, Yes",
54,,"19. Have you, or do you plan to assess your tailings facilities against the impact of more regular extreme weather events as a result of climate change, e.g. over the next two years?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
55,,20. Any other relevant information and supporting documentation. Please state if you have omitted any other exposure to tailings facilities through any joint ventures you may have.,Q17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies at each location. \nQ18. Progressive closure being implemented in accordance with well-established standards.,Q8. Additional 5.2m of upstream deposition in 1 m lifts. \nQ9. Included 1.14 MmÃÂ³ of upstream deposition in the total volume. \nQ17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies. \nQ18. Progressive closure being implemented in accordance with well-established standards.,Q17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies. \nQ18. Progressive closure being implemented in accordance with well-established standards.,Q9. Included 1.28 MmÃÂ³ of upstream deposition in the total volume. \nQ17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies. \nQ18. Progressive closure being implemented in accordance with well-established standards.,Q9. Included 2.98 MmÃÂ³ of upstream deposition in the total volume. \nQ17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies. \nQ18. Progressive closure being implemented in accordance with well-established standards.,"Q9. Included 0.46 MmÃÂ³ of upstream deposition in the total volume. \nQ15. From December 2020 to December 2021 this facility was classified uncertified due to undrained Factor of Safety below requirements. Rock buttress/additional drainage installed as part of decommissioning and certified in December 2021 (WALM).The facility remains inactive and in the process of closure.\nQ15. Walm inspected the RSA 5 in December 2020 and did not certify RSA 5 based on observed seepage. RSA 5 Facility has been closed for several years and is in process of HDPE liner cover and soil capping . The RSA 5 facility is double HDPE lined within the residue storage (containment) area, and tests indicated freshwater seepage. Additional monitoring installed and a reinforcement buttress constructed in H2 2021.\nQ17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break Assessment studies. \nQ18. Progressive closure being implemented in accordance with well-established standards.",Q17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies. \nQ18. Progressive closure being implemented in accordance with well-established standards.,Q17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies at each location. \nQ18. Progressive closure being implemented in accordance with well-established standards.,Q17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies. \nQ18. Progressive closure being implemented in accordance with well-established standards.,Q9. Phase 1 - operation started on March 27th 2023 with commissioning activities.\nQ17. The location has developed Emergency Response Plans (ERPÃ¢ÂÂs) that cover the potential impacts from a major loss of containment from a residue storage area. These ERPs are informed by Dam Break studies. \nQ12. Awaiting project handover to operations. RSA 9 is under construction and commissioning. Phase 1 was released for water overflow and residue disposal. Phase 1: under commissioning. Design Ã¢ÂÂ ok; Construction Ã¢ÂÂ Ã¢ÂÂas-builtÃ¢ÂÂ in progress; Operation Ã¢ÂÂ RSA in commissioning stage; OMS Manual awaiting AS BUILT. Phase 2: Constructed. Design - ok.\n,"Q4. The facility is designated as ""inactive"" since it is not currently receiving any tailings discharge.\nQ6. This structure is being utilized for rehabilitation tests, however closing/decommissioning plan is underway.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is classified as ""active"" as it corresponds to the registration at SIGBM-ANM; however, it is not currently in operation.\nQ6. This structure closing/decommissioning plan is underway.\nQ7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the ANM.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation;.\nQ13. The classification was already suggested by the EoR and validated by the ANM.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the ANM.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the ANM.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the ANM.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7. This classification is according to the agency ANM. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The available documents are sufficient to ensure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. There is a Dam Break study.\nQ19.The structures are being evaluated for a PMP rainfall . The project until then considered the service during the operation to a rainfall of 10,000 years of recurrence.","Q7. This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are sufficient to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is designated as ""inactive"" since it is not currently receiving any tailings discharge.\nQ6 This structure is being utilized for rehabilitation tests, however closing/decommissioning plan is underway.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is designated as ""inactive"" as it corresponds to the registration at SIGBM-ANM.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is designated as ""inactive"" as it corresponds to the registration at SIGBM-ANM.\nQ6 This structure is being utilized for rehabilitation tests, however closing/decommissioning plan is underway.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is designated as ""inactive"" as it corresponds to the registration at SIGBM-ANM.\n7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is designated as ""inactive"" as it corresponds to the registration at SIGBM-ANM.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is designated as ""inactive"" as it corresponds to the registration at SIGBM-ANM.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q6. This structure's closure / decommissioning plan is underway.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. Updating of the Dam Break Study was conducted in 2022. \nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. There is a Dam Break Study in place. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. There is a Dam Break Study in place. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ13. The classification was already suggested by the EoR and validated by the regulatory mining agency (ANM).\nQ17. There is a Dam Break Study in place. \nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q4. The facility is designated as ""inactive"" since it is not currently receiving any tailings discharge.\nQ6 This structure's closure / decommissioning plan is underway.\nQ7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ12. The documents available are enough to secure the safety of the structure, including an independent stability report and As Is documentation.\nQ15. A prior study raised a concern regarding a specific section within this structure - a spillway was added to address this concern, as recommended in the study. The concern no longer exists and the structure has never failed to obtain a declaration of stability as required under applicable regulations. \nQ17. There is a Dam Break study in place.\nQ18. Closure plan is under development, whereby long-term monitoring will be specified.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q7.This classification is compliant with the ANM agency.\nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\nQ10. The volume presented for TP-02 is the current volume. It is important to note that TP-02 is a thickening pond and that its volume will vary throughout the year based on the elevation of the of water on its surface.\nQ12. The documents available are sufficient to ensure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. There is a Dam Break study in place.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q1. It's a water dam.\nQ7.This classification is compliant with the ANM agency. \nQ8. The height specified in this column refers to the downstream slope of the structure, except for TP-03, in which case the height of the upstream slope was specified.\n9. The volume specified refers to the total volume of the reservoir.\nQ10. The volume specified refers to the total volume of the reservoir.\nQ12. The documents available are sufficient to ensure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. There is a Dam Break study in place.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q1. It is a sediment containment dam.\nQ7. This classification is compliant with the ANM agency. \nQ8. The height specified in this refers to the downstream slope of the structure, except TP-03, in which case the height of the upstream slope was specified. The change in maximum heights is due to the fact that the definition changed in the legislation, which previously considered the height from the top of the crest down to the foundation (Ordinance 70.389 / 2017). After Law 14.066 / 2020, the maximum height is considered from the top of the crest down to the toe of the downstream slope.\nQ9. The volume specified refers to the total volume of the reservoir.\nQ10. The volume specified refers to the total volume of the reservoir.\nQ12. The documents available are sufficient to ensure the safety of the structure, including an independent stability report and As Is documentation.\nQ17. New Dam Break study, in accordance with ANM Resolution 32.\nQ19. The overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q1. It is a sediment containment dam.\nQ7. This classification is compliant with the ANM agency. \nQ8. The height specified in this refers to the downstream slope of the structure, except TP-03, in which case the height of the upstream slope was specified. The change in maximum heights is due to the fact that the definition changed in the legislation, which previously considered the height from the top of the crest down to the foundation. After Law 14.066 / 2020, the maximum height is considered from the top of the crest to the toe of the downstream slope.\nQ9. The volume specified refers to the total volume of the reservoir.\nQ10. The volume specified refers to the total volume of the reservoir.\nQ12. The documents available are sufficient to ensure the security of the structure, including an independent stability report and as-is documentation.\nQ17. New Dam Break study, in accordance with ANM Resolution 32.\nThe overflow structures support a PMP RI. A study on climate change is underway and expected to be issued by late 2023.","Q13. CCA under assessment in alignment with GISTM. \nQ15. In 2016 an Internal Plan in agreement with the authorities. was delivered and put in place due to larger infiltration due salt dissolution in the foundation soil of the dams and large settlements were noticed. Engineering measures were put in place as key trench, liner impermeabilization, drainage system, buttresses and geotechnical instrumentation.",
59,,Notes on the directory questions,,,,Abbreviations used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Question,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,"1. A tailings storage facility is typically either an earth-fill embankment dam or a landform used to store fine grained\nmaterial by-products of the mining operation, washing or separation and metal liberation process. Tailings can be liquid, solid, or a slurry of fine particles. Solid tailings are often used as part of the structure itself and the facility is typically raised in succession throughout the life of the particular mine. Every tailings storage facility is identified and if there are multiple dams (saddle or secondary dams) within that facility, this is detailed within question 20.",,,,ANCOLD: Australian National Committee on Large Dams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,ANM: Brazilian National Mining Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,2. Longitude and Latitude coordinates.,,,,BRDA: Bauxite Residue Disposal Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,"3. Owned and Operated, Subsidiary, Joint Venture: Operated, Non-Operated Joint Venture, as of 30 June 2022. The Boddington Gold Mine (100% Newmont GoldCorp owned) has TSFs on tenements held by the participants in the Worsley Alumina Joint Venture (86% South32 owned). These TSFs are not included in this disclosure.",,,,DNPM: Brazil National Department of Mineral Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,ERP: Emergency Response Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
