Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
0,,,,,,,,,,,Sustainability Databook 2023,,,,,,,,,
3,,PEOPLE AND CULTURE,,,,,,,,,,,,,,,,,,
5,,"Our people are fundamental to our success. We seek to attract, develop and retain talented people who have a shared belief in our purpose and values. We are focused on fostering a safe, high-performance and values based organisational culture for our engaged, inclusive and diverse workforce. Our culture is a product of our people and systems, and is reflected in the way we work, the decisions we take, the courage we show and the legacy we leave.\n\nThe metrics we use to measure our performance are shown in the tables below.",,,,,,,,,,,,,,,,,,
7,,Diversity and workforce composition,,,,,,,,,,,,,,,,,,
8,,,,Gender,,,,Age groups,,,Black People - South Africa employees(2) (%),,,,,,,,,
9,,Board diversity,Headcount distribution (count),Women (count),Men\n(count),Women (%),Men (%),Under 30 (%),30-50 (%),Over 50 (%),,,,,,,,,,
10,,South32 Board(1),9,4,5,44.4,55.6,0,0,100,11.1,,,,,,,,,
12,,"(1) Board includes Non-Executive Directors. Black People percentage on the Board includes members of the Board who are Black / Total members regardless of location.\n(2) Generic term meaning Africans, Coloureds and Indians who are citizens of the Republic of South Africa by birth or descent; or who became citizens of the Republic of South Africa by naturalisation before 27 April 1994 or on or after 27 April 1994 and who would have been entitled to acquire citizenship by naturalisation prior to that date.",,,,,,,,,,,,,,,,,,
14,,,,Gender,,,,Age groups,,,Black People - South Africa employees(2) (%),,,,,,,,,
15,,Workforce diversity,Headcount distribution (count),Women (count),Men\n(count),Women (%),Men (%),Under 30 (%),30-50 (%),Over 50 (%),,,,,,,,,,
16,,Executives and senior management(1),41,14,27,34.1,65.85,0,48.8,51.2,66.7,,,,,,,,,
17,,Management,237,77,160,32.5,67.5,0,70,30,54.6,,,,,,,,,
18,,Supervisory / professional/ operational support,9338,1850,7488,19.8,80.2,8.6,66,25.4,87.5,,,,,,,,,
19,,Total,9616,1941,7675,20.2,79.8,8.4,66.1,25.6,86.9,,,,,,,,,
21,,"(1) Executives and Senior Management include members of the South32 Lead Team and Senior Leadership Team.\n(2) Generic term meaning Africans, Coloureds and Indians who are citizens of the Republic of South Africa by birth or descent; or who became citizens of the Republic of South Africa by naturalisation before 27 April 1994 or on or after 27 April 1994 and who would have been entitled to acquire citizenship by naturalisation prior to that date. The percentage of Black People is calculated using the total Black People in South Africa as the numerator, and the total workforce in South Africa as the denominator.\n(3) The percentage of Black People in management roles varies to the 'Representation of Black People in South Africa in management roles' due to the exclusion of executives and senior management, as they are represented separately.",,,,,,,,,,,,,,,,,,
23,,Diversity representation (%),FY23,FY22,FY21,,,,,,,,,,,,,,,
24,,Women representation of total workforce,20.2,19.2,18.4,,,,,,,,,,,,,,,
25,,Women represented on South32 Board,44.4,37.5,37.5,,,,,,,,,,,,,,,
26,,Women represented in South32 Lead Team,50,37.5,44.4,,,,,,,,,,,,,,,
27,,Women represented in Senior Leadership Team(1),30.3,32.14,29.6,,,,,,,,,,,,,,,
28,,Women represented in Operational Leadership Team(2),28.7,20.43010752688172,18.3,,,,,,,,,,,,,,,
29,,Representation of Black People in South Africa in total workforce(4),86.9,86.13,85.7,,,,,,,,,,,,,,,
30,,Representation of Black People in South Africa in management roles(4)(5),55.3,61.9,52.4,,,,,,,,,,,,,,,
32,,"(1) The Senior Leadership Team includes Presidents and Vice Presidents reporting to members of the South32 Lead Team.\n(2) Includes all members of an Operations Lead Team (OLT) and includes functional employees based at an operation, limited to one per function. In FY23 we have revised this definition and calculation methodology to better reflect our organisational structure. FY22-FY21 data displayed is based on previous methodology as disclosed in the 2022 Sustainability Databook. \n(4) Generic term meaning Africans, Coloureds and Indians who are citizens of the Republic of South Africa by birth or descent; or who became citizens of the Republic of South Africa by naturalisation before 27 April 1994 or on or after \n27 April 1994 and who would have been entitled to acquire citizenship by naturalisation prior to that date. The percentage of Black People is calculated based on our workforce in South Africa only. \n(5) Management roles are leaders with an identified job grading, based on the requirements of their role and salary, including executives and senior management.",,,,,,,,,,,,,,,,,,
34,,Employees by gender and employment type(1),Women,Men,FY23 Total,FY22 Total,FY21 Total,,,,,,,,,,,,,
35,,Permanent - total(2),1765,7420,9185,8668,8583,,,,,,,,,,,,,
36,,Permanent - full time,1676,7373,9049,8536,8479,,,,,,,,,,,,,
37,,Permanent - part time,89,47,136,132,104,,,,,,,,,,,,,
38,,Temporary(3),176,255,431,428,491,,,,,,,,,,,,,
39,,Total,1941,7675,9616,9096,9074,,,,,,,,,,,,,
40,,Percentage,20.2,79.8,-,-,-,,,,,,,,,,,,,
42,,(1) Employment contract type is for direct South32 employees only.\n(2) Figures for total permanent employees includes full time and part time permanent employees.\n(3) Temporary workers includes three casuals in FY23.,,,,,,,,,,,,,,,,,,
44,,,Gender,,Age groups,,,Employment type(1),,,,,,,,,,,,
45,,Workforce distribution,Women,Men,Under 30,30-50,Over 50,Permanent,Temporary,FY23 Total,FY22 Total,FY21 Total,,,,,,,,
46,,Australia,847,4008,457,2933,1465,4682,173,4855,4578,4563,,,,,,,,
47,,Brazil,14,10,3,17,4,24,-,24,20,15,,,,,,,,
48,,Canada,7,13,1,17,2,20,-,20,17,7,,,,,,,,
49,,Chile,5,8,1,11,1,13,-,13,3,-,,,,,,,,
50,,Colombia,175,797,84,611,277,903,69,972,948,882,,,,,,,,
51,,Mozambique,107,919,73,750,203,993,33,1026,994,990,,,,,,,,
52,,Singapore,51,31,6,61,15,79,3,82,80,94,,,,,,,,
53,,South Africa,687,1790,164,1867,446,2324,153,2477,2344,2412,,,,,,,,
54,,United Kingdom,9,4,-,7,6,13,-,13,13,17,,,,,,,,
55,,United States,39,95,17,77,40,134,-,134,99,94,,,,,,,,
56,,Total,1941,7675,806,6351,2459,9185,431,9616,9096,9074,,,,,,,,
58,,(1) Employment contract type is for direct South32 employees only.,,,,,,,,,,,,,,,,,,
60,,Pay ratio of women to men based on salary(1),Australia,Colombia,Mozambique,Singapore,South Africa,United States,FY23 Total,FY22 Total,FY21 Total,,,,,,,,,
61,,Executives(2) and senior management,1.1,-,-,-,-,-,1.1,1,1.1,,,,,,,,,
62,,Management,1,1,0.9,0.9,0.9,0.8,1,0.9,0.9,,,,,,,,,
63,,Supervisory / professional/ operational support,1,1.2,1.1,0.7,1,1,1,1,1,,,,,,,,,
65,,"(1) Countries with less than 50 South32 employees are not listed, however the data is included in the overall total. \n(2) Executive figures exclude key management personnel.",,,,,,,,,,,,,,,,,,
67,,Pay ratio of CEO to median employee compensation(1),,FY23,,,,,,,,,,,,,,,,
68,,Annual total compensation for CEO to the median for all employees,,26:1,,,,,,,,,,,,,,,,
70,,"(1) CEO annual total compensation has been calculated in accordance with the method detailed for realised pay on page 82 of the 2023 Annual Report. For all other employees, annual total compensation is for the 12-month period to 30 June 2023 and includes all allowances, annual incentive payments received in the period and the value of shares that vested, but excludes other non-monetary benefits. Pension contributions have been calculated based on the cost to the Group of the contributions made in the 12-month period. Internationally mobile employees and employees who joined or left the Group after 1 July 2022 have been excluded from the calculation.",,,,,,,,,,,,,,,,,,
72,,"Attracting, developing and retaining talent",,,,,,,,,,,,,,,,,,
74,,Employee hiring rate per country(1),Gender,,Age groups,,,FY23 Total \nhiring rate,FY22 Total \nhiring rate,FY21 Total \nhiring rate,,,,,,,,,,
75,,,Women,Men,Under 30,30-50,Over 50,,,,,,,,,,,,,
76,,Australia,26.6,73.4,28.6,55.6,15.8,17.8,13.4,8.4,,,,,,,,,,
77,,Brazil,80,20,40,60,0,23.4,38.1,6.6,,,,,,,,,,
78,,Canada,80,20,0,100,0,27.8,87,14.6,,,,,,,,,,
79,,Chile(2),20,80,10,80,10,139.5,150,-,,,,,,,,,,
80,,Colombia,41.5,58.5,26.8,73.2,0,8.6,13.3,7,,,,,,,,,,
