Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,,,,,,,,Sustainability Databook 2023
,,,,,,,,
,,,,,,,,
,ICMM SOCIAL AND ECONOMIC REPORTING FRAMEWORK INDEX,,,,,,,
,,,,,,,,
,This table demonstrates South32's reporting in accordance with the ICMM Social and Economic Reporting Framework and Guidance for period 1 July 2022 to 30 June 2023.,,,,,,,
,,,,,,,,
,,,,,,OMISSION,,
,Focus Area,ICMM Indicator,,Indicator requirements,Reference location,Requirements omitted,Reason,Explanation
,Tax,Indicator 1,Taxes – Country-by-country reporting,"If reporting under GRI 207-4, companies should provide information on:

a. 'All tax jurisdictions where the entities included in the organization’s audited consolidated financial statements, or in the financial information filed on public record, are resident for tax purposes. 

b. For each tax jurisdiction reported: 
i. Names of the resident entities; 
ii. Primary activities of the organization; 
iii. Number of employees, and the basis of calculation of this number; 
iv. Revenues from third-party sales; 
v. Revenues from intra-group transactions with other tax jurisdictions; 
vi. Profit/loss before tax; 
vii. Tangible assets other than cash and cash equivalents; 
viii. Corporate income tax paid on a cash basis; 
ix. Corporate income tax accrued on profit/loss; 
x. Reasons for the difference between corporate income tax accrued on profit/loss 
and the tax due if the statutory tax rate is applied to profit/loss before tax. 

c. The time period covered by the information reported in Disclosure 207-4.'","a., b. and c. 2023 Tax Transparency and Payments to Governments Report (page 6-8, 15 and 24)",,,
,Employment,Indicator 2,Workforce composition,"Companies to provide information on their employees and other workers including:

a. Total direct workforce split by region.

b. Proportion of permanent vs contractor workforce.

For their direct workforce, companies should also report on the percentage (%) of employees per employee category, by age group, gender and other indicators of diversity (egg ethnicity) to the extent practicable based on their local operating context 
and what is legally permissible . Wherever possible, this disaggregation should also be considered for reporting on contractor workforce. ",a. 2023 Sustainability Databook - People and culture tab,b. proportion of permanent vs contractor workforce.,Information unavailable / incomplete,Information on our contractor workforce composition is currently unavailable. We are working to improve our data collection processes and aim to improve our disclosure in future years. 
