Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,,,,,,,Sustainability Databook 2023
3,,INTERNATIONAL FINANCIAL REPORTING STANDARDS (IFRS) FOUNDATION'S SUSTAINABILITY ACCOUNTING STANDARDS BOARD (SASB) INDEX,,,,,,
5,,"This table demonstrates how we are pursuing alignment with the IFRS Foundation's Sustainability Accounting Standards Board (SASB) Metals and Mining Sustainability Accounting Standard, 2021.",,,,,,
7,,,,,,OMISSION,,
8,,Our material topic,SASB metric,Metric description,Reference location,Requirements omitted,Reason,Explanation
9,,Health and safety,EM-MM-320a.1.,"(1) MSHA all-incidence rate, (2) fatality rate, (3) near miss frequency rate (NMFR) and (4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",2023 Sustainability Databook - Health and safety tab,"(4) average hours of health, safety, and emergency response training for (a) full-time employees and (b) contract employees",Information unavailable / incomplete,Information on the average hours of training undertaken by employees and contractors is currently unavailable. We are working to improve our data collection processes and aim to improve our disclosure in future years.
10,,People and culture,EM-MM-310a.1.,"Percentage of active workforce covered under collective bargaining agreements, broken down by U.S. and foreign employees",2023 Sustainability Databook - People and culture tab,Broken down by U.S and foreign employees,Information unavailable / incomplete,We currently report our data collectively for our employee workforce in all locations.
11,,,EM-MM-310a.2.,Number and duration of strikes and lockouts,2023 Sustainability Databook - People and culture tab,,,
12,,Partnering with communities,EM-MM-210a.2,Percentage of (1) proved and (2) probable reserves in or near indigenous land,,All requirements omitted,Information unavailable / incomplete,An analysis of proved and probable reserves in or near indigenous lands has not been undertaken. We are working to improve our data collection processes and aim to improve our disclosure in future years.
13,,,EM-MM-210b.1.,Discussion of process to manage risks and opportunities associated with community rights and interests,2023 Sustainable Development Report - Partnering with communities (page 35-40)\n2023 Sustainable Development Report - Our societal contribution (page 41-47)\n2023 Sustainable Development Report - Human rights (page 52-56),,,
14,,,EM-MM-210b.2.,Number and duration of non-technical delays,2023 Sustainability Databook - Partnering with communities tab,,,
15,,Ethics and business integrity,EM-MM-510a.2.,Production in countries that have the 20 lowest rankings in Transparency InternationalÃ¢ÂÂs Corruption Perception Index,2023 Sustainability Databook - Ethics and business integrity tab,,,
16,,Human rights,EM-MM-210a.1,Percentage of (1) proved and (2) probable reserves in or near areas of conflict,,All requirements omitted,Information unavailable / incomplete,An analysis of proved and probable reserves in or near areas of conflict has not been undertaken. We are working to improve our data collection processes and aim to improve our disclosure in future years.
17,,,EM-MM-210a.3.,"Discussion of engagement processes and due diligence practices with respect to human rights, Indigenous rights, and operation in areas of conflict",2023 Sustainable Development Report - Partnering with communities (page 35-40)\n2023 Sustainable Development Report - Human rights (page 52-56)\n2023 Modern Slavery Statement available at www.south32.net\n2023 Conflict Minerals Statement available at www.south32.net,,,
