Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,Sustainability Databook 2023,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,GREENHOUSE GAS EMISSIONS,,,,,,,,,,,
,,,,,,,,,,,,
,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,,,,,,,
,,,,,,,,,,,,
,The metrics we use to measure our performance are shown in the tables below. ,,,,,,,,,,,
,,,,,,,,,,,,
,Greenhouse gas (GHG) emissions,,,,,,,,,,,
,,,,,,,,,,,,
,Total GHG emissions (millions of tonnes of CO2-e)(1),FY23,FY22,FY21,FY20,FY19,,,,,,
,GHG – Scope 1,9.6,9.1,9.7,10.4,10.5,,,,,,
,GHG – Scope 2 market-based,11.4,11.9,11.9,12.9,13,,,,,,
,GHG – Scope 2 location-based(2),19.7,20.7,20.4,21.1,19.6,,,,,,
,GHG Scope 1 and 2,21,21,21.6(3),23.3,23.5,,,,,,
,GHG Scope 3,65.6,67.4,106.0(4),110,116.4,,,,,,
,,,,,,,,,,,,
