Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3
0,,,,Sustainability Databook 2023
3,,ICMM MINING PRINCIPLES,,
5,,This tab is subject to assurance by KPMG - refer to the Assurance tab for further information.,,
7,,"In line with our ICMM membership requirements and transparency commitments, we obtain independent assurance over selected sustainability information. The Sustainability Committee reviews our external assurance provider, KPMGÃ¢ÂÂs, sustainability assurance scope and endorses it to the Risk and Audit Committee. Read more about our FY23 Independent Assurance Report in the Assurance tab.",,
9,,ICMM Principle,Principle,Reference location
10,,Principle 1: Ethical Business,Apply ethical business practices and sound systems of corporate governance and transparency to support sustainable development.,2023 Corporate Governance Statement available at www.south32.net\n2023 Sustainable Development Report - Ethics and business integrity (page 49-51)\n2023 Sustainable Development Report - Responsible value chain (page 57-61)
11,,Principle 2: Decision Making,Integrate sustainable development in corporate strategy and decision-making processes.,2023 Corporate Governance Statement available at www.south32.net\n2023 Sustainable Development Report - Protecting and respecting our people (19-33)\n2023 Sustainable Development Report - Operating ethically and responsibly (page 48-61)\n2023 Sustainable Development Report - Managing our environmental impact (page 62-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117)\n
12,,Principle 3: Human Rights,"Respect human rights and the interests, cultures, customs and values of employees and communities affected by our activities.",2023 Sustainable Development Report - People and culture (page 28-33)\n2023 Sustainable Development Report - Delivering value to society (page 34-47)\n2023 Sustainable Development Report - Human rights (page 52-56)\n2023 Sustainable Development Report - Responsible value chain (page 57-61)\n2023 Sustainable Development Report - Water (page 63-67)\n2023 Sustainable Development Report - Tailings (page 74-77)\n2023 Sustainable Development Report - Closure (page 83-86)
13,,Principle 4: Risk Management,"Implement effective risk-management strategies and systems based on sound science, and which account for stakeholder perceptions of risk.",2023 Sustainable Development Report - Health and safety (page 20-27)\n2023 Sustainable Development Report - Partnering with communities (page 35-40)\n2023 Sustainable Development Report - Human rights (page 52-56)\n2023 Sustainable Development Report - Managing our environmental impact (page 62-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117)
14,,Principle 5: Health and Safety,Pursue continual improvement in health and safety performance with the ultimate goal of zero harm.,2023 Sustainable Development Report - Health and safety (page 20-27)\n2023 Sustainable Development Report - Tailings (page 74-77)
15,,Principle 6: Environmental Performance,"Pursue continual improvement in environmental performance issues, such as water stewardship, energy use and climate change.",2023 Sustainable Development Report - Managing our environmental impact (page 62-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117)
16,,Principle 7: Conservation of Biodiversity,Contribute to the conservation of biodiversity and integrated approaches to land-use planning.,2023 Sustainable Development Report - Biodiversity (page 68-73)\n2023 Sustainable Development Report - Tailings (page 74-77)
17,,Principle 8: Responsible Production,"Facilitate and support the knowledge-base and systems for responsible design, use, re-use, recycling and disposal of products containing metals and minerals.","2023 Sustainable Development Report - Responsible value chain (page 57-61)\n2023 Sustainable Development Report - Tailings (page 74-77)\n2023 Sustainable Development Report - Waste, contamination and other emissions (page 78-82)\n2023 Sustainable Development Report - Closure (page 83-86)\n2023 Sustainable Development Report - Addressing climate change (page 87-117)"
18,,Principle 9: Social Performance,"Pursue continual improvement in social performance and contribute to the social, economic and institutional development of host countries and communities.",2023 Sustainable Development Report - Delivering value to society (page 34-47)\n2023 Sustainable Development Report - Responsible value chain (page 48-61)\n2023 Sustainable Development Report - Tailings (page 74-77)\n2023 Sustainable Development Report - Closure (page 83-86)
19,,Principle 10: Stakeholder Engagement,"Proactively engage key stakeholders on sustainable development challenges and opportunities in an open and transparent manner, effectively report and independently verify progress and performance.",2023 Sustainable Development Report - Our sustainability approach (page 12-18)\n2023 Sustainable Development Report - Delivering value to society (page 34-47)\n2023 Sustainable Development Report - Responsible value chain (page 57-61)\n2023 Tax Transparency and Payments to Governments Report available at www.south32.net
