Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,Sustainability Databook 2023
,,,,,,
,,,,,,
,PORTFOLIO RESILIENCE,,,,,
,,,,,,
,This material topic is subject to assurance by KPMG - refer to the Assurance tab for further information.,,,,,
,,,,,,
,"We identify and assess climate-related risks in line with our Risk Management Framework. Given the uncertainty regarding how and when climate change risks will impact South32, we complement our risk management approach with scenario analysis to stress test climate-related risks. Since our first climate-related scenario analysis in 2017, we have continued to revise and build upon our assessment of the potential impacts of climate change on our business, using an approach aligned with the recommendations of the Task Force on Climate-Related Financial Disclosures (TCFD).",,,,,
,,,,,,
,Portfolio Resilience,,,,,
,,,,,,
,"In FY21, we developed a 1.5°C scenario (the FY21 1.5°C scenario) and analysed the potential impacts on commodity demand to test the resilience of our portfolio under a rapid global transition. In FY23, we updated our 1.5°C scenario (the FY23 1.5°C scenario) with support from Vivid Economics, a McKinsey & Company, to reflect rapidly evolving climate science, markets and changing stakeholder expectations.",,,,,
,,,,,,
,Description of our FY23 1.5°C scenario(1)  ,,,,,
,Policy summary,"Immediate global action, focused on the energy sector, to limit global warming to 1.5°C.",,,,
,CO2 emissions ,Net zero CO2 emissions for the energy sector by 2050. ,,,,
,Negative emissions ,1.5Gt CO2 in 2050. ,,,,
,Carbon price,US$250 per tonne of CO2-e for advanced economies with net zero emissions pledges; US$200 per tonne of CO2-e for emerging market and developing economies with new zero emissions pledges; US$180 per tonne of CO2-e for other emerging market and developing economies in 2050.,,,,
,Energy,"Rapid electrification, with large declines in fossil fuel consumption. Electricity accounts for almost 50 per cent of total energy consumption in 2050.",,,,
,Electricity ,"Renewable capacity grows exponentially, especially solar.",,,,
,Renewable deployment,Solar and wind account for approximately 41 per cent of electricity generation by 2030 and approximately 71 per cent by 2050.,,,,
,Industry ,"Decarbonisation through switch to hydrogen and carbon capture, utilisation and storage. From 2030, all new industry capacity additions are near zero emissions.",,,,
,Transport ,"Rapid electrification, with the car fleet almost fully electrified worldwide by 2050 (the remainder are hydrogen-powered cars).",,,,
