Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,,,,,,Sustainability Databook 2023
3,,MODERN SLAVERY STATEMENT METRICS,,,,,
5,,"As a company with a large and complex global supply chain and business activities across Australia, Southern Africa and the Americas, we recognise that modern slavery is a risk. We are committed to respecting human rights and taking meaningful action against modern slavery. Not only is this the right thing to do and central to our purpose and values, but it is critical to the integrity and success of our business. Eliminating modern slavery risks from our operations and supply chain requires collaboration and we work closely with our stakeholders to continually evolve our approach. Modern slavery is not acceptable in our operations or supply chains. Our annual Modern Slavery Statement, available at www.south32.net, outlines our approach to continue to reduce the risk of modern slavery in our operations and our supply chains.",,,,,
7,,Metric,FY23,FY22,FY21,FY20,FY19
8,,Number of suppliers(1),5623,5652,5668,6775,6000
9,,Payments to suppliers,US$5.7 billion,US$5.0 billion,US$5.1 billion,US$5.3 billion,US$4.7 billion
10,,No. of countries where suppliers are located,57,50,46,55,54
11,,Higher risk goods and services categories,Chemicals\nConstruction services\nElectronics (hardware) and Electronics (Components)\nExplosives \nFacilities management services\nParts and consumables at site including Personal Protective Equipment\nRaw Materials and bulk consumables (including refractory materials)\nLogistics\nShipping and freight services,Chemicals\nConstruction services\nElectronics (hardware) and Electronics (components)\nExplosives \nFacilities management services\nMaintenance services\nParts and consumables at site including Personal Protective Equipment\nRaw Materials and bulk consumables (including refractory materials)\nLogistics\nShipping and freight services,Parts and consumables at site \nExplosives \nRaw Materials \nCoke and Coal \nElectronics (hardware) and Electronics (components) \nPersonal Protective Equipment and other Safety Supplies \nChemicals \nRefractory materials \nConstruction services\nShipping and freight services\nMaintenance services\nFacilities management services\n\n,Parts and consumables at site \nExplosives \nRaw Materials \nCoke and Coal \nElectronics (hardware) and Electronics (components) \nPersonal Protective Equipment and other Safety Supplies \nChemicals \nRefractory materials \nConstruction services\nShipping and freight services\nMaintenance services\nFacilities management services\n\n,Parts and consumables at site \nExplosives \nRaw Bulk Materials \nCoke and Coal \nElectronics (hardware) and Electronics (components) \nPersonal Protective Equipment and other Safety Supplies \nConstruction services\nShipping and freight services\n\n\n
12,,No. of suppliers assessed (desktop risk profiles such as country and industry),5930,5714,5354,401,10
13,,No. of supplier assessments requested,-,430,Not available,Not available,Not available
14,,"No. of suppliers assessed (desktop review, based on documented evidence provided by \nthe supplier - EcoVadis ScoreCard)",156,133,58,,
15,,No. of independent audits completed,16,11,14(2),6,5
16,,No. of countries where audits were completed,6,4,8,Not available,Not available
17,,Levels of supply chain audited,Direct suppliers and sub-suppliers,Direct suppliers,Direct suppliers,Direct suppliers and sub-suppliers,Direct suppliers
18,,Key human rights and labour risks identified during independent audits,- excessive overtime and lack of monitoring of \n systems for overtime. \n - poor employee policies (Human Resources and \n safety) and lack of worker awareness of these \n policies\n - inadequate grievance and redress mechanisms.\n - lack of overall policies in regards to Human Rights \n and Modern Slavery internally in the organisation,"- poor pay practices \n - excessive overtime\n - poor employee policies and lack of worker \n awareness\n of these policies\n - labour management systems policies, procedures \n and performance\n - inadequate grievance and redress mechanisms","- poor pay practices\n - excessive overtime\n - poor employee policies and lack of worker \n awareness of these policies\n - labour management systems policies, procedures\n and performance; and\n - inadequate grievance and redress mechanisms.\n \n","- poor pay practices\n - excessive overtime\n - inadequate rest days\n - workers not understanding employee contract or \n employee payment terms, freedom of association,\n - failure for suppliers to align their management \n system with South32 Code of Business Conduct\n - unlawful discipline procedures\n - inadequate grievance and redress mechanisms\n","- potential for excessive overtime\n - inadequate rest days\n - workers not understanding employee contract and \n employee payment terms\n - risk of inadequate access to sufficient drinking water \n - inadequate supplier social and labour policies and \n procedures, including inadequate grievance \n mechanisms\n - risks of discriminatory practices\n - inequalities faced by workers and harassment\n"
19,,No. of Vendor Development Plans (VDP),1,6,8,6,6
20,,Number of suppliers completed remedies required under their VDPs,1,7,Not available,Not available,Not available
21,,Number of suppliers terminated or restricted from business with South32 due to breach of minimum requirements (relating to labour rights or moderns slavery),-,Not available,Not available,Not available,Not available
22,,No. of Supplier Self Assessment Questionnaires (SAQs) completed,489,437,595,350,n/a (new FY20 process)
23,,No. of employees receiving modern slavery training,759,761,1105,1242,1000
24,,No. of supplier entities receiving modern slavery training,6,9,125,56,0
25,,No. of customers,195,212,217,>300,Not available
26,,No. countries where customers are located,32,31,37,41,Not available
28,,"(1) Spend data does not include spend associated with (a) traded goods and services that are not used for operating costs (logistics and bulk raw materials are included in total spend); (b) purchasing/ credit cards which can only be used for low value transactions (under US$2,000 per month), time sensitive land tenement payment or regulatory permit or license applications and renewals; and (c) non-order invoice payments which are typically limited to regulatory payments, internal payments (including to internal companies and joint arrangement partners), donations, employee benefits, non-employee reimbursements, legal settlements, or payments to doctors, hospitals or for medical treatments.\n(2) Includes six Enterprise Supplier Development modern slavery audits at our now divested South Africa Energy Coal (SAEC) asset.",,,,,
30,,Top 10 Countries by spend volume,,,,,
32,,High risk country,Number of suppliers used FY23,Percentage of total supplier spend (%),Verisk Maplecroft Modern Slavery Index rating(1),,
33,,Australia,2756,40.6,7.74 Low,,
34,,South Africa,1253,14.7,4.17 High,,
35,,USA,387,7.31,5.40 Medium,,
36,,Mozambique,196,6.96,3.60 High,,
37,,Singapore,36,3.56,6.55 Medium,,
38,,Brazil,98,3.1,2.93 High,,
39,,Colombia,574,2.4,4.21 High,,
40,,Norway,2,1.4,8.10 Low,,
41,,Germany,18,1.1,8.20 Low,,
42,,Netherlands,17,0.7,7.92 Low,,
43,,Percentage of South32 Total,,81.9,,,
44,,The sum of the categories may vary to the total figure due to rounding.,,,,,
45,,"(1) Verisk Maplecroft Ã¢ÂÂ Maplecroft Index scores are presented on a scale of 0Ã¢ÂÂ10, where 0 represents highest risk and 10 represents lowest risk.",,,,,
47,,Number of suppliers and supplier spend by higher risk goods and services categories(1),,,,,
49,,,Number of suppliers used FY23,Percentage of total FY23 Spend (%),,,
50,,Goods,,,,,
51,,Chemicals,107,8.4,,,
52,,Electronics (hardware) and Electronics (components),311,2.6,,,
53,,Explosives,18,0.2,,,
