Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
28,,"18. Is there a) a closure plan in place for this dam, and b) does it include long term monitoring?","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, No","Yes, No","Yes, No","Yes, No","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes","Yes, Yes",,,,,,,,,,,
29,,"19. Have you, or do you plan to assess your tailings facilities against the impact of more regular extreme weather events as a result of climate change, e.g. over the next two years?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,
30,,20. Any other relevant information and supporting documentation. Please state if you have omitted any other exposure to tailings facilities through any joint ventures you may have.,Q11. Inspection completed with report to be finalised.\nQ18. This facility was closed in 2008 and is subject to ongoing monitoring.,Q11. Inspection completed with report to be finalised.,Q11. Inspection completed with report to be finalised.,Q11. Inspection completed with report to be finalised.,Q11. Inspection completed with report to be finalised.,Q11. Inspection completed with report to be finalised.\nQ17. This is currently being undertaken as part of GISTM implementation.,Q11. Inspection completed with report to be finalised.\nQ17. This is currently being undertaken as part of GISTM implementation.,Q11. Inspection completed with report to be finalised.\nQ17. This is currently being undertaken as part of GISTM implementation.,Q18.TSF closure included in Cannington site closure plan. Closure capping trials are currently underway. Cell 1 raised to final level.,Q18.TSF closure included in Cannington site closure plan. Closure capping trials are currently underway.,Q18. TSF closure included in Cannington site closure plan. Closure capping trials are currently underway. Cell 3 planned for raise in 2024/2025.,The facility is inactive and is undergoing formal closure planning.\n\nQ18.Closure design and reporting is currently being developed by third party consultant as part of GISTM implementation.,Q10.The dam is currently being re-mined to recover the concentrate product and sold to the market. Minimal concurrent deposition is occurring during re-mining operations. \n18. Closure is included in the overall Wessels closure plan with rehabilitation of area as part general surface rehabilitation.,"Q6. Currently on care and maintenance.\nQ8. In-pit disposal with no dam wall and therefore no dam height. \nQ11. Inspection has been completed in May 2022, with final report to received September 2022.\nQ15. No instability along the slope / dump.\nQ16. In house - covered by the rock engineering ground stability monitoring areas.\nExternal - Engineer of Record.\nQ18. Closure included in the Mamatwan closure plan after rehabilitation of area as part general surface rehabilitation.",Q1. This is an additional TSF identified during the GISTM implementation and internal auditing.\nQ11. No known independent expert review. This will need to be developed with continued GISTM implementation.\nQ18. Facility has been covered in topsoil and has general surface rehabilitation with grass cover.,Q1. This is an additional TSF identified during the GISTM implementation and internal auditing.\nQ5. Unknown at this time and being investigated.\nQ11. No known independent expert review. This will need to be developed with continued GISTM implementation.,"Q6. Non operational dam, has detailed closure design. \nQ8. Updated with SCR and GISTM development. \nQ9,10. Exact tailings volumes stored unknown, no additional storage planned\nQ12. Historic facility and not all documentation available. \nQ18. Closure project currently in execution.\nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.","Q6. Not operational dam, has detailed closure design. \nQ8. Updated with SCR and GISTM development. \nQ9,10. Exact tailings volumes stored. unknown, no additional storage planned.\nQ12. Historic facility and not all documentation available. \nQ18. Closure project currently in execution.\nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.","Q6. Not operational dam, has detailed closure design. \nQ8. Updated with SCR and GISTM development. \nQ9,10. Exact tailings volumes stored. unknown, no additional storage planned.\nQ12. Historic facility and not all documentation available. \nQ18. Closure project currently in execution.\nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.","Q6, Not operational dam \nQ7. Small section of Western Embankment identified as upstream raise. this occurred in 2004. \nQ9,10. Exact volume of tailings stored in the facility is unknown, Tailings re-mining has identified 5.3Mm3 of recoverable materials\nQ12. Historic facility and not all documentation available. \nQ15. TSF8 experienced a failure of its embankment on the north western corner on 3 January 2010. Prior to the failure seepage had been noted by a dozer operator who had been working in the area. Approximately 135,000m3 of water and tailings spilled into an adjacent unused pit. No one was injured and the entire spill was contained on the lease. TSF8 was decommissioned immediately after the event and the damaged embankment was repaired. \nQ18. Sands in TSF8 will be reclaimed and reprocessed as part of its closure plan and the footprint is included in GEMCO site closure plan. following reclamation, the TSF will be backfilled with sands tailings.","Q6. Not operational dam. \nQ7.Tailing confined on residual mine fill on east and downstream embankment in the west. \nQ8. Updated with SCR and GISTM development. \nQ9,10. Exact volume unknown, 4.1Mm3 is the design storage volume.\nQ12. Historic facility and not all the documentation is available. \nQ18. Sands in TSF10 is scheduled to be mined and re-processed as part of its closure plan and the footprint is included in GEMCO site closure plan.\nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.","Q4. TSF 11 no longer receiving Slimes tailings. Remaining tailing volumes will be used for establishment of the cap. \nQ9 March 2023 survey results\nQ8. Updated with SCR and GISTM development. \nQ17. Detailed CCA have been completed in 2023 for GISTM. \n18. TSF closure concept design now developed. \nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.","Q7. Starter Embankment only not raised \nQ8. Updated with SCR and GISTM development. \nQ9. March 2023 survey results.\nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.\nQ20. TSF13 transitioned to cyclic deposition in December 2022, current resting. Future tailings deposition limited to 25% of tailings loading.","Q7. Starter Embankment only not raised \nQ8. Updated with SCR and GISTM development. \nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.\nQ20. Commenced as Primary operational slimes facility in December 2022, forecast to receive 75% tailings load into the future through cyclic deposition with TSF13.","Q1. TSF 18 was previously TSF 14 Q4. Facility is active but not currently receiving tailings. \nQ7. Eastern Embankment Upstream raised, western downstream raised on TSF14. \nQ8. Updated with SCR and GISTM development. \nQ9,10. March 2023 survey results\nQ19. Flexibility to upgrade assessment completed 2023, Extreme loading conditions assessed.","Q1. TSF 20 was previously TSF 16\nQ8. Updated with SCR and GISTM development Q9. March 2023 survey results.\nQ19. Flexibility to upgrade assessment. completed 2023, Extreme loading conditions assessed.\nQ20. TSF20 is the current operational sands dam.","Q9. Metalloys is under Care and Maintenance and the start-up date is unknown.\nQ13. Department of Water and Sanitation in terms of GNR 139 of February 2012 promulgated in terms of the Water Act, 54 of 1956 and Chapter 12 of the National Water Act (Act No. 36 of 1998), Regulations regarding the safety of dams in terms of Section 123 (1) of the National Water Act, 1998.\nQ17. Dams are lined ponds with low risk. \nQ18. Closure is included in Metalloys site closure plan and the facility to be capped at closure and monitored for 5 years).","Q9. Metalloys is currently under Care and Maintenance and the start-up date is unknown.\nQ13. Department of Water and Sanitation in terms of GNR 139 of February 2012 promulgated in terms of the Water Act, 54 of 1956 and Chapter 12 of the National Water Act (Act No. 36 of 1998), Regulations regarding the safety of dams in terms of Section 123 (1) of the National Water Act, 1998.\nQ17. Dams are lined ponds with low risk. \nQ18. Closure is included in Metalloys site closure plan with the facility to be capped at closure and monitored for 5 years.","Q7. Not a tailings dam - dry coal wash emplacement of combined coarse and fines using valley infill.\nQ18. West Cliff Coal Wash Emplacement Area Management Plan included in Bulli seam closure plan, which includes progressive rehabilitation approach, water management and monitoring commitments. \nQ19. This is being completed as part of the GISTM implementation.","Q7. Dry stack operation.\nQ8. Tailings at end of May 2023 are ~38m (125 ft) above compacted engineered fill starter embankment. \nQ12. An Operations, Maintenance and Surveillance (OMS) manual has been developed for the existing facility, it will be updated for future expansions (TSF1-3). \nQ18. The tailings facility design report includes long term monitoring for closure. A closure plan has been created for the permitted tailings facility and conceptual closure for the future expansions (TSF1-3).",,,,,,,,,,,
33,,Non-Operated Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,Operation name,Alumar,Alumar,Alumar,Alumar,Alumar,Alumar,Alumar,Alumar,Alumar,Alumar,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,MRN,SGSCM,
36,,1. Tailings Facility name,Residue Storage Area (RSA) 1,Residue Storage Area (RSA) 2,Residue Storage Area (RSA) - Interface 2/3,Residue Storage Area (RSA) 3,Residue Storage Area (RSA) 4,Residue Storage Area (RSA) 5,Residue Storage Area (RSA) 6,Residue Storage Area (RSA) 7,Residue Storage Area (RSA) 8,Residue Storage Area (RSA) 9,MRN - SP-01,MRN - SP-06,MRN - SP-08,MRN - SP-09,MRN - SP-10,MRN - SP-11,MRN - SP-12,MRN - SP-13,MRN - SP-14,MRN - SP-15,MRN - SP-16,MRN - SP-19,MRN - SP-2/3,MRN - SP-4N,MRN - SP-4S,MRN - SP-5L,MRN - SP-5O,MRN - SP-7A,MRN - SP-7B,MRN - SP-7C,MRN - SP-9A,SP-25A,SP-25B,SP-25C,MRN - TP-01,MRN - TP-02,MRN - TP-03,MRN - Barragem A1,MRN - Barragem ÃÂgua Fria,SG TSF,
37,,2. Location,"-2.730, -44.317","-2.726, -44.315","-2.727, -44.313","-2.728, -44.311","-2.724, -44.307","-2.718, -44.303","-2.727, -44.302","-2.723, -44.297","-2.725, -44.291","-2.717, -44.285","Oriximina, Para, Brazil\n1ÃÂ° 40.993'S, 56ÃÂ° 25.079'W","Oriximina, Para, Brazil\n1ÃÂ° 40.648'S, 56ÃÂ° 25.491'W","Oriximina, Para, Brazil\n1ÃÂ° 40.388'S, 56ÃÂ° 27.154'W","Oriximina, Para, Brazil\n1ÃÂ° 40.475'S, 56ÃÂ° 27.659'W","Oriximina, Para, Brazil\n1ÃÂ° 40.995'S, 56ÃÂ° 27.179'W","Oriximina, Para, Brazil\n 1ÃÂ° 40.988'S, 56ÃÂ° 27.763'W","Oriximina, Para, Brazil\n1ÃÂ° 41.189'S, 56ÃÂ° 28.144'W","Oriximina, Para, Brazil\n1ÃÂ° 41.643'S, 56ÃÂ° 28.070'W","Oriximina, Para, Brazil\n1ÃÂ° 41.951'S, 56ÃÂ° 28.211'W","Oriximina, Para, Brazil\n1ÃÂ° 41.950'S, 56ÃÂ° 28.502'W","Oriximina, Para, Brazil \n1ÃÂ° 41.241'S, 56ÃÂ° 28.777'W","Oriximina, Para, Brazil\n1ÃÂ° 40.907'S, 56ÃÂ° 28.126'W","Oriximina, Para, Brazil\n1ÃÂ° 41.067'S, 56ÃÂ° 24.228'W","Oriximina, Para Brazil\n1ÃÂ° 41.109'S, 56ÃÂ° 25.610'W","Oriximina, Para, Brazil\n1ÃÂ° 41.489'S, 56ÃÂ° 25.646'W","Oriximina, Para, Brazil\n1ÃÂ° 41.009'S, 56ÃÂ° 26.252'W","Oriximina, Para, Brazil\n1ÃÂ° 41.079'S, 56ÃÂ° 26.693'W","Oriximina, Para, Brazil\n1ÃÂ° 40.329'S, 56ÃÂ° 26.059'W","Oriximina, Para, Brazil\n1ÃÂ° 40.205'S, 56ÃÂ° 26.406'W","Oriximina, Para, Brazil\n1ÃÂ° 40.191'S, 56ÃÂ° 26.704'W","Oriximina, Para, Brazil\n1ÃÂ° 40.095'S, 56ÃÂ° 27.725'W","Oriximina, Para, Brazil\n-1ÃÂ° 40'09.850""S, 56ÃÂ° 29'32.130""W","Oriximina, Para, Brazil\n-1ÃÂ° 40'19.180""S, 56ÃÂ° 29'14.460""W","Oriximina, Para, Brazil\n-1ÃÂ° 40'25.900""S, 56ÃÂ° 29'30.730""W","Oriximina, Para, Brazil\n1ÃÂ° 41.005'S, 56ÃÂ° 24.659'W","Oriximina, Para, Brazil\n1ÃÂ° 40.588'S, 56ÃÂ° 26.272'W","Oriximina, Para, Brazil\n1ÃÂ° 41.427'S, 56ÃÂ° 28.518'W","Oriximina, Para, Brazil\n1ÃÂ° 28.216'S, 56ÃÂ° 23.15'W","Oriximina, Para, Brazil\n1ÃÂ° 27.833'S, 56ÃÂ° 23.500'W",-22.853-69.392,
38,,3. Ownership,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Owned and Operated - Majority Joint Venture (JV),Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,Non-operated Joint Venture,
39,,4. Status,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Active,Inactive,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Active,Active,Active,Inactive,Active,Active,Active,Active,Active,
40,,5. Date of initial operation,1984,1991,2016,1997,2005,2011,2017,2019,2020,2023,1989,2005,2005,2006,2009,2010,2010,2011,2012,2014,2016,2019,1989,1994,1994,1997,1997,2000,2001,2002,2007,2023,2023,2023,1989,2002,2017,2002,1988 / 1989,2014,
