Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,Sustainability Databook 2023
,,,,,,
,,,,,,
,MODERN SLAVERY STATEMENT METRICS,,,,,
,,,,,,
,"As a company with a large and complex global supply chain and business activities across Australia, Southern Africa and the Americas, we recognise that modern slavery is a risk. We are committed to respecting human rights and taking meaningful action against modern slavery. Not only is this the right thing to do and central to our purpose and values, but it is critical to the integrity and success of our business. Eliminating modern slavery risks from our operations and supply chain requires collaboration and we work closely with our stakeholders to continually evolve our approach.  Modern slavery is not acceptable in our operations or supply chains. Our annual Modern Slavery Statement, available at www.south32.net, outlines our approach to continue to reduce the risk of modern slavery in our operations and our supply chains.",,,,,
,,,,,,
,Metric ,FY23,FY22,FY21 ,FY20 ,FY19 
,Number of suppliers(1),5623,5652,5668,6775,6000
,Payments to suppliers,US$5.7 billion,US$5.0 billion,US$5.1 billion,US$5.3 billion,US$4.7 billion
,No. of countries where suppliers are located,57,50,46,55,54
,Higher risk goods and services categories,"Chemicals
Construction services
Electronics (hardware) and Electronics (Components)
Explosives 
Facilities management services
Parts and consumables at site including Personal Protective Equipment
Raw Materials and bulk consumables (including refractory materials)
Logistics
Shipping and freight services","Chemicals
Construction services
Electronics (hardware) and Electronics (components)
Explosives 
Facilities management services
Maintenance services
Parts and consumables at site including Personal Protective Equipment
Raw Materials and bulk consumables (including refractory materials)
Logistics
Shipping and freight services","Parts and consumables at site 
Explosives 
Raw Materials 
Coke and Coal 
Electronics (hardware) and Electronics (components) 
Personal Protective Equipment and other Safety Supplies 
Chemicals 
Refractory materials 
Construction services
Shipping and freight services
Maintenance services
Facilities management services

","Parts and consumables at site 
Explosives 
Raw Materials 
Coke and Coal 
Electronics (hardware) and Electronics (components) 
Personal Protective Equipment and other Safety Supplies 
Chemicals 
Refractory materials 
Construction services
Shipping and freight services
Maintenance services
Facilities management services

","Parts and consumables at site 
Explosives 
Raw Bulk Materials 
Coke and Coal 
Electronics (hardware) and Electronics (components) 
Personal Protective Equipment and other Safety Supplies 
Construction services
Shipping and freight services


"
,No. of suppliers assessed (desktop risk profiles such as country and industry),5930,5714,5354,401,10
,No. of supplier assessments requested,-,430,Not available,Not available,Not available
